mAbs,mAb specificty,Ground1_(6d),Ground2_(6d),Ground3_(6d),Ground4_(11d),Ground5_(11d),Ground6_(11d),Space1_(6d),Space2_(6d),Space3_(6d),Space4_(11d),Space5_(11d),Space6_(11d)
CCRC-M95,non-Fuc XG-1,0.7925,0.9955,0.782,0.8925,0.9315,0.8185,0.7805,0.999,0.8005,0.907,0.908,1.015
CCRC-M101,non-Fuc XG-1,0.7865,0.943,0.7565,0.8965,0.9275,0.828,0.784,0.933,0.7285,0.9295,0.898,0.982
CCRC-M104,non-Fuc XG-2,0.8855,1.038,0.796,0.9615,1.019,0.955,0.8805,0.997,0.7795,1.036,0.8945,1.0515
CCRC-M89,non-Fuc XG-2,0.8245,0.847,0.7415,0.905,0.8995,0.8575,0.743,0.848,0.7115,0.9975,0.8615,0.882
CCRC-M93,non-Fuc XG-2,0.747,0.8165,0.667,0.861,0.871,0.801,0.693,0.8645,0.653,0.9295,0.8755,0.844
CCRC-M87,non-Fuc XG-2,0.7875,0.862,0.7665,0.901,0.8975,0.915,0.827,0.8715,0.763,0.9755,0.9355,0.8885
CCRC-M88,non-Fuc XG-2,0.7905,0.8405,0.7075,0.9155,0.9075,0.8725,0.7665,0.872,0.765,0.9895,0.907,0.869
CCRC-M100,non-Fuc XG-3,0.5715,0.7655,0.451,0.7505,0.7685,0.571,0.5505,0.7525,0.481,0.8255,0.755,0.8415
CCRC-M103,non-Fuc XG-3,0.5505,0.713,0.4345,0.73,0.692,0.5845,0.5285,0.6805,0.4405,0.7995,0.7565,0.7395
CCRC-M58,non-Fuc XG-4,0.816,0.997,0.7375,0.933,0.963,0.921,0.86,0.915,0.7445,0.999,0.9195,1.009
CCRC-M86,non-Fuc XG-4,0.456,0.5375,0.3615,0.656,0.568,0.4955,0.444,0.5825,0.3705,0.734,0.6695,0.6205
CCRC-M55,non-Fuc XG-4,0.53,0.7375,0.3855,0.749,0.6965,0.5955,0.507,0.7155,0.3605,0.7765,0.744,0.808
CCRC-M52,non-Fuc XG-4,0.5995,0.8025,0.498,0.765,0.791,0.6565,0.5705,0.773,0.483,0.7785,0.764,0.8075
CCRC-M99,non-Fuc XG-4,0.7575,0.902,0.7055,0.872,0.9615,0.756,0.711,0.9285,0.677,0.833,0.8655,0.9275
