dataset,publication,doi,repository,accession,species,tissue,source_type,tumor_entity,glycan_class,ion_mode,derivatization,separation
HIV_gagtransfection_N_PMID35112714,PMID:35112714,10.1002/bit.28051,GlycoPOST,GPST000169,Homo sapiens,kidney,cell line,,N,negative,reduced,PGC-LC
HIV_gagtransfection_O_PMID35112714,PMID:35112714,10.1002/bit.28051,GlycoPOST,GPST000169,Homo sapiens,kidney,cell line,,O,negative,reduced,PGC-LC
cell_lines_gRNA_GPST000463,,,GlycoPOST,GPST000463,Homo sapiens,,cell line,,O,negative,,
celllines_colorectal_GSL_PMID35489554,PMID:35489554,10.1016/j.mcpro.2022.100239,GlycoPOST,GPST000239,Homo sapiens,colorectal,cell line,colorectal carcinoma,lipid,negative,reduced,PGC-LC
celllines_colorectal_O_PMID32236654,PMID:32236654,10.1007/s00018-020-03504-z,GlycoPOST,GPST000035,Homo sapiens,colorectal,cell line,colorectal carcinoma,O,negative,reduced,PGC-LC
fish_gill_infection_O_PMID41435595,PMID:41435595,10.1016/j.fsi.2025.111087,GlycoPOST,GPST000506,Sparus aurata,gill,primary tissue,,O,negative,reduced,PGC-LC
fish_intestine_infection_O_10_2139ssrn_7005880,,10.2139/ssrn.7005880,GlycoPOST,GPST000619,Sparus aurata,intestine,primary tissue,,O,negative,reduced,PGC-LC
mouse_brain_GSL_PMID38343116,PMID:38343116,10.1021/acs.analchem.3c04928,PRIDE,PXD046012,Mus musculus,brain,primary tissue,,lipid,negative,reduced,PGC-LC
human_brain_GSL_PMID40207879,PMID:40207879,10.1093/glycob/cwaf022,GlycoPOST,GPST000446,Homo sapiens,brain,primary tissue,,lipid,positive,none,RP-LC
mouse_brain_N_PMID38343116,PMID:38343116,10.1021/acs.analchem.3c04928,PRIDE,PXD046012,Mus musculus,brain,primary tissue,,N,negative,reduced,PGC-LC
mouse_brain_O_PMID38343116,PMID:38343116,10.1021/acs.analchem.3c04928,PRIDE,PXD046012,Mus musculus,brain,primary tissue,,O,negative,reduced,PGC-LC
human_celllines_N_PMID38022636,PMID:38022636,10.3389/fimmu.2023.1258518,,,Homo sapiens,,cell line,,N,negative,reduced,PGC-LC
human_colorectal_N_PMID26085185,PMID:26085185,10.1093/glycob/cwv042,,,Homo sapiens,colorectal,primary tissue,colorectal carcinoma,N,negative,reduced,PGC-LC
human_colorectal_N_PMID39947398,PMID:39947398,10.1016/j.mcpro.2025.100927,,,Homo sapiens,colorectal,primary tissue,colorectal carcinoma,N,negative,reduced,PGC-LC
human_colorectal_O_PMC9254241,PMC9254241,10.7150/thno.72818,GlycoPOST,,Homo sapiens,colorectal,primary tissue,colorectal carcinoma,O,negative,reduced,PGC-LC
human_colorectal_O_PMID19152289,PMID:19152289,10.1021/pr800740j,,,Homo sapiens,colorectal,primary tissue,colorectal carcinoma,O,negative,,
human_colorectal_butyrate_O_PMID36669592,PMID:36669592,10.1016/j.mcpro.2023.100501,GlycoPOST,GPST000256,Homo sapiens,colorectal,cell line,colorectal carcinoma,O,negative,reduced,PGC-LC
human_gastric_O_PMC4816881,PMC4816881,10.1016/j.dib.2016.03.022,,,Homo sapiens,gastric,cell line,gastric carcinoma,O,negative,reduced,PGC-LC
human_gastric_O_PMC5762837,PMC5762837,10.1038/s41598-017-18299-6,UniCarb-DB,344,Homo sapiens,gastric,primary tissue,gastric carcinoma,O,negative,reduced,PGC-LC
human_gastric_O_PMC7226152,PMC7226152,10.3390/cancers12040861,,,Homo sapiens,gastric,cell line,gastric carcinoma,O,positive,CORA+permethylated,RP-LC
human_gastric_O_PMID28461410,PMID:28461410,10.1074/mcp.M117.067983,,,Homo sapiens,gastric,primary tissue,gastric carcinoma,O,negative,reduced,PGC-LC
human_interstitialfluid_N_GPST000651,,10.1038/s41598-026-51768-5,GlycoPOST,GPST000651,Homo sapiens,interstitialfluid,body fluid,,N,negative,2-AB,HILIC-LC
human_leukemia_GSL_PMID36788594,PMID:36788594,10.1186/s13578-023-00981-0,GlycoPOST,GPST000238,Homo sapiens,leukemia,cell line,acute myeloid leukemia,lipid,negative,reduced,PGC-LC
human_leukemia_N_PMID34646384,PMID:34646384,10.7150/thno.65398,GlycoPOST,,Homo sapiens,bone marrow,primary cells,B-cell precursor acute lymphoblastic leukemia,N,negative,reduced,PGC-LC
human_leukemia_N_PMID36788594,PMID:36788594,10.1186/s13578-023-00981-0,GlycoPOST,GPST000214,Homo sapiens,leukemia,cell line,acute myeloid leukemia,N,negative,reduced,PGC-LC
human_leukemia_O_PMID34646384,PMID:34646384,10.7150/thno.65398,GlycoPOST,,Homo sapiens,bone marrow,primary cells,B-cell precursor acute lymphoblastic leukemia,O,negative,reduced,PGC-LC
human_leukemia_O_PMID36788594,PMID:36788594,10.1186/s13578-023-00981-0,GlycoPOST,GPST000214,Homo sapiens,leukemia,cell line,acute myeloid leukemia,O,negative,reduced,PGC-LC
human_liver_O_PMC5383776,PMC5383776,10.1074/mcp.M116.062414,,,Homo sapiens,liver,primary tissue,hepatocellular carcinoma,O,negative,reduced,PGC-LC
human_liver_O_PMC9254241,PMC9254241,10.7150/thno.72818,GlycoPOST,,Homo sapiens,liver,primary tissue,colorectal cancer liver metastasis,O,negative,reduced,PGC-LC
human_macrophages_N_2024_11_28_625934,,10.1101/2024.11.28.625934,GlycoPOST,GPST000502,Homo sapiens,macrophages,primary cells,,N,negative,reduced,PGC-LC
human_macrophages_O_2024_11_28_625934,,10.1101/2024.11.28.625934,GlycoPOST,GPST000502,Homo sapiens,macrophages,primary cells,,O,negative,reduced,PGC-LC
human_neutrophils_N_PMID37639587,PMID:37639587,10.1073/pnas.2303867120,GlycoPOST,GPST000315,Homo sapiens,neutrophils,primary cells,,N,negative,reduced,PGC-LC
human_ovarian_O_PMC4468167,PMC4468167,10.1371/journal.pone.0130197,,,Homo sapiens,ovarian,primary tissue,epithelial ovarian tumor,O,negative,reduced,PGC-LC
human_pbmc_cancer_N_PMID39947398,PMID:39947398,10.1016/j.mcpro.2025.100927,PRIDE,PXD051907,Homo sapiens,pbmc,primary cells,colorectal carcinoma,N,negative,reduced,PGC-LC
human_platelets_N_PMID36952551,PMID:36952551,10.1182/bloodadvances.2022007084,,,Homo sapiens,platelets,primary cells,,N,positive,permethylated,MALDI
