glycan,Colo320,LS411N,SW1398,HCT8,C10,HCT15,SW620,SW48,SW480,HCT116,DLD-1,RKO,SW837,LOVO,Caco-2,LS174T,WiDr,LS180,HT29,SW1463,SW1116,SW948
Gal(a1-4)Gal(b1-4)Glc1Cer,0,0.568405602,2.009799752,0,0,0,0,0,0.662996695,0.586336968,0,0,2.314639604,1.601566366,6.391885996,0,0,1.020639729,1.169410804,1.272811508,0,0.271334523
GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0.182878669,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,19.46558856,6.72608147,15.71129099,39.62131405,70.49091276,4.221107492,0,33.66676153,4.84411639,9.139061659,38.67448832,11.73304382,5.397633113,1.333540451,22.42443616,7.681440439,36.0623655,8.851794236,12.95973937,0,4.151049381,6.574139634
Neu5Gc(a2-3)Gal(b1-4)Glc1Cer,0,0,0,1.061184453,0.330704782,0,0,2.306242921,0,0.227161902,0.652651096,1.21597634,0.223517043,0.342300227,0,0,0,0,0,0,0,0.39531021
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,0,0,0,9.133735669,0.460689329,9.54142517,0,0,0.975581727,2.807882037,0,0,0,0,8.764312882,0,0,0,0,0,0,0.156227723
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,4.104201968,5.975373581,3.041480162,0,4.922913549,6.682243909,0,3.33148104,2.306853244,13.75745738,6.616826551,1.593623806,4.052135846,1.376597436,1.649430146,0,2.036862367,1.927869733,1.12954953,1.867685238,4.315135987
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,66.38072025,1.400596127,8.44817389,3.595025148,0.77144812,0,9.035608598,0,5.275104074,27.7151282,0.31353756,2.088125375,4.138625886,3.994356094,22.49892412,1.172682,4.133268925,0,2.328485974,0.234686837,0,0.197433581
Neu5Gc(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.121673956,0,0,0,0,0,0,0
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,2.141831391,0,0.69447921,0,2.057506691,0,0,0,0.274626385,0,0,0,0,37.56235831,4.749324,32.64208396,4.177147494,10.97449879,4.709781754,7.985841162
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,3.201435634,0,0,0,0,3.010595516,0,9.531449912,0,0,0,6.514034197,13.5659709,0,0,0,0,2.567573593,0,4.08323114,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,5.49092902,0,29.26178073,2.736649025,0,2.305810592,0,0,8.321912763,5.146243058,0,5.805350138,0,0,0,0,0,0,2.097037338
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,0,0,0,0,0.761604341,0,0,0,2.986837063,2.407469977,0.571958354,0,0,0.330319013,0,0,0,0,0,0,1.938189481,0.288136823
Gal(?1-?)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0.482773804,0,0,0,0,0,0,0.46115642,0.397437179,1.073235306,0.463933481,0.650429189,0,0,0,0,0,0,0,0
Gal(b1-3)GlcNAc(b1-3)[HexNAc(?1-?)]Gal(b1-4)Glc1Cer,0,0,0.910116471,0,0,0,0,0,0,0.999207103,0,0,0,4.307297816,0,0,0,0,0,0,0,0
HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0.244747468,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,9.40148204,0.461359589,0.821876679,0,7.205185995,0,0,0,0,0.521410341,0.697227131,5.700944139,0.488687641,1.718831112,0,2.314349584,0,0,0,0,0,0.942160456
Neu5Gc(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0,1.044192806,0,0,0,0,0,0,0,0,0,0.318724782
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,4.752209147,0,8.291659108,2.59307015,1.694935076,0,3.620454219,0,5.190526429,7.334129405,0.549811339,0,13.48466661,0.917663704,0,0,4.676921917,0,4.561470931,0,1.252445463,0.224116448
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,0,0,0.334660589,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-6)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,7.050759021,0,0,0,11.47912272,0,0,2.379292214,0,9.950659618,1.206930612,0,0,3.533101314,0,0,0,0,0,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,24.7956157,7.772058102,0,0,0,0,0,8.995752321,1.497195605,2.200395818,0,2.49183345,0,1.35625914,0,5.851995305,7.243814041,5.040891988,0,2.282390221,0
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,6.250085981,1.592257495,0,0.755712285,0,11.07645387,0,0,1.053265656,16.97379855,0,2.352989421,2.179562521,0,0,3.518954036,0,3.801184362,0,9.034950855,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,2.647676119,0,11.74007584,6.450730943,0,5.23909604,5.053370189,0,3.440390126,5.178526504,23.80248629,3.91291634,0.7551062,5.048053208,0,3.401480851,0,1.440929704,0.457511513,2.135585865,3.8961882
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,0,1.399057227,0,0,0,0,1.050155294,0,0,2.458530965,4.600482183,6.413543318,8.445914629,16.49647338,4.45379741
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,0,0,0,0,8.545354372,0,0,0,0,0,1.063729128,0,0,1.522043096,14.7389793,0,17.22751228,0,1.736604947,1.762198533,15.1667452
