glycan,  SW480, SW480-Vumc, T84, LS411N, HCT8, HT29-Vumc, HT29, SW620,  LS174T, C10, HCT116, HCT116-Vumc, LS180, COLO205, LOVO, SW48, SW1116, CaCo-2, RKO, CO115, SW1398,  WiDr, SW837,COLO320, SW1463 , DLD-1, HCT15, SW948, KM12
Neu5Ac(a2-6)GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,3.91,0,0,0,0,0.78,0,0,0,1.2,0,0
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0.5,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)GalNAc,0,0,2.02,3.36,7.16,4.32,6.59,7,1.44,0,0,6.41,1.54,12.2,0,5.61,3.59,2.32,3.98,6.42,14,7.31,2.07,9.31,7.85,3.07,4.93,3.4,2.47
GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,9.39,17.4,0.72,1.2,0,0,0,0,2.54,7.92,1.56,0,0.9,0,10.1,18.5,0,2.96,0,0,3.49,0,0,0,0,0.93,1.43,1.4,2.51
Gal(b1-3)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-3/4)GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal3/6S(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0
Gal3/6S(b1-3/4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0.45,0,0,0,0,0,2.9,0,0,0,0.95,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0,0.55,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,11.9,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0,1.19,0,0,0,2.2,0,0.72
Fuc(a1-2)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,27.3,44.9,13,18.7,21.8,26.9,22.2,50,9.39,2.42,19.1,47.1,8.8,48.3,5.42,31.1,21.2,0,30.7,25.1,43.4,18.4,13.4,90.7,36.6,6.34,26.4,12.3,8.31
Gal(b1-3/4)GlcNAc(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-3)Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-3)Gal(b1-3)GalNAc,0,0,0.66,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HexNAc(?1-3/4)Gal(b1-3/4)GlcNAc(b1-3/6)[GlcNAc(b1-3/6)]GalNAc,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,1.85,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,29.1,37.7,5.23,9.34,4.44,3.83,1.62,0,12.3,0,8.88,9.53,9.06,3.48,13.8,6.51,1.74,4.63,16.8,1.19,26.4,2.26,0,0,0,2.55,5.24,0,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0,0,0.63,0,0,0,3.13,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,1.32
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,1.6,19.3,1.75,0,9.47,2.12,26.1,6.16,2.24,1.31,0,14.1,15.8,5.42,11.5,0,9,0,1.06,13.4,0,5.74,19.3,7.57,6.62,42.6
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0,0.58,4.14,8.93,0,0,19.4,0,2.79,5.85,3.12,0,0,0,0,1.62,0,0,0,0,0,5.06,0,0,2.99,9.84,4.56,2.28
Fuc(a1-2)Gal(b1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0,1.86,0,0,0,0,0,1.63,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(?1-3/4)GlcNAc(b1-3)Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,22.3,0,0,0,0,0,0,0,0,1.59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0
Gal(b1-3/4)GlcNAc(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)GalNAc,0,0,0,1.11,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HexNAc(?1-3/4)Gal(b1-3/4)GlcNAc(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
{Neu5Ac(a2-3)}Gal3/6S(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
{Neu5Ac(a2-3)}Gal3/6S(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,2.47,8.63,0,0
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-3)[Gal(b1-4)]Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0.8,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,7.07,0.61,0,0.9,1.18,0,18.6,0,0,0,6.8,0,0,0,3.45,0,0,0,1.44,1.44,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]GalNAc,0,0,2.68,0,0,0,0,0,1.86,0,0,0,1.79,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,0,0,0,0,0,0,0,0,0,0,1.91
Gal3/6S(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0
Gal3/6S(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,0,0,0.56,0,0,0,0,0,0,0,0,0,0.84,0,2.64,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-8)Neu5Ac(a2-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3/6)[Gal(b1-3/4)GlcNAc(b1-3/6)]Gal(b1-3)GalNAc,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3/6)Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
{Neu5Ac(a2-3)}{Fuc(a1-2/3/4)}Gal(b1-3/4)GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
{Neu5Ac(a2-3)}Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0,0,3.85,1.8,0,0,0,0,3.86,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal3/6S(b1-4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)[Gal3/6S(b1-3)]GalNAc,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3N3Su2,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2N1F2S1Su2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)[GlcNAc(b1-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3N4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,2.99,9.8,11.3,49.7,48.6,0,5.51,2.41,22.8,25.7,3.91,26.5,20.2,11.9,9.93,7.37,46,43.7,3.39,45.7,23.2,0,44.7,27.9,13.6,2.39,3.22
Fuc(a1-2)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,1.24,0,0,0,0,0,1.47,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
