glycan,healthy1,healthy2,healthy3,healthy4,healthy5,infected1,infected2,infected3,infected4,infected5
GlcNAc(b1-3)GalNAc,0.032841573,0.107838625,0.304965815,0.130566434,0.349736412,0.017540253,0,0.169059303,0.180590726,0.105132188
GalNAc(a1-3)GalNAc,2.855474408,3.71544506,1.426069953,4.351800512,3.718689512,12.00110491,4.502087509,4.731870852,12.26567544,9.715084023
Gal3/6S(b1-3)GalNAc,0,0.156862241,0,0,0.074932286,0.130287239,0.525676664,0.397392495,0.272002009,0.264948915
Fuc(a1-3/4)HexNAc(?1-3)GalNAc,0.177807379,0.181399882,0,1.533335274,0.353043894,3.6344469,1.556647008,3.896489054,0.874839715,0.731631212
Fuc(a1-3/4)HexNAc,0,0.405773029,0,1.016431455,0.139041332,1.402306365,0,0,0,0
Fuc(a1-3/4)HexNAc(?1-3)GalNAc,0,0.234804835,0,0.34051132,0,0.806386684,0,0,0,0
HexNAc(?1-3/4)HexNAc(?1-3)GalNAc,2.854379513,1.758374784,1.398671308,2.875516632,2.793190884,4.333396557,1.956954249,2.372878498,2.825938075,5.669904394
HexNAc(?1-3/4)HexNAc(?1-3)GalNAc,0.632500775,0.547098664,1.004287267,0.913952447,1.24450027,0.88314118,1.038860041,0.653943381,1.223742057,2.458283602
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.172741949,0.864742529,0,0.961202978,0.60695841,0.177040215,2.205706949,1.079854304,1.30568001,1.352063629
Neu5Ac(a2-3)Gal(b1-3)GalNAc,7.637576149,8.106860178,8.929751724,5.426447065,4.850618466,1.559046733,8.167720636,4.570142509,3.660641604,4.889805751
Gal(b1-3)[Neu5Gc(a2-6)]GalNAc,0.025068301,0.188209638,0,0.1528856,0.114408495,0.126661379,0.186473402,0.125966372,0.238042494,0.203689873
Neu5Gc(a2-3)Gal(b1-3)GalNAc,0.262618277,0.35418752,0,0.22630334,0.210708949,0.144288053,0.280244491,0.152074303,0.153214471,0.206634185
GalNAc(a1-3)[Neu5Ac(a2-6)]GalNAc,0.07488906,0.10632518,0,0.367243653,0.029939563,0,0.457649331,0,0.089087784,0
GalNAc(a1-3)[Neu5Gc(a2-6)]GalNAc,0.677879554,0.652985258,0.5328931,1.399062161,1.398378256,0,0.722969826,0.688700542,0.166754215,0.732930231
Fuc(a1-3/4)HexNAc(?1-3)Gal(b1-3)GalNAc,0,0,0,0,0,0.994291222,0,0,0,0
Fuc(a1-3/4)HexNAc(?1-3/4)HexNAc(?1-3)GalNAc,0,1.222006735,2.599777676,3.242611649,0,2.410915688,0,0,0,0
HexNAc(?1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.200928444,0.558669896,0,1.003475289,1.243456507,0.945875305,0.537379005,0.617260843,0.446765994,0.692070223
HexNAc(?1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.311802022,0.557628295,0,0.861975758,0.766904681,2.120657334,1.08670137,1.435485532,3.872892307,1.790289321
HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,1.493785707,1.415521179,1.269993894,3.66107566,11.11497121,9.647512064,9.429168544,8.653877212,15.53797609,4.143687763
HexNAc(?1-4)HexNAc(?1-3/4)HexNAc(?1-3)GalNAc,6.691263382,2.271044368,3.442744299,6.028867039,10.58722479,4.832981295,4.381088653,5.184475074,3.888589433,23.75302088
Fuc(a1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0,0.088175021,0,0.263144732,0.105984066,1.456457704,0.353522387,1.018766411,0.242946146,0.139066188
Fuc(a1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0,0,0,0.843489409,0.062362063,1.470394281,0.538328375,1.589477505,0,0
Fuc(a1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0,1.02720267,0,3.053914567,0.448072031,4.823385592,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,8.062446004,7.010773941,10.4154529,3.587132158,4.155207124,1.758602874,8.089885937,4.84588302,1.886591296,3.471613119
Fuc(a1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3)GalNAc,0,0.137142524,0.881052257,3.368988213,0,0.468248128,0,0,0,0
Fuc(a1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3)GalNAc,0,7.963772308,3.93103296,12.53750084,0.289111012,5.79887562,0,0,0,0
Neu5Gc(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.404648375,0.534272577,0.272159757,0.194678482,0.281108421,0.24708351,0.3755509,0.22132578,0.126844164,0.203637487
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,1.12672773,1.631682253,1.248342301,3.352194079,3.767070805,8.231262885,4.240239854,6.22635579,6.923121236,4.745613326
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,1.35495363,1.095373039,0.662542661,1.290883323,5.784959306,2.828995764,3.801275218,5.02112244,12.04186478,2.455867677
Neu5Gc(a2-3)Gal(b1-3)[Neu5Gc(a2-6)]GalNAc,0,0.496262781,0,0,0.279031124,0.568094902,0,0,0,0
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3)GalNAc,1.488016759,0,0,0,0.302113463,0,0,0,0.301800449,1.354963659
Fuc(a1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0,0,0,0.265478719,0,0.78577756,0.238875917,0.709516768,0,0
Fuc(a1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0,0.328334568,0,0.702005443,0.101425072,1.053968306,0,0,0,0
Fuc(a1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0,0.839088117,0,1.630355892,0.151310756,3.31601347,0.410754797,0.398433047,0,0
GlcNAc(b1-3)[GlcNAc(b1-6)]HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0.292415734,0.131845744,0,0.087598006,0,0,0.247759638,0.198414131,0,0
HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)HexNAc(?1-3/4)Gal(b1-3)GalNAc,0,0,0,0,0.206363347,0.574706945,0.179656311,0.406056985,0,0
