glycan,healthy1,healthy2,healthy3,healthy4,healthy5,infected1,infected2,infected3,infected4,infected5
GlcNAc(b1-3)GalNAc,1.223641401,1.241487179,0,1.999112812,1.285621909,0.54190779,0.194283572,0,0.526142191,2.652450481
GalNAc(a1-3)GalNAc,1.183268006,4.870521956,1.949111559,2.739898323,3.499648109,1.809232487,4.8185549,4.832529193,1.69713421,7.322451056
Gal3/6S(b1-3)GalNAc,0.045568625,0.047535341,0,0,0.157021424,0,0.120838649,0.077741971,0,0.332843934
Neu5Ac(a2-6)GalNAc,0.047395732,0.125984636,0,0.101448345,0.053902973,0.160610455,0.071056803,0.125337827,0.105298002,0.31243468
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,1.095809091,0.98869386,0.523546296,1.441501024,2.816524618,0.114920181,2.225907695,1.166738561,0.922548656,0.503438509
HexNAc(b1-3)Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0.798066884
Gal(b1-4)GlcNAc(b1-3)GalNAc,0.285991977,0.828959349,2.253632235,1.612581129,1.543714587,0.336183984,0,0,0.357767355,8.447806438
GlcNAc(b1-3)[GlcNAc(b1-6)]GalNAc,2.349612812,5.143747329,3.475704581,6.165078661,6.328396473,0.385731269,0.206464838,0.092676752,0.59858029,1.245720238
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.194435478,6.994908308,6.975370718,2.278717026,3.548439065,1.624469779,0.992950693,3.450024773,1.155591961,9.064640739
Neu5Ac(a2-3)Gal(b1-3)GalNAc,0.641210745,6.890415992,9.746296319,2.646603064,5.688017193,2.985750032,1.127301194,4.156294263,1.896777726,8.395712694
Gal(b1-3)[Neu5Gc(a2-6)]GalNAc,0.01296475,0.190397933,0,0.060544137,0.060474848,0.12424919,0.111861328,0.116681421,0.056433205,0.330860157
Neu5Gc(a2-3)Gal(b1-3)GalNAc,0.014915113,0.124042902,0,0.116286842,0.100252052,0.125493135,0.087248854,0.050104502,0.036501475,0.223501396
GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,1.762961981,1.036185436,1.350833263,1.390419765,0.79369255,0.40473909,0.016984362,0,0.405212568,0.933261722
GalNAc(a1-3)[Neu5Ac(a2-6)]GalNAc,0.522353042,1.387470133,1.211937062,1.295540808,0.657387244,0.41063951,1.061991902,1.694082283,0.543301999,1.638208885
GalNAc(a1-3)[Neu5Gc(a2-6)]GalNAc,0,0,0,0,0,0.11939532,0.3247062,0,0,0
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.085815085,0.22229386,0.282449926,1.520845877,3.280497096,0.042804021,0.95201497,0.235720721,0,1.140136112
Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0.145492312,0,0,1.958990045,0.063190219,0.380284106,0.283811365,0.290309198,5.443090576
HexNAc(b1-3)[HexNAc(b1-6)]Gal(b1-3)GalNAc,0.012633059,0.168419966,0,0.121123542,0.277238495,0.031574179,0.386436036,0.417438327,0,0
HexNAc(?1-3/4/6)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.450727807,1.209955385,0,0.435469848,3.320005734,0.481858551,0.463218875,0.597206708,0.603863778,1.43496779
Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,0.494180016,2.758254687,2.808628524,4.6846125,8.101643572,0.176951606,0.268886743,0.107945297,0.376699982,3.501254
GlcNAc(a1-4)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.07852494,0.521893361,0,0.628496519,0,0,0,0,0,0.781222212
GlcNAc(a1-4)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.059327559,0.143181253,0,0.275876568,0.164680733,0.168633921,0.021330093,0,0.107120892,0.896357236
Neu5Ac(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,1.882769161,0.59158131,0,0.752769731,0.659169442,0.07020863,2.229619937,1.299099472,1.015055758,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)GalNAc,1.786825094,2.037056033,3.764083119,2.281467237,1.631531196,2.564877524,0.259986671,0.282901892,1.206614187,4.619308074
Neu5Gc(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0.294147969,0,0,0
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-3)GalNAc,0,0,0,0,0,0.633919772,0,0,0,0
Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-3)GalNAc,0,0.060982036,0,0.072192835,0.152513017,0,0.330597977,0.190746392,0,0.429503107
Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-3)GalNAc,0,0.087538907,0,0.056028615,0.354865962,0,0.468932862,0.328726238,0,0.219008644
Gal(b1-3/4)GlcNAc(b1-3/6)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0.141749863,0,0,0
GlcNAc(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.071258471,0.398801711,0.854482515,0.991428758,1.428167954,0,0.099697,0,0,1.776710539
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc,0,0.177293077,0.243880089,0,0,0,0,0.173184962,0.139724471,0.307783425
Neu5Ac(a2-8)Neu5Ac(a2-6)[Gal(b1-3)]GalNAc,0,2.848559534,2.377149394,0.276796048,1.514553962,0,0.331373114,1.067657261,0.261118519,6.196693444
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,1.94347725,8.97426765,14.63344127,5.044820503,3.38201923,14.42951225,1.625515427,8.444718508,5.729489744,6.129442383
Neu5Gc(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.075832571,0.146663738,0.294967492,0.124826012,0,0.707671134,0.068136121,0.16921004,0.207543088,0
GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0.137737397,0,0.476513349,0.225172832,0,0
HexNAc(?1-3/4/6)GlcNAc(b1-6)[Gal(b1-3)]GlcNAc(b1-3)GalNAc,0.087778102,0.187593882,0,0,0,0,0,0,0,0
Neu5Gc(a2-3)Gal(b1-3)[Neu5Gc(a2-6)]GalNAc,0.05486839,0.12094194,0,0,0,0.477914062,0.096509021,0.097793204,0.038391118,0
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0.140312534,0,0,0.153799489,0.117118682,0.084423013,0.397701661,0.035385262,1.860921496
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.292787838,0.300460912,0,1.545252983,2.334973575,0,2.44360296,0.738699074,1.127334198,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.745250937,0.581337812,0,2.908663187,3.31102744,0.118250868,3.663720497,1.165433531,1.198633814,0.375133216
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0.024506775,0.680260198,0,0.343887424,2.067680122,0.941931734,1.340899056,1.518590965,0.362283992,3.425118126
HexNAc(?1-3/4/6)GlcNAc(b1-3/6)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.16646493,0.325497437,0,0.166389365,0,1.050623821,0.215093396,0.061589243,0.517271586,0.46646493
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)[GlcNAc(b1-6)]GalNAc,0.408857122,0.488163763,0,0.498001073,0.505879303,0.081464615,0.037053176,0,0.103093566,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,6.679941839,11.8770992,0,13.1010724,8.195249505,1.919971397,0.683212788,0.466423136,2.047333823,2.377754254
Neu5Gc(a2-3)Gal(b1-3/4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,0.24416832,0.665363295,0,0.39848547,0.511757007,0.477960933,0.164223402,0,0,0
Gal(b1-3/4)GlcNAc(b1-3/6)Gal(b1-3/4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,0,0,0,0,0,0,0.23875528,0.132779071,0,0
HexNAc(?1-3/4/6)GlcNAc(b1-3/6)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0.650349886,0,0.13991795,0,0,0
Hex2HexNAc4,0,0,0,0,0,0,0.36682967,0.103429413,0,0
HexNAc(?1-3/4/6)GlcNAc(b1-3/6)Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.173023248,0,0,0,1.325698954,0,0.362406461,0.133029074,0,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.672430841,0.097021816,0,0.075779222,0,1.024609721,0,0,0.395528947,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0.27430236,0.404786937,0,0.559659643,0,0.452661316,0,0,0.300963435,0
HexNAc(?1-3/4/6)Gal(b1-3/4)GlcNAc(b1-6)[HexNAc(?1-3/4/6)GlcNAc(b1-3)]GalNAc,0.993070496,0.386029081,0,0.6118835,0.141321224,0.090067805,0.030297284,0,0.137885622,0
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)GalNAc,0.02932969,0.186822992,0,0.10291364,0.145003442,0.10046982,0.746399171,0.881021484,0.059846562,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.147528083,0.580704912,1.046442344,0.641827088,1.009976675,0.207508065,0.26147729,0.2216288,0.245594324,0.876198577
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)GalNAc,0.094269502,0.462527717,0.829737489,0.29518953,0.604528527,0.315532687,2.297068633,2.175606715,0.296408756,0.30173768
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc,0.484690981,1.317688148,2.558499733,2.250395316,1.777787752,0.261621904,0.219797665,0,0.395147866,1.081297705
{Neu5Ac(a2-8)}Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.017436557,0,0,0,0,1.498677609,0,0.464375559,0.675146562,0
{Neu5Ac(a2-8)}Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.536643155,5.600316218,7.881666664,1.095059959,1.357049902,3.120822816,1.059657655,5.292800007,1.639960294,3.440505055
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,1.220047032,0.175522425,0,0.2387945,1.347176842,1.200141281,1.390413816,0.385285232,2.298949006,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0.362256119,0.38393083,0.991381978
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,6.995675722,3.19435177,0,14.38149256,4.96260987,7.704342533,12.26203992,9.902356775,10.0014969,3.496778045
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0.621890523,0.314664739,0,0.315928391,0
HexNAc(?1-3/4/6)HexNAc(?1-3/4/6)GlcNAc(b1-3/6)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.133088853,0,0,0,0,0,0.254650555,0,0,0
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Gc(a2-3)Gal(b1-3)]GalNAc,0,0,0,0,0,1.100355418,0,0,0,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)[GlcNAc(b1-6)]GalNAc,0.136634669,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,12.54414682,1.770681575,0,0.828042541,1.142946993,3.894121778,0.105528021,0.232113706,2.514808945,0
Neu5Ac(a2-8)Neu5Gc(a2-3)Gal(b1-3/4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,0,0,0,0,0,0.577844228,0,0,0,0
HexNAc(?1-3/4/6)GlcNAc(b1-3/6)Gal(b1-3)[HexNAc(?1-3/4/6)HexNAc(?1-3/4/6)GlcNAc(b1-6)]GalNAc,0.078770274,0,0,0,0,0,0,0,0,0
Neu5Gc(a2-8)Neu5Gc(a2-3)Gal(b1-3/4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,0,0,0,0,0,0.618202547,0,0,0,0
