glycan,frontal cortex,parietal cortex,occipital cortex,posterior hippocampus,thalamus,caudate nucleus,lateral cerebellum,pons,cingulate cortex,temporal cortex,HS-95 temporal cortex,AD-74 temporal cortex,AD-93 temporal cortex
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc1Cer,0,0,0.01,0,0.04,0.01,0.08,0.19,0.02,0,0.06,0.07,0.05
{Fuc(a1-2/3/4)}Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.03,0.03,0.03,0,0,0.03,0.13,0,0.01,0.03,0.04,0,0
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.02,0.02,0.02,0,0,0,0.18,0,0,0.01,0.04,0.03,0.06
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.03,0.02,0,0,0,0,0.15,0.01,0.01,0.04,0.07,0.05,0.11
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc1Cer,0.14,0,0.15,0,0,0.31,0.16,0.12,0,0.28,0.51,0.55,0.18
{Neu5Ac(a2-3/8)}Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.32,0.24,0.41,0.1,0.16,0.55,0.51,0.06,0.14,1.34,2.05,0.24,0.2
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,11.86,1.95,10.99,1.43,1.77,11.78,2.03,0.58,1.21,11.04,12.66,1.97,2.56
{OAc}Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0,0.06,0.06,0,0.02,0.06,0,0,0.03,0,0,0.05,0
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,42.37,37.15,31.03,11.03,31.45,41.7,49.4,12.47,18.27,36.71,38.23,41.31,45.75
{OAc}Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.94,1.24,1.03,0.15,0.56,1.22,0.57,0.14,0.39,0.85,0.46,0.59,0.69
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,2.3,1.87,1.72,0.1,1.38,1.44,2.75,0.24,0.86,1.93,2.71,4.22,2.7
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,1.88,2.38,1.81,0.34,0.88,2.27,1.85,1.01,1.72,1.51,1.54,1.19,0.64
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,23.69,18.03,26.87,68.51,17.67,20.95,14.15,31.78,26.94,32.77,26.02,31.72,29.7
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,1.15,0.81,0.65,0.18,0.62,1.53,0.95,0.58,0.62,1.14,1.27,2.65,2.15
Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,0.67,0.55,0.58,0,0.95,0.88,1.26,1.54,0.83,0.56,1.04,1.71,1.55
