glycan,stage1_A21,stage1_A22,stage1_A23,stage1_A24,stage1_A25,stage1_A26,stage1_A27,stage2_B21,stage2_B22,stage2_B23,stage2_B24,stage2_B25,stage2_B26,stage2_B27,stage3_C21,stage3_C22,stage3_C23,stage3_C24,stage3_C25,stage3_C26,stage3_C27,stage4_D21,stage4_D22,stage4_D23,stage4_D24,stage4_D25,stage4_D27,stage4_D28,healthy_E21,healthy_E22,healthy_E23,healthy_E24,healthy_E25,healthy_E26,healthy_E27,healthy_E28
GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.98408,1.66075,2.15094,0.878619,0.393324,0.898003,0.823536,0.801743,1.49695,1.82441,0.474946,0.486782,0.801821,0.527684,1.61657,4.51878,0.651221,1.28683,1.15557,0.387707,0.827433,0.884146,0.760898,0.783843,0.577567,0.609119,2.34184,1.29487,1.97109,0.256286,1.27466,0.437344,0.876185,1.37641,0.0585377,0.290435
Man(b1-4)GlcNAc(b1-4)GlcNAc,0.380709,0.409978,0.574436,0.715026,0.430412,0.754949,0.810058,0.583536,1.00058,0.450938,0.664138,0.373809,0.420585,0.723977,0.689272,0.277856,0.476216,0.322172,0.506354,0.360709,0.995373,0.384508,0.413268,0.857973,0.521809,0.665208,0.46871,0.211652,0.49064,0.491752,0.419769,0.537314,0.608566,0.322434,0.302039,0.748409
Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.751424,0.545353,0.517582,1.13133,0.716778,0.561814,1.85609,0.898881,0.591007,0.518728,0.248536,0.541593,0.414633,0.796939,1.21845,0.284082,0.20572,2.95169,0.673592,0.156722,1.79772,0.888978,0.140392,0.382083,0.678363,0.226524,1.25014,0.179618,0.131012,0.13868,0.0748609,0.138794,0.132359,0.150807,0.0455097,0.135735
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)GlcNAc,2.17855,1.93318,2.48959,1.94674,1.94744,2.05909,3.48059,2.4712,1.84978,1.50989,1.89268,1.56595,1.63692,1.42346,2.29113,1.72073,0.970727,2.74598,2.38894,1.66031,1.52335,2.78999,1.77109,1.17809,2.54047,1.97941,2.46639,2.24679,1.07973,0.440568,3.58706,2.2573,2.31129,2.73374,0.262744,0.867283
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,5.62902,6.30215,5.22615,9.04322,6.62678,4.11077,14.2618,5.71436,5.24572,4.12372,2.27416,3.28025,3.89204,4.30388,7.65201,1.58246,2.54294,15.9839,6.27101,2.45672,9.36157,13.0997,1.7936,5.58458,6.84193,2.62626,6.96016,2.77046,2.1744,0.571791,1.79771,2.61942,1.83347,2.31305,0.436169,0.974624
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.912592,1.69071,1.58456,1.53497,1.27484,1.05363,1.20503,0.88218,1.89581,1.67805,1.06795,1.07647,2.46305,0.892666,1.40965,0.765039,1.08574,0.748156,2.17116,0.981257,1.39033,2.58195,0.875777,0.781122,1.07772,0.980758,1.49579,1.21835,1.68409,0.380429,1.60461,1.4576,1.32195,1.38992,0.27003,0.639485
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.71763,3.77278,1.91157,4.61196,3.70665,1.58428,2.9327,1.73998,5.22087,4.23736,2.36855,3.089,5.66602,2.83493,2.19805,1.2717,3.09589,1.68861,5.14482,2.35861,4.95086,9.0017,1.69379,2.42222,3.80238,1.94931,2.36216,2.28263,2.26507,0.721454,2.11651,2.71574,1.83739,2.11299,0.660825,1.08172
{Man(a1-2/3/6)}Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.297463,0.194316,0.566067,0.135913,0.138402,0.150069,0.177479,0.135234,0.454643,0.219374,0.0933583,0.0901323,0.223074,0.135531,0.580151,0.166776,0.088511,0.154238,1.15861,0.0356861,0.140553,0.109579,0.0750366,0.0812152,0.113186,0.109802,0.60814,0.124206,0.189076,0.0250766,0.210093,0.0592061,0.116823,0.2518,0.0407314,0.0957795
{Man(a1-2/3/6)}Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.289494,0.253577,0.308076,0.316479,0.417617,0.341228,0.375395,0.286968,0.252775,0.0691095,0.196319,0.190281,0.386778,0.308059,0.293489,0.325656,0.261357,0.184252,0.35071,0.363013,0.250951,0.428799,0.271604,0.27479,0.301694,0.197525,0.356042,0.267556,0.38949,0.0396999,0.240964,0.359226,0.208873,0.289624,0.0456928,0.110213
{Man(a1-2/3/6)}Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.504325,0.876861,0.866973,0.938357,0.520636,0.299191,0.564286,0.356489,0.747513,0.532964,0.449092,0.310823,1.45075,0.431532,0.897341,0.408878,0.482991,0.30005,0.851393,0.489986,0.640437,1.07018,0.496921,0.494576,0.596527,0.567367,0.533455,0.495876,0.677782,0.204253,0.491437,0.510064,0.358524,0.419962,0.186128,0.328893
