glycan,5d_1,5d_2,5d_3,5d_bu_1,5d_bu_2,5d_bu_3,7d_1,7d_2,7d_3,7d_bu_1,7d_bu_2,7d_bu_3,14d_1,14d_2,14d_3,14d_bu_1,14d_bu_2,14d_bu_3,21d_1,21d_2,21d_3,21d_bu_1,21d_bu_2,21d_bu_3,24d_1,24d_2,24d_3,24d_bu_1,24d_bu_2,24d_bu_3
Gal(b1-3)GalNAc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.74,1.98,1.79,0.00,0.00,0.00,2.25,1.80,0.00,1.33,0.00,2.13,0.00,1.72,1.21,0.00,0.00,0.00
Fuc(a1-2)Gal(b1-3)GalNAc,3.66,3.48,5.64,3.55,3.57,4.47,3.47,3.24,4.08,2.45,2.18,2.64,2.70,2.83,2.93,2.07,2.40,2.49,2.63,3.10,2.64,1.23,1.36,1.10,2.85,2.25,2.68,1.21,0.97,1.06
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,1.23,0.00,0.00,1.16,1.29,1.05,0.81,0.98,0.82,1.51,1.26,1.22,0.90,0.98,0.80,0.81,1.20,1.08,1.04,0.98,0.84,1.56,1.66,1.60,0.86,0.94,0.91,1.67,1.51,2.02
Neu5Ac(a2-3)Gal(b1-3)GalNAc,5.28,3.41,5.10,3.52,2.97,3.15,4.94,4.42,5.24,4.06,3.59,4.59,6.08,6.56,6.20,5.53,5.71,4.43,7.15,6.41,6.99,6.86,6.99,6.80,7.34,6.76,7.66,6.47,6.38,7.01
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,39.59,36.99,37.96,32.97,35.89,33.15,31.28,35.14,33.01,32.29,33.55,28.37,31.19,31.34,33.20,31.10,33.85,27.97,35.17,32.13,34.88,33.54,34.34,30.93,38.43,33.22,33.84,35.53,38.42,35.49
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-8)Neu5Ac(a2-6)]GalNAc,0.39,0.00,0.41,0.00,0.00,0.00,0.38,0.00,0.36,0.35,0.35,0.48,0.25,0.29,0.21,0.40,0.57,0.54,0.35,0.32,0.46,0.71,0.99,0.62,0.00,0.00,0.18,1.03,0.83,0.79
Neu5Ac(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.00,0.00,0.00,0.00,0.00,0.75,0.64,0.61,0.54,0.49,0.43,0.59,0.64,0.66,0.99,0.77,0.57,0.63,0.73,0.60,0.69,0.66,0.89,0.61,0.75,0.75,0.48,0.52,0.68,0.67
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,1.58,2.11,1.66,3.25,3.40,3.74,1.48,1.34,1.37,2.81,2.73,2.79,1.35,1.35,0.99,3.58,2.59,2.88,0.84,0.94,1.03,2.18,2.63,2.76,0.93,0.58,0.67,1.93,1.74,1.85
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,8.71,6.19,7.21,6.72,5.95,6.36,7.95,7.40,7.82,6.92,6.71,8.07,11.42,10.23,8.38,9.28,8.77,9.22,9.09,7.78,8.82,9.55,10.71,10.01,7.97,9.04,7.47,7.23,8.64,7.39
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.50,0.29,0.39,0.00,0.58,0.24,0.44,0.00,0.32,0.16,0.61,0.33,0.00,0.21,0.40,0.39,0.00,0.58,0.33,0.28,0.00,0.31
