glycan,cancer_1,cancer_2,cancer_3
Gal(b1-3)GalNAc,3.52,0.91,0.95
Neu5Ac(a2-6)GalNAc,1.52,0.83,0.93
Gal(b1-4)GlcNAc(b1-3)GalNAc,1.62,0,0
Gal(b1-3)GlcNAc(b1-3)GalNAc,0.94,0,0
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,4.79,2.22,1.79
Neu5Ac(a2-3)Gal(b1-3)GalNAc,6.13,8.1,5.79
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,3.59,0.84,0.6
Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,1.65,0.88,0.34
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)GalNAc,6.38,3.46,2.16
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.74,0,0
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,3.77,11.25,9.05
{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,8.09,2.82,1.2
{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,11.86,3.85,2.05
{Gal(b1-4)GlcNAc(b1-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,1.77,0,0
{Gal(b1-4)GlcNAc(b1-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.87,0,0
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]GalNAc,0.27,0,0
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,2.26,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,22.75,15.58,15.81
{Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)}{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,8.78,11.34
{Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)}{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,7.09,10.78
{Gal(b1-4)GlcNAc(b1-3)}{Gal(b1-4)GlcNAc(b1-3)}{Neu5Ac(a2-3)}{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,9.38,18.42,22.07
{Gal(b1-4)GlcNAc(b1-3)}{Gal(b1-4)GlcNAc(b1-3)}{Neu5Ac(a2-3)}{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,8.09,14.96,15.15
