glycan,healthy_1A,healthy_2A,healthy_3A,healthy_4A,healthy_5A,healthy_6A,cancer_1B,cancer_2B,cancer_3B,cancer_4B,cancer_5B,cancer_6B
GlcNAc(b1-3)GalNAc,0.126151775,0.056206823,0.079266855,0.125372021,0.263161666,0.06251745,0.113697775,0.03931568,0.028380777,0.166317681,0.114931466,0.254078861
Neu5Ac(a2-6)GalNAc,1.105257937,0.193359394,0.135939144,1.742298506,5.864719155,2.914532705,2.482735904,0.193764965,0.285212171,3.41787173,1.978356289,0.622936247
Fuc(a1-2)Gal(b1-3)GalNAc,1.682707124,7.982765889,5.381002498,8.414712724,2.951124997,6.479001721,0.291201039,6.53819491,2.233350605,3.261940322,4.270086165,2.096241026
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,4.001757681,0.498411595,2.422957879,1.319515046,1.894894808,1.574171714,4.279555154,1.389189619,2.665667715,1.511053638,2.827183847,4.66332265
GlcNAc(a1-4)Gal(b1-3)GalNAc,3.111145616,1.604551001,1.788426125,3.012934624,3.449441314,1.367100956,2.051741024,1.861417293,1.032269998,1.258313447,3.394539872,2.234586662
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,2.000825595,0.616638275,1.085304682,0.632993292,1.458583234,1.997925202,6.672515381,0.835405674,0.547142616,3.022482406,1.988189944,8.385159297
Neu5Ac(a2-3)Gal(b1-3)GalNAc,3.028239532,0.746447448,1.179646461,1.89049,3.74662633,3.680419546,2.805561016,1.94089189,1.248000335,13.88202261,2.841778706,12.41958693
GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0.369353434,0.113501043,0.067687234,0.106442923,0.566960325,0.076725818,0.673214518,0.046285069,0.088104853,0.044111952,0.150149708,0.190803748
GalNAc(a1-3)[Neu5Ac(a2-6)]GalNAc,0.186747738,0.057906497,0.047027983,0.077010896,1.795876311,0.135667666,3.260701966,0.034091114,0.144737207,0.235505775,0.202134278,0.814323748
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)GalNAc,1.874740349,0.453095341,1.548921573,1.789382985,1.530159127,1.328104541,0.806984782,1.560083756,0.730424206,0.872747224,1.416701094,1.777154418
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)GalNAc,0.191877085,3.59351613,0.484655447,3.744147118,0.340250644,0.932737626,0.065386478,1.551429354,0.26291089,0.562979348,0.466239289,0.694328235
Fuc(a1-2)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.94308572,0.720729417,2.571345122,1.201577403,1.80932562,0.718653268,0.141991438,1.283566379,3.380086189,1.585970611,1.238443368,0.942125445
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,3.363777605,1.348571712,1.956790227,3.748486788,5.394902616,2.586519517,9.11149244,3.449931721,2.929702603,1.791646582,7.02705319,4.9145273
GalNAc(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,2.267227514,0.728514283,0.641993328,0.880618314,1.713886047,0.643703799,0.879715547,0.999233613,1.009864601,0.325402463,1.404734921,0.72224265
