glycan,P1TS,P1TI,P3TS,P2TS,P4TS,P4TI,P6TA-FS,P6TA-FG,P6TA-AS,P6TA-AG,P5TA-AS,P5TA-AG,P7TA-AS,P7TA-AG,P8H,P9H,P10H
Gal(b1-3)GalNAc,0.2,2.1,0,1.7,1.5,0,3.5,1.3,0,0,2,0,0,0,2.3,0,0.9
GlcNAc(b1-3)GalNAc,0,0.2,0,0.1,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0.1
GalNAc(a1-3)GalNAc,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1
Neu5Ac(a2-6)GalNAc,0.7,3.3,0,10.6,11.3,0,0.3,0.5,0,0,12.5,0,0,0.3,0.9,1.3,2.2
Fuc(a1-2)Gal(b1-3)GalNAc,12.5,8.6,5.2,3.3,6,7.9,2.3,11.7,12,6.6,4.1,6.3,13.2,7.5,12,1.9,8.5
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.3,3.2,0.5,2.2,2.4,1.6,1.7,0.8,0.7,1.9,9,0,6.8,0.1,2.2,0.5,2.2
GlcNAc(a1-4)Gal(b1-3)GalNAc,0.5,1.3,1.4,2,3.9,0,0.5,0.5,0.7,0,0,0,0,0.3,0.1,0.2,0.7
Gal(b1-4)GlcNAc(b1-3)GalNAc,0.1,1.2,0,0.2,0.1,0,2.2,0.6,0.7,0,0.1,3.1,0,0,0.9,0,0.5
Gal(b1-3)GlcNAc(b1-3)GalNAc,0,0.2,0,0.3,0.4,1.2,0.8,0.6,0,0,0.1,5.6,0,0,0.3,0,0
GalNAc(b1-4)GlcNAc(b1-3)GalNAc,0,0.1,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0
Gal(b1-3)[GlcNAc6S(b1-6)]GalNAc,0,0.1,0,0.6,2.3,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-4)GlcNAc6S(b1-3)GalNAc,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.2,3.6,0.5,3.7,3.4,0.2,0.4,0.5,0.4,1.6,14.2,0,0,0.1,0.8,0.3,3.1
Neu5Ac(a2-3)Gal(b1-3)GalNAc,0.6,0.5,1.7,3.8,0.8,0.3,0.9,0.6,0.2,2.5,0.6,0,0,0.1,0.7,0.5,1
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GalNAc,0,0.6,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.4
GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0.2,0,1.5,0.1,0,0,0,0,0,0.6,0,0,0,0,0,0.4
GalNAc(a1-3)[Neu5Ac(a2-6)]GalNAc,0,0.4,0,1.5,0.9,0,0,0,0,0,0.5,0,0,0,0,0,0.2
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)GalNAc,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)GalNAc,0,0.6,0,0,0,0,0,0.5,0.7,0,0.1,0,0,0,0.1,0,0.4
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GalNAc,0.2,6.1,0,0.6,0.7,2.3,0.2,1.3,1,0.6,0.3,4.6,0,6.6,0.4,0,0.5
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)GalNAc,0.2,0.4,0,0,0,0,0,1,0.9,0,0,0,0,0,0.2,0,0.2
Fuc(a1-2)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.2,1.5,1.8,1,2.4,2.2,0.7,1.8,2.6,1.6,3.3,1.8,9.4,1.9,4,7.4,1.8
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,1,4.8,2.1,5.8,5.2,2.8,45.8,4.2,3.3,6,1.5,7.1,0,0.2,18.6,0.6,4.1
Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0.2,0.8,5.7,0.5,0.5,0.4,2.3,0.5,0.6,1.6,0.1,3.5,0,0.1,0.7,0.2,0.3
GalNAc(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.1,0.1,0,0.1,0,0.8,2.7,0.2,0.8,0,0,0.8,0,0,0.7,0.1,0.1
GlcNAc(a1-4)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.2,0.3,0.9,0.6,1,0.1,0,0,0,0.4,0.1,1,0,0.5,0.3,0.2,0.2
Fuc(a1-2)Gal(b1-3)[GlcNAc6S(b1-6)]GalNAc,0.5,0.8,4.9,2.5,8.2,0,0.3,0.3,1.3,0,0.2,0,13.4,0.4,0.3,0,0.5
Fuc(a1-2)Gal(b1-4)GlcNAc6S(b1-3)GalNAc,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.4,0.6,0,2.2,2.1,0,0,0,0,0,1.3,0,0,0.4,0.3,0.1,1
Gal(b1-4)GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0,0,0,1.3,2.2,0,0,0,0,0,0,0,0,0,0,0,0
GalOS(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
HexNAc(?1-4)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.1,0.1,0,0.4,0.7,0,0.2,0,0.1,0,0.1,0,0,0,0.1,0,0.3
Neu5Ac(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.3,2.4,0,4.7,0.2,0.3,0.5,0.1,0.1,0.4,4.5,0,0,0,0.5,0.8,1.7
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)GalNAc,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.1,0.3,0.3,0.3,0.3,0,0.7,0.3,0,1.9,0.9,0,0,0.5,0.5,0.4,1
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-3)GalNAc,0,0.8,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.4
Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-3)GalNAc,0.2,0.4,0,0,0,0.3,0.1,0.9,0.8,0,0,0,0,0.2,0,0.3,0.2
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0.6,0.4,0.4,0.3,0.6,0,0.2,0.5,0,0,0,0,0,0,0.3,0.6,0.3
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,3.3,1.5,0.7,0.5,1.1,2.9,0.7,5.5,5.5,3.4,0.1,0,0,0.3,0.6,1.8,1.5
Fuc(a1-2)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,4.7,3.9,4.3,0.8,2.8,8.7,1.1,9.2,11.4,7.9,1.5,5.8,0,1.1,0.6,5.6,3.8
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-3)GalNAc,0,1.6,0,0,0,0.2,0,0.6,0.6,0,0,1.5,0,0.4,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0.7,0,0.2,0,0.1,0,0.3,0,0,0,2.4,0,1.2,0.2,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,0,0.2,0,0.1,0,0,0,0.3,0.4,0,0,0,0,0,0.2,0,0
Fuc(a1-2)Gal(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]GalNAc,5.6,0,0,0,0,3.7,0.3,1.1,1.6,0,0.2,0,0,2.5,1.2,7.9,2.4
HexNAc(?1-4)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.1,0.2,0,0,0,0.4,0.3,1.6,0.8,3.2,0.1,0,0,0,0.1,0.7,0.3
Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0.4,0,0,0,2,0,0,0,0,0
GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0.2,0.6,0,0.5,0.7,0.4,0.2,0,0,0,0,4.7,0,1,0.1,0,0.2
HexNAc(?1-4)Gal(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.1,0.3,0.7,0.2,0.4,1.4,0.2,0,0,0,0.1,2.1,0,0,0,0,0.2
HexNAc(?1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0.7,1.5,0.7,1,0,0,0,0,0.2,0,1
HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0.3,0,0,0,0,0,3,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[GlcNAc6S(b1-6)]GalNAc,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.8,0.6,1.6,2.8,1.4,0.2,1.2,0,0,1.1,0.5,0,0,0,0.4,0.8,1.2
Fuc(a1-2)Gal(b1-4)GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.2
