glycan,mock_1,mock_2,mock_3,mock_4,PR8_1,PR8_2,PR8_3,PR8_4,x31_1,x31_2,x31_3,x31_4
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.702849673,0.662348081,0.753160408,0.808851826,1.586125167,1.523034052,1.445804651,2.278249666,2.999203961,4.520282711,2.59025076,5.0656084
Man(a1-2/3/6)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.045862009,0.043857814,0.044145139,0.043908716,0.08186524,0.086928975,0.084273041,0.113882295,0.165332768,0.238346803,0.13887758,0.286476836
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.923432726,0.927654927,0.985896223,1.025722487,1.533613726,1.502160263,1.488063394,1.280829007,2.260636043,2.224897605,2.254878603,2.150436666
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,4.343228537,4.196906123,4.402269785,5.477888102,6.832097374,6.446239855,6.892986335,8.051436403,9.171577113,12.30344341,9.813827478,12.80748601
Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.064166435,0.060280178,0.062338626,0.07198385,0.159648393,0.128771719,0.132238707,0.179861191,0.19628731,0.255572403,0.152720207,0.243710746
Man(a1-2)Man(a1-3)[Man6P(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.305016093,0.265622813,0.303843881,0.35063164,0.915977289,0.573002607,0.614158073,0.941100702,0.830002372,1.835167152,0.825058494,2.120914381
Man(a1-2)Man(a1-3)[Man6P(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.096923285,0.076106077,0.107434551,0.106829135,0.126423306,0.154383653,0.128692541,0.217853875,0.21662037,0.544676789,0.240902986,0.637907464
Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.00269088,1.888476793,1.936024446,2.048347696,3.280566206,3.293486074,2.948838785,3.477737079,5.184053585,5.000794078,5.006808837,4.833485194
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.485792302,2.451651918,2.650534408,2.964444419,3.236189822,3.766957198,4.405550833,4.16667687,4.725139509,5.481714834,3.978138637,5.388950086
{Man(a1-2)}Man(a1-2)Man(a1-3)[Man6P(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.217645292,0.183654632,0.180253927,0.208447542,0.323717963,0.299617505,0.252516202,0.364197992,0.417506383,0.599436703,0.372576284,0.750410809
{Man(a1-2)}Man(a1-2)Man(a1-3)[Man6P(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.079298651,0.069757413,0.086971737,0.092461641,0.141788717,0.110484379,0.117088883,0.189409339,0.149436265,0.367753504,0.197929458,0.422362016
{Man(a1-2)}Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.413412297,4.441290042,5.491270757,5.850436506,8.095305521,7.905567423,8.466052931,8.091792708,11.71587891,11.47667374,11.79140351,11.67443113
{Man(a1-2)}{Man(a1-2)}Man(a1-2)Man(a1-3)[Man6P(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.041219669,0.047416292,0.05662136,0.057150172,0.244159196,0.122962009,0.132116293,0.155633608,0.132476073,0.243208027,0.106693456,0.251523971
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,4.110003429,3.451454228,4.690831884,5.693017064,5.542513688,5.671812522,8.080998237,6.416652687,8.335453499,6.02921699,6.729867336,5.880069567
H9N2,0.146396932,0.11767447,0.148754623,0.127640503,0.260820959,0.220649268,0.184152484,0.216385169,0.324604229,0.278271379,0.448507438,0.262391762
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.662729344,0.7477819,0.774946686,0.848418813,0.978718324,0.812918817,0.988265238,1.026860847,1.15669556,0.993599145,0.960148712,0.881454684
H10N2,0.000834228,0.001112112,0.000586143,0.003501054,0.00289974,0.004927019,0.00505944,0.010278867,0.001217918,0.001888509,0.006802312,0.013723451
