glycan,mock_1,mock_2,mock_3,mock_4,PR8_1,PR8_2,PR8_3,PR8_4,x31_1,x31_2,x31_3,x31_4
Neu5Ac(a2-3)Gal,1.12E+00,1.07E+00,1.07E+00,8.59E-01,4.04E-01,7.82E-01,4.02E-01,5.02E-01,3.60E-01,5.10E-01,3.16E-01,4.00E-01
Gal(b1-3/4)GlcNAc(b1-3)Fuc,1.01E-01,8.22E-02,9.40E-02,9.63E-02,1.12E-01,1.55E-01,1.49E-01,1.35E-01,1.39E-01,7.62E-02,1.29E-01,1.68E-01
Gal(b1-3/4)GlcNAc(b1-3)Fuc,1.37E-01,1.14E-01,1.37E-01,1.54E-01,1.79E-01,2.32E-01,2.21E-01,2.01E-01,1.86E-01,2.69E-01,1.97E-01,2.09E-01
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,1.56E+00,1.59E+00,1.55E+00,1.21E+00,2.08E+00,2.53E+00,2.81E+00,2.89E+00,3.23E+00,5.09E+00,4.04E+00,6.11E+00
Neu5Ac(a2-3)Gal(b1-3)GalNAc,2.26E+00,3.15E+00,2.83E+00,3.10E+00,1.56E+00,2.48E+00,2.38E+00,2.04E+00,1.92E+00,2.18E+00,1.85E+00,2.02E+00
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,7.85E+00,1.10E+01,1.32E+01,1.28E+01,7.08E+00,8.75E+00,7.79E+00,7.06E+00,2.53E+00,3.50E+00,1.97E+00,2.72E+00
Neu5Ac(a2-6)GalNAc,6.26E-02,7.13E-02,5.41E-02,5.57E-02,7.84E-02,7.88E-02,9.93E-02,1.11E-01,1.21E-01,1.23E-01,1.49E-01,1.10E-01
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,9.28E-02,1.44E-01,9.61E-02,9.45E-02,2.09E-01,2.53E-01,3.73E-01,1.92E-01,3.17E-01,5.21E-01,3.54E-01,4.97E-01
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)GalNAc,1.68E-01,1.85E-01,2.43E-01,3.01E-01,1.37E-01,2.05E-01,1.60E-01,1.98E-01,1.46E-01,1.79E-01,1.14E-01,2.11E-01
H2N2,8.40E+00,7.34E+00,8.20E+00,8.81E+00,1.57E+01,1.88E+01,2.12E+01,1.98E+01,2.15E+01,2.04E+01,2.38E+01,2.29E+01
H2N2,4.52E-01,3.49E-01,4.01E-01,3.63E-01,7.16E-01,5.80E-01,6.87E-01,6.59E-01,9.05E-01,6.31E-01,9.14E-01,5.51E-01
H2N2,1.55E-01,1.43E-01,1.48E-01,1.27E-01,2.13E-01,2.38E-01,2.73E-01,2.71E-01,3.36E-01,3.10E-01,2.04E-01,2.83E-01
H2N2,7.95E-02,7.36E-02,8.09E-02,7.54E-02,1.51E-01,1.95E-01,2.28E-01,1.88E-01,2.30E-01,2.33E-01,2.52E-01,2.12E-01
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,1.85E-01,1.72E-01,1.59E-01,1.53E-01,4.86E-01,5.32E-01,5.72E-01,6.90E-01,4.20E-01,7.19E-01,5.10E-01,1.04E+00
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,5.82E-01,6.06E-01,6.03E-01,4.86E-01,2.87E-01,2.39E-01,2.38E-01,3.99E-01,2.34E-01,3.39E-01,2.96E-01,3.84E-01
