glycan,WT_1,ST3GAL1_1,ST3GAL2_1,ST3GAL3_1,ST3GAL4_1,ST3GAL5_1,ST3GAL6_1,ST3GAL1+2_1,ST3GAL4+6_1,WT_2,ST3GAL1_2,ST3GAL2_2,ST3GAL3_2,ST3GAL4_2,ST3GAL5_2,ST3GAL6_2,ST3GAL1+2_2,ST3GAL4+6_2,WT_3,ST3GAL1_3,ST3GAL3_3,ST3GAL4_3,ST3GAL6_3,ST3GAL4+6_3,WT_4
H4N4,0.0162988,0.010182,3.64E-03,0.0381939,0.03015,7.43E-03,4.63E-03,8.95E-03,0.0261689,0.017701,5.00E-03,2.49E-03,0.0170613,8.27E-03,5.42E-03,0.0165325,0.0102386,0.0230699,5.79E-03,3.02E-03,0.0115178,0.0172195,7.05E-03,0.0407511,0.0173419
H4N4,0.0528092,0.0596885,0.0411828,0.0320968,0.0515413,9.13E-03,0.031509,0.0183864,0.0337417,0.1098617,0.0336254,0.0451267,0.0649368,0.0253127,5.64E-03,0.0577162,0.0347208,0.032545,0.0712597,0.0376472,0.059944,0.0299112,0.0536368,0.0785728,0.1022882
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)]Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.1678856,0.0804663,4.36E-03,0.0363677,0.0581105,0.0630303,0.2175644,0.1552937,0.0596197,0.1507523,0.0182959,0.1334899,0.0296164,0.3090263,0.0295306,0.0729481,0.2480385,0.0652587,0.1716593,0.0810146,0.0135204,0.0372792,0.2312839,0.0380586,0.1434193
H4N4F1S1,0.0140654,0.0392762,6.31E-03,0.0129192,8.11E-03,2.19E-03,0.0211344,1.65E-03,8.44E-03,0.0219203,0.010913,0.0129728,4.37E-03,0.0142432,0.01004,0.0125757,0.0256982,9.88E-03,0.0316124,0.0252737,0.0201773,4.30E-03,0.0256076,0.0109724,0.0314427
H4N4F1S1,0.0420809,0.0196184,0.0212869,0.0311999,0.0575838,0.0218908,0.0238893,5.26E-03,0.0716005,0.068035,0.0163374,0.0179936,0.0332178,0.0298378,0.0265524,0.0298901,8.69E-03,0.0740573,0.0521489,0.0193287,0.022801,0.0413305,0.0470667,0.1365749,0.0713458
Gal(b1-4)Glc1Cer,1.8064423,2.1030802,1.3881374,1.70435,2.6368283,0.5996833,2.1347887,2.6691309,1.7162396,1.4387083,2.4499068,1.3904949,2.766157,1.2114565,0.6183965,2.134851,1.7211345,1.399826,1.6910315,2.0524063,2.5530165,1.8772275,1.5676933,2.0460147,1.8459084
Gal(a1-4)Gal(b1-4)Glc1Cer,7.1465229,6.2087864,1.6791841,1.1853383,2.6570342,3.7380371,3.8915062,0.4443633,3.1678947,5.9899238,1.0084775,5.8310372,2.2650953,6.4628689,2.1158615,7.9676716,1.3109124,2.5437767,5.6981385,3.0295086,2.422323,1.2338573,4.2234321,1.8461105,6.258985
H2N1,0.0154109,0.0145242,0.0303037,0.0264651,0.0343747,0.0285582,0.0149609,0.017326,0.0309869,9.47E-03,0.017513,0.0120758,0.0277484,0.0175838,0.0310081,0.0134477,0.0224161,0.0272367,0.0138873,0.0143675,0.018926,0.0213128,9.31E-03,0.0281052,7.70E-03
H2N1,0.0364846,0.0349548,0.0702193,0.0226743,0.0182074,0.0888379,0.0527771,0.0366716,0.0208534,0.0276075,0.0260768,0.0360399,0.0272969,0.0246971,0.0707753,0.0304757,0.0354276,0.0253199,0.0312904,0.0338019,0.0259435,0.0260722,0.0367666,0.0167963,0.0288237
GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.3730145,0.2144991,0.7290969,0.2656154,0.1524642,0.6853984,0.5139628,0.2305976,0.2885783,0.1737093,0.2442008,0.3231395,0.2013968,0.3350438,0.7480285,0.283921,0.2565719,0.3381507,0.2144399,0.2015851,0.2517553,0.2188423,0.3241695,0.2216526,0.168155
H2N1,0.020508,0.017287,0.0101,0.0385189,8.41E-03,4.48E-03,8.89E-03,6.38E-03,6.66E-03,0.0148685,8.52E-03,8.89E-03,0.0136352,8.26E-03,9.27E-03,2.31E-03,3.33E-03,7.98E-03,8.41E-03,6.77E-03,0.0193105,9.09E-03,0.0104435,8.83E-03,5.34E-03
Neu5Ac(a2-3/6)Gal(b1-4)Glc1Cer,0.2787795,0.2338155,0.1053093,0.6133734,0.1785174,8.11E-03,0.2269923,0.2123951,0.2489271,0.1519906,0.3808071,0.1512717,0.1611693,0.3003951,8.86E-03,0.1821119,0.1325933,0.1719465,0.2253664,0.172196,0.5315291,0.118135,0.1536609,0.1704207,0.1486421
