glycan,WT_1,ST3GAL1_1,ST3GAL2_1,ST3GAL3_1,ST3GAL4_1,ST3GAL5_1,ST3GAL6_1,ST3GAL1+2_1,ST3GAL4+6_1,WT_2,ST3GAL1_2,ST3GAL2_2,ST3GAL3_2,ST3GAL4_2,ST3GAL5_2,ST3GAL6_2,ST3GAL1+2_2,ST3GAL4+6_2,WT_3,ST3GAL1_3,ST3GAL3_3,ST3GAL4_3,ST3GAL6_3,ST3GAL4+6_3,WT_4
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0122102,9.41E-04,4.24E-03,5.56E-03,0.011804,3.27E-03,0.0227625,2.19E-03,7.80E-04,2.23E-03,1.28E-03,2.22E-03,0.0220241,1.49E-03,0.0144007,0.0135962,0.0106632,8.09E-04,5.74E-03,2.53E-03,2.99E-03,3.12E-03,2.35E-03,0.0143228,2.62E-03
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.1629795,4.10E-03,0.1237744,0.0115066,0.0705493,0.0564392,0.1165018,0.0519466,0.1004462,0.1713173,0.0465162,0.0595257,0.1861457,0.1102759,0.0720146,0.1903828,0.0328974,0.0580218,0.1214826,0.0309383,0.0241046,0.0938601,0.1368033,0.106671,0.2121405
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.7003216,0.4842535,0.4138046,0.1716618,0.5955739,0.899129,0.7956798,0.5738646,0.782521,0.8702919,0.4267241,0.3876202,1.4692334,0.4623261,0.9616673,0.7551299,0.5946911,0.5984083,1.078554,0.3482353,0.3968727,1.0577371,1.0392052,0.8009328,1.4087392
Man(a1-2/3/6)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.187086,0.1239426,0.0355751,0.1156445,0.0452831,5.89E-03,0.0687132,0.0318292,0.031846,0.0619127,0.0185523,0.0555809,0.0775965,0.0763896,0.0259182,0.0720715,0.0429682,0.0253156,0.0480738,2.42E-03,3.54E-03,0.0352303,0.0569901,0.0283943,0.0674898
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.2944753,0.8825216,0.7945607,0.603287,0.8670715,0.8698943,1.200127,0.9101997,0.6779177,1.5561399,0.6277067,1.076165,1.3499879,1.1376891,0.8040339,1.5227687,0.9725017,0.7136341,1.6314025,0.6583895,0.5899264,0.8543179,1.1594208,0.731145,1.2907584
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0211214,0.021436,0.0151707,0.0121448,0.0261597,0.0215673,0.0427889,0.0240457,0.0204332,0.0446099,0.0151984,0.0208578,0.0245277,0.038838,0.0404557,0.0304895,0.0170167,0.0349419,0.0118397,0.0147553,0.0190763,0.0487716,0.0177579,0.0213008,0.046695
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0670076,0.0490307,0.1177449,0.0204635,0.0516571,0.0794463,0.0806602,0.0417838,0.0851088,0.0815919,0.0367336,0.0473068,0.087194,0.0754077,0.0775651,0.0577337,0.0369887,0.0503411,0.0498205,0.0194045,0.0216932,0.0652975,0.0703444,0.064178,0.1068817
GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0955031,0.114481,0.1136764,0.1735135,0.1605958,0.1042316,0.1397973,0.0574916,0.1278062,0.1131068,0.0623271,0.1900202,0.0998473,0.2791043,0.0965699,0.1227897,0.0435101,0.1161119,0.088396,0.1124605,0.1595356,0.1655492,0.0719192,0.1265082,0.1281007
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0696712,0.0625803,0.1284736,0.071167,0.0828566,0.0250413,0.1110993,0.0320996,0.0835795,0.1070715,0.0344772,0.0447862,0.1069838,0.0822588,0.062893,0.1182212,0.047782,0.0413753,0.0591875,0.0250163,0.0367324,0.0794312,0.1004892,0.0760583,0.1191535
GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.18E-03,2.22E-03,1.82E-03,1.83E-03,2.87E-03,4.10E-03,0.0112193,7.97E-04,9.81E-04,2.74E-03,7.48E-04,1.12E-03,6.12E-04,6.46E-04,4.53E-04,2.72E-03,4.41E-03,6.39E-04,6.42E-03,2.81E-03,7.60E-04,1.95E-03,5.86E-03,4.25E-03,3.73E-03
