glycan,WT_1,ST3GAL1_1,ST3GAL2_1,ST3GAL3_1,ST3GAL4_1,ST3GAL5_1,ST3GAL6_1,ST3GAL1+2_1,ST3GAL4+6_1,WT_2,ST3GAL1_2,ST3GAL2_2,ST3GAL3_2,ST3GAL4_2,ST3GAL5_2,ST3GAL6_2,ST3GAL1+2_2,ST3GAL4+6_2,WT_3,ST3GAL1_3,ST3GAL3_3,ST3GAL4_3,ST3GAL6_3,ST3GAL4+6_3,WT_4
Neu5Ac,0.3048529,0.2533329,0.0504219,0.3063395,0.2911182,0.0759377,0.3958714,0.0917167,0.1749643,0.1511059,0.2396097,0.0156593,0.1836357,0.1347478,0.121199,0.1756257,0.153225,0.8473589,0.5455133,0.4985745,0.2289727,0.3185592,0.4261582,1.0302353,0.9629823
Neu5Ac,0.3693055,0.3075923,0.1197211,0.335307,0.3909764,0.3628325,0.5245619,0.2283598,0.4010965,0.3135693,0.2714963,0.3676855,0.3697332,0.2225874,0.1813771,0.1927507,0.3085541,0.8526498,0.5361579,0.4736002,0.3504549,0.4003354,0.4244871,1.0166723,0.8457094
Fuc,0.4041937,0.3549122,0.3802396,0.2697436,0.818953,0.4497851,0.693902,0.3016909,0.5022507,1.0624335,0.9511403,0.9351109,0.9722387,1.2655629,1.0685332,1.5988386,1.1670177,0.0244781,0.3149664,0.3279912,0.3925794,0.317775,0.4796154,0.2139003,0.0939086
GlcNAc,2.5714781,2.2015032,1.4796215,0.5287741,1.9811958,2.1867483,3.5755353,1.7961485,1.9548467,3.0023209,2.1031354,3.1274884,2.9170269,2.5783451,2.8131708,7.3242446,2.6605046,1.1066524,3.3576082,2.0466026,1.6353839,1.9127996,2.84422,1.9457647,3.7254657
GalNAc,0.3349984,0.4121558,0.3869514,0.3273388,0.496847,0.5610861,0.7894477,0.5769959,0.4171245,0.5786764,0.680061,0.7104847,0.5491405,0.241102,0.4597905,0.6656955,0.4946542,0.3995066,0.4677331,0.5495342,0.3383985,0.3793117,0.6093491,0.5193797,0.6100727
Neu5Ac(a2-3)Gal,1.2141657,0.2709088,0.6558245,1.1721464,1.896681,1.3413458,1.563748,0.0513538,2.7931712,1.3553457,0.4614132,1.2891434,2.0068063,1.7016562,1.8851974,1.0091146,0.0114888,1.3960481,1.1022997,0.2458348,1.4356255,1.5661596,1.8962022,1.932149,1.6646629
Glc(b1-3)Fuc,6.0255422,5.502191,7.7862498,11.7809636,6.4272919,10.2223069,3.7831686,1.8905242,5.4423906,3.6020436,7.7978522,9.4330196,8.8443283,10.3292126,11.8477442,1.4362901,2.3747324,4.7161919,6.8915893,8.1410535,13.150688,13.4802557,6.5113112,4.3280765,2.80249
Gal(b1-3)GalNAc,17.0998823,16.6809318,13.478523,11.3898082,11.3183891,8.2755362,16.9957438,27.6958364,11.0577273,21.4840636,15.4797898,13.7509542,11.3504572,8.4472803,9.0762921,25.2421879,27.0197299,10.2616675,18.3416397,14.0347131,7.092588,8.2562625,14.9931752,13.6619456,20.5777709
Gal(b1-4)GlcNAc,3.5876587,3.1960231,4.1424075,5.0745936,4.5792628,5.3115968,2.4835823,2.6552323,2.9831832,3.1658315,3.814608,4.2881464,4.2414999,7.2376718,4.5708472,2.9480729,2.6769313,2.5926651,3.7524591,3.4975406,5.1811637,5.5195547,2.6135851,3.2166148,2.2889343
Neu5Ac(a2-3)Gal(b1-3)GalNAc,9.1200851,4.0595956,2.0490554,9.608959,8.8877657,11.4456646,9.4447469,0.1970583,10.6644536,10.3929271,6.1534938,4.1826006,8.3642292,11.1548424,10.4679849,6.6093623,0.5121911,7.9111273,7.8051272,4.3468975,6.4395395,7.667185,9.6886367,10.3930025,8.8141879
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,3.1980267,2.6467221,1.0693899,1.1820573,2.5709055,2.6618025,3.318976,6.3673957,2.3902163,3.7875333,3.0762246,1.7999579,2.942501,1.7118587,1.8986435,4.5616037,5.5936977,2.0346785,2.7604398,2.007785,1.2220504,1.2350392,2.0366771,2.7045161,3.5239655
