glycan,ST6,SM19,SM21,M21,M16,M19,M15,M18,M17
Gal(b1-3)GalNAc,0.7,0.62,1.55,0.64,1.18,0.8,0.92,0,0
Neu5Ac(a2-6)GalNAc,0,0.16,0,0,0.67,0.64,1.09,0,0
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0.76,0,1.37,3.15,0
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.74,0.3,0.94,0.65,0.58,0.83,1.26,0,2.12
Neu5Ac(a2-3)Gal(b1-3)GalNAc,22.15,11.6,18.46,17.44,5.5,12.15,10.76,14.33,22.02
GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0,0,0.26,0,0.62,0,0
GalNAc(a1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0,0,0.38,0,0.38,1.18,0
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.41,0.95,1.39,1.25,1.01,0.82,2.64,6.72,0
Neu5Ac(a2-3)Gal6S(b1-3)GalNAc,0.81,0,0.98,1.03,0,0,0,0,0
Gal(b1-3)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,0,0,0,0,0.41,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-3)GalNAc,0,0,0,0,0.14,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.67,0.65,0,0,1.52,1.12,1.11,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0.78,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,47.31,23.41,37.84,42.78,12.08,25.48,26.1,36.08,49.72
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,1.55,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,4.88,1.84,0.99,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc6S(b1-3)Gal(b1-3)GalNAc,0,0,0,0,3.51,0.9,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0,0,0.24,0,0,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0,0,0.71,0,0,0,0
Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0.87,0.74,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,3.45,5.34,4.52,2.88,0.73,6.85,3.35,3.47,3.36
