glycan,Pro_1,Pro_2,Pro_3,Pro_4,Anti_1,Anti_2,Anti_3,Anti_4
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.493935817,0.802285435,1.114386661,0.794710838,0.73111935,1.007017139,1.008973264,0.887128232
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)GlcNAc,6.993517007,8.852903414,8.479722531,9.516847668,9.808978363,8.166147387,7.510400613,8.308889251
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,9.029991213,10.99368169,11.005179,9.883397858,12.79427041,12.50127759,12.10272709,14.00169854
{Man(a1-3/6)}Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)GlcNAc,0.357942386,0.491642612,0.522609729,0.698038261,0.464595621,0.388058225,0.487304424,0.678419279
{Man(a1-3/6)}Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)GlcNAc,0.184386254,0.351394586,0.424774927,0.688517477,0.422732515,0.364429645,0.333189773,0.594567117
{Man(a1-3/6)}Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)GlcNAc,1.734190421,2.155732504,2.45834957,1.151190968,2.24052476,2.250759686,3.218900329,2.612086997
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.843112659,3.238811884,3.712718877,2.57610448,3.106214196,3.702158993,3.912691374,3.405764606
{Hex(?1-3/4/6)}GlcNAc(b1-2)Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)GlcNAc,0.061690568,0.045339315,0.356078649,0.041104155,0.046813136,0.030607255,0.045919263,0.082009258
{Hex(?1-3/4/6)}GlcNAc(b1-2)Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)GlcNAc,0.115841178,0.136434995,0.335593384,0.163958889,0.149844463,0.150838265,0.177674534,0.101436544
{Hex(?1-3/4/6)}GlcNAc(b1-2)Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.131058185,0.13238365,0.327646514,0.097221853,0.076018309,0.090063358,0.164268911,0.078630599
{Hex(?1-3/4/6)}GlcNAc(b1-2)Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.499830694,0.406862263,0.457680856,0.308693117,0.203375496,0.248045147,0.326536982,0.266376512
