glycan,Az_1,Az_2,Az_3,Az_4,Sp_1,Sp_2,Sp_3,Sp_4,Ge_1,Ge_2,Ge_3,Ge_4,Se_1,Se_2,Se_3,Se_4
GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.957830448,2.697475772,3.356559688,2.248713895,0.921504816,0.537494554,1.116303835,0.452547468,1.350245764,3.142871999,1.802378001,1.25741088,0.851904687,1.271855849,0.980054149,0.992218816
Man(b1-4)GlcNAc(b1-4)GlcNAc,4.099240889,3.174962645,0.969773653,0.983959462,0.889429045,0.669784917,0.275117021,0.33749836,0.586493083,1.116423483,0.273024804,0.057247167,0.834396272,1.022462035,0.114140346,0.106530834
Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,12.62380112,11.22153252,11.35013661,11.70434613,1.525914977,1.085742836,1.993216303,1.413331367,1.888836519,1.079791225,1.550898492,1.186616873,1.027442814,1.017080016,1.013332601,1.288706414
Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc,3.469094284,3.556731856,4.01541725,3.058097443,1.820062625,1.452766975,1.685076394,1.089363924,2.321382819,2.371539496,2.020274724,1.857316209,1.320848739,1.524770232,1.40111519,1.294279966
Man(a1-6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,29.56686456,35.07473392,33.92548611,37.00702031,10.43325385,10.4628404,8.994965361,8.348713288,12.02880086,10.57202776,12.17035197,7.797827798,6.168954539,7.227847937,6.571408243,6.094627755
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.961279271,0.984040967,1.070358566,0.961747843,0.686440738,1.053504035,0.760816378,0.781452848,1.304249736,1.63709923,1.606293861,1.095463378,0.889372997,1.266838028,1.381242986,1.027205518
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.731204838,2.051683777,2.164148244,2.121002535,1.135867191,1.507769912,1.186366904,1.064440248,2.817807633,2.488963279,2.312086032,2.424962798,2.179578227,2.793793441,2.153113333,2.278239791
{Man(a1-2/3/6)}Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.189533099,0.297549488,0.271336509,0.264664845,0.15003121,0.147872557,0.153947101,0.134397432,0.278634495,0.271801703,0.249694409,0.25248642,0.169182436,0.151789096,0.194428044,0.167966571
{Man(a1-2/3/6)}Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.52868186,0.500724531,0.503937799,0.446564708,0.303488112,0.420162841,0.331223988,0.321022431,0.575851036,0.684202447,0.512371362,0.69385711,0.510725153,0.459171121,0.534202784,0.426934035
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.415506552,1.306386246,1.168727021,1.340980175,0.829934905,1.13954985,0.780116585,1.151265653,1.307791255,1.575211883,1.327159625,1.415004041,1.044179466,0.85829025,0.847839085,1.083954404
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.347626801,0.359203161,0.399869883,0.366480814,0.640694274,0.489222689,0.439494342,0.367836017,0.849492426,0.660445331,0.897704715,1.085381704,1.168524016,1.542211208,1.112568794,1.465768008
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,3.16214577,3.188582868,3.701756975,2.597255394,3.223884389,2.949968623,3.007674996,3.011851535,5.244753961,5.654899116,4.829219888,5.531321183,5.936548112,7.303155724,5.724742516,6.726288466
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.942828665,1.269582093,1.117896283,1.019162371,2.048948909,1.93148855,1.669277498,1.377918608,3.111806201,3.756694456,3.184904356,4.099579734,5.095902078,6.45825982,5.439940883,7.160797464
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.275183039,0.251154764,0.199058914,0.216339861,1.076809282,0.935001979,0.844344136,0.582684718,3.045452995,2.328209687,2.577941799,2.622241924,4.349017614,5.927827542,3.975539215,6.386681847
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.256107449,0.209837401,0.380935011,0.296576337,1.418660015,1.005762981,0.817709605,0.682121228,2.885717359,2.346148228,3.223174222,2.335352283,3.944069316,6.824075183,4.99336553,6.628599311
Man(a1-2)Man(a1-3)[Man(a1-3)[Man6P(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.426537786,0.473779593,0.474216171,0.424745444,0.313880661,0.378945012,0.472111815,0.349980369,0.445680527,0.409206718,0.441645136,0.496159549,0.35682664,0.290345712,0.409926615,0.445149414
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man6P(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.34075198,0.217789247,0.439618339,0.320902311,0.2149654,0.284997782,0.254182868,0.336594685,0.507163051,0.729859686,0.599134847,0.438023207,0.442008029,0.846231292,0.443030311,0.289267316
GlcNAc(b1-2)Man(a1-3)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.721584437,0.881472897,1.028541417,0.799116941,0.321469789,0.161018135,0.327059271,0.171189909,0.243236791,0.257168607,0.288708862,0.172787589,0.136238772,0.233773823,0.205462609,0.130370433
GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.412217507,0.692240449,0.67599816,0.572466878,0.263906611,0.276156254,0.276873819,0.271070188,0.12154844,0.137355495,0.144134873,0.134003876,0.104384655,0.038442986,0.106800613,0.138224074
GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.505041173,0.596307872,0.644756676,0.560020524,0.20978837,0.352986414,0.336740088,0.32988974,0.339837195,0.439314745,0.457195551,0.354806905,0.481398179,0.513962493,0.629394634,0.474106547
