glycan,DonorA_day0,DonorA_day7,DonorB_day0,DonorB_day7,DonorC_day0,DonorC_day7
Gal(b1-3)GalNAc,6.81E+00,7.249538083,6.333862358,8.315052013,5.808376852,15.89143199
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,9.76E-01,0.880209403,0.616072717,0.909348241,0.873920921,2.155187568
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,2.89E+00,3.336070622,2.395036791,3.715236006,2.163487158,2.555989171
Neu5Ac(a2-3)Gal(b1-3)GalNAc,3.59E+01,32.20591254,37.51262444,39.98301606,53.1812853,37.9706782
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,2.64E+00,4.388215972,2.568171981,2.303446324,1.939678141,4.289280315
Neu5Ac(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,1.12E+00,1.424245535,1.154234598,1.224258722,1.177661729,0.643392047
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,2.25E+00,4.003284746,2.294041264,2.501592244,2.51518704,4.570544598
Fuc(a1-2)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,3.17E-01,0.47731472,0.304429375,0.813813601,0,1.786028197
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,1.47E+01,13.72921371,15.1493291,17.26700163,14.06799531,10.09035615
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,6.39E-01,0.934099774,0.745924109,0.873965041,0.511563466,1.884470696
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,4.99E+00,6.569492917,4.515942865,3.644469606,2.58446126,2.798579615
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,4.80E+00,7.300862246,4.285095946,3.400325525,2.914845998,2.686073902
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,2.52E+00,2.566208171,2.423892656,3.096030005,2.264734094,3.009527828
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,1.06E+00,1.591049066,1.233588227,1.762083363,1.524032825,1.757901768
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,18.37833107,13.34428249,18.46775357,10.19036162,8.472769903,7.910557958
