glycan,fungal_1,fungal_2,fungal_3,viral_1,viral_2,viral_3,viral_4,viral_5,viral_6,viral_7,viral_8,viral_9,bacterial_coagulase_negative_staphylococcus_1,bacterial_coagulase_negative_staphylococcus_2,bacterial_coagulase_negative_staphylococcus_3,bacterial_enterococcus_casseliflavus_1,bacterial_enterococcus_casseliflavus_2,bacterial_escherichia_coli_1,bacterial_escherichia_coli_2,bacterial_escherichia_coli_3,bacterial_escherichia_coli_4,bacterial_escherichia_coli_5,bacterial_escherichia_coli_6,bacterial_escherichia_coli_7,bacterial_escherichia_coli_8,bacterial_haemophilus_influenzae_1,bacterial_klebsiella_pneumoniae_1,bacterial_microaerophillic_streptococcus_1,bacterial_pseudomonas_aeruginosa_1,bacterial_pseudomonas_aeruginosa_2,bacterial_pseudomonas_aeruginosa_3,bacterial_serratia_marcescens_1,bacterial_staphylococcus_aureus_1,bacterial_staphylococcus_aureus_2,bacterial_staphylococcus_aureus_3,bacterial_staphylococcus_aureus_4,bacterial_staphylococcus_aureus_5,bacterial_staphylococcus_aureus_6,bacterial_staphylococcus_aureus_7,bacterial_streptococcus_agalactiae_1,bacterial_streptococcus_australis_1,bacterial_streptococcus_dysgalactiae_1,bacterial_streptococcus_pneumoniae_1,bacterial_streptococcus_pneumoniae_2,bacterial_streptococcus_pyogenes_1,bacterial_streptococcus_pyogenes_2,bacterial_streptococcus_pyogenes_3,bacterial_mixed_1,bacterial_mixed_2
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.98676172,1.373661853,0.903056321,0.648876417,0.719386496,0.795840911,0.808118235,0.805873653,0.887143362,0.930604253,0.694746659,0.967610264,0.756330497,0.638755235,0.907174286,0.754157504,1.418372888,0.918782835,0.949398676,1.110795999,1.067717448,1.164157515,0.802240903,0.670862145,1.234925458,0.657090964,0.469818104,0.77298991,1.006979865,0.872049089,0.619349052,0.93526156,0.885366548,0.767975269,0.99025006,0.389665948,0.537226217,1.113902142,1.007158021,1.118057315,0.900115078,0.868837318,0.481783808,0.744922092,0.89610026,0.627696788,0.988872515,1.040002649,1.040002649
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.411636192,1.500594459,1.219659106,0.801077031,0.759730785,1.281013659,1.045395785,1.414641892,1.352744893,1.212752189,0.732447439,0.953345099,1.161872219,0.964597643,1.441266114,1.082341502,1.552474557,1.383334258,1.565778663,1.610815356,1.146991429,0.907854084,1.001241848,0.674630915,1.602261819,1.239699464,1.104946485,1.037804619,1.244811375,1.44912862,0.881727375,1.103663868,1.001444712,1.124461122,0.84396176,0.486246156,0.958609397,1.403418457,1.440520478,0.94577851,0.930074165,1.124926251,0.663178215,0.84068402,1.007078894,0.936810773,1.368336353,1.037157848,1.037157848
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.776748403,0.803105021,0.571042682,0.529913409,0.285061513,0.358017001,0.53421217,0.473381264,0.557313537,0.378314084,0.206584617,0.408616429,0.428063256,0.326254024,0.527150106,0.373216809,0.659876389,0.593636459,0.526914666,0.476989188,0.490740659,0.3420001,0.487009318,0.428170121,0.501960761,0.297789042,0.338531217,0.641951691,0.46657498,0.542207636,0.365087218,0.429538126,0.456082385,0.437160652,0.309453974,0.277604632,0.182357572,0.644744875,0.566017365,0.638881935,0.444679178,0.572557892,0.244748474,0.521793689,0.418542675,0.331363448,0.746674268,0.355998106,0.355998106
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.393602983,1.21538068,0.844566808,0.658964843,0.371287032,0.646457702,0.658465729,0.72874654,0.826069087,0.735175506,0.461445365,0.561636603,0.479425452,0.47800712,1.095915481,0.549520899,1.25375124,0.689195609,0.754286286,0.912131533,0.76503663,0.511420334,0.790779271,0.47245055,0.684743987,0.704189079,0.60854855,0.761013298,0.67527682,0.837806443,0.694690191,0.634692147,0.665612584,0.671723392,0.563292348,0.391597353,0.283350852,1.163297965,0.707489545,0.724194949,0.656414983,0.830197994,0.363385472,0.649129072,0.772983661,0.671172057,0.871578706,0.448517223,0.448517223
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.913327324,0.644112849,1.213314187,0.663563208,0.497466914,0.725354318,0.662743028,0.581903551,0.678168749,0.538430303,0.538760228,0.754115051,0.917044466,1.091290595,0.533057581,0.625762386,1.521648824,0.999909063,1.266749985,0.620968257,0.478870467,0.856953355,0.812176275,0.488145012,1.086253186,0.677827475,0.826913013,0.760282207,0.741769592,0.544541582,0.319067983,0.945591771,0.940614742,0.6398806,0.467250783,0.312350011,0.725248459,0.443154041,1.021259718,0.605492123,0.668259273,0.629488848,0.44981387,0.677702193,0.938572799,0.543862377,0.827726983,0.686363882,0.686363882
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.108038916,0.181524357,0.113985908,0.094222758,0.103876145,0.086545797,0.125445375,0.092259436,0.067684667,0.046150109,0.059564623,0.047762742,0.100046469,0.133714635,0.112908148,0.093869577,0.173182807,0.145272548,0.151224266,0.055549703,0.06042346,0.08908294,0.073906251,0.048238163,0.081391014,0.07028773,0.063511331,0.117719058,0.14135446,0.089925557,0.034352386,0.098335664,0.127355631,0.078120751,0.030591903,0.037084968,0.076403705,0.096490171,0.127637673,0.037995304,0.091457633,0.091549406,0.035680055,0.053321983,0.0960905,0.06191613,0.093315918,0.101237993,0.101237993
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.039805007,0.630099717,0.332075481,0.388972668,0.659545934,1.040628293,0.331590014,0.688390887,1.255715834,1.42383007,0.480752339,1.212866928,3.129202318,1.200102468,0.515352686,0.583628932,1.186207027,0.471437719,0.543117266,0.33594516,0.432198615,1.560804573,0.87379906,0.968112107,0.326541837,0.933224507,2.044627898,0.506354117,0.863030311,0.91578769,1.050142101,1.157837879,0.623749262,0.492826699,0.266901727,0.419274188,1.958172972,0.623825504,1.523299912,0.953206722,1.314478311,1.369773768,0.493272156,0.857893185,0.628134521,0.401634417,0.356876821,0.626525985,0.626525985
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,5.446057362,5.462872245,2.162751493,2.300336135,2.736314981,2.988194039,3.887217549,3.373611942,3.354730885,3.428254102,4.298958571,5.429346733,3.703125735,4.41395097,3.492316864,3.165158267,3.307998694,2.911714665,3.72409565,3.516539316,3.527892089,6.367110504,3.472537136,2.517948113,2.542342883,3.85224784,5.767311057,3.334070628,4.603884428,3.151089924,3.95239152,3.078541986,3.095194632,3.841366934,6.04951556,2.068992775,5.54649078,4.771895265,6.624779185,4.131125768,3.412430081,3.007845085,3.739820905,3.971648251,4.077611844,3.628318358,2.440612357,2.500598816,2.500598816
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.444652526,0.602849087,0.225052905,0.226701111,0.235307023,0.310450779,0.45851854,0.375628301,0.267850214,0.254094455,0.322156857,0.434475054,0.192887588,0.249487659,0.316374206,0.363625736,0.286187333,0.38306673,0.431784343,0.359947673,0.467836459,0.478730815,0.430743122,0.43907751,0.421423759,0.449036616,0.50860296,0.417333732,0.3691391,0.327907939,0.274403109,0.28817316,0.229977727,0.325227092,0.249040947,0.253760739,0.55621513,0.508408282,0.574329944,0.38418712,0.33668712,0.299101946,0.388228077,0.280663288,0.512482667,0.339055921,0.35070604,0.47133388,0.47133388
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.442417238,1.029900586,0.430712375,0.521258693,0.398581815,0.451695693,0.87708472,0.412014545,0.56260185,0.69532955,0.502720544,0.88227005,0.898164139,0.519604539,0.51081252,0.604898614,0.341932156,0.598579499,0.731966875,0.463808513,0.760573947,0.637245655,0.932721538,0.661413973,0.821076411,0.782488306,0.761201764,0.745633787,0.642447318,0.578727023,0.805070571,0.628474154,0.530354184,0.45428062,0.623745244,0.430862618,0.729174256,1.180484597,0.736227318,1.081009108,0.517886068,0.437186432,0.746330427,0.957790287,0.776209423,0.508531194,0.862978793,0.613874877,0.613874877
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.38069113,0.705491403,0.273412812,0.280237961,0.175908377,0.251077916,0.230100163,0.366960922,0.188065656,0.185953976,0.164361484,0.228464472,0.179998875,0.256799895,0.678448077,0.252905098,0.307089905,0.284809661,0.188085007,0.339096277,0.198503065,0.329948173,0.403593288,0.179483758,0.179144394,0.163105479,0.112828671,0.274225854,0.202729997,0.30819525,0.323798571,0.173527682,0.209259654,0.187944823,0.252668918,0.287779353,0.249074797,0.377395995,0.266121282,0.643691702,0.150849016,0.666412762,0.171218703,0.302271905,0.34728641,0.243931188,0.155219623,0.290791013,0.290791013
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.813701391,0.58829301,1.085339775,1.049318769,0.849283668,0.892739596,3.842312528,0.547761614,0.460600626,0.404244549,0.384582738,0.910395283,1.208302412,0.71130859,0.590467018,0.560897975,2.91518601,5.938534241,0.664626339,2.469485927,0.87602202,0.719302748,0.509330884,1.337472612,0.688494212,0.533301851,1.532679857,1.910409098,0.908553889,0.675917558,0.857174754,2.794163192,1.220586388,0.63018742,0.571412093,5.267578748,3.915140468,0.676610563,1.661486643,0.7249192,1.057319567,5.676537639,0.625545466,0.767867645,2.905212625,1.125569917,1.674573592,0.842099703,0.842099703
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.05543316,1.203797869,0.617547349,0.497952154,0.805092115,0.736916402,0.23392722,0.231305971,0.595510107,0.655594843,0.32371359,0.734217124,0.254556902,0.427705237,0.813198105,0.781423055,0.719318076,0.307657071,0.282645354,0.423690283,0.22506103,0.317842918,0.45561824,0.363733594,0.409504728,0.305452213,0.168384135,0.455377086,0.807428597,0.893249096,0.475796514,0.388435805,0.625144706,0.464819337,0.96909354,0.21644679,0.311311493,1.114783801,0.469759678,0.949678321,0.551481709,0.505401385,0.585753905,0.569565833,0.760349425,0.50351829,0.527973961,0.230681258,0.230681258
