glycan,SC_160320_EC_2_NG,SC_300620_EC_5_NG,SC_300620_EC_32_NG,SC_300620_EC_34_NG,SC_300620_EC_37_NG,SC_160320_EC_39_NG,SC_160320_EC_42_NG,SC_160320_EC_43_NG,SC_160320_EC_45_NG,SC_160320_EC_55_NG,SC_160320_EC_64_NG,SC_300620_PA_51_NG,SC_300620_PA_56_NG,SC_300620_PA_63_NG,SC_300620_PA_71_NG,SC_300620_PA_83_NG,SC_300620_SA_9_NG,SC_300620_SA_11_NG,SC_300620_SA_15_NG,SC_300620_SA_23_NG,SC_300620_SA_27_NG,SC_300620_SA_38_NG,SC_300620_SA_44_NG,SC_300620_SA_49_NG,SC_300620_SA_60_NG,SC_300620_SA_62_NG,SC_300620_SA_81_NG,SC_160320_SV_8_NG,SC_160320_SV_47_NG,SC_160320_SV_57_NG,SC_160320_SV_69_NG,SC_160320_SV_75_NG,SC_180320_HV_9F_NG,SC_300620_HV_11F_NG,SC_300620_HV_14F_NG,SC_300620_HV_18F_NG,SC_300620_HV_21F_NG,SC_300620_HV_22F_NG,SC_180320_HV_24F_NG,SC_180320_HV_26F_NG,SC_180320_HV_30F_NG,SC_300620_HV_35F_NG,SC_300620_HV_41F_NG,SC_180320_HV_49F_NG,SC_300620_HV_52F_NG,SC_180320_HV_59F_NG,SC_180320_HV_64F_NG,SC_300620_HV_79F_NG,SC_180320_HV_87F_NG,SC_180320_HV_89F_NG,SC_300620_HV_90F_NG,SC_180320_HV_1M_NG,SC_300620_HV_2M_NG,SC_180320_HV_6M_NG,SC_300620_HV_8M_NG,SC_180320_HV_10M_NG,SC_300620_HV_12M_NG,SC_180320_HV_28M_NG,SC_180320_HV_34M_NG,SC_300620_HV_39M_NG,SC_180320_HV_44M_NG,SC_180320_HV_45M_NG,SC_180320_HV_46M_NG,SC_300620_HV_57M_NG,SC_180320_HV_70M_NG,SC_300620_HV_72M_NG,SC_180320_HV_73M_NG,SC_300620_HV_77M_NG,SC_180320_HV_88M_NG,SC_300620_HV_92M_NG,SC_300620_ HV_100M_NG
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.209692517,0.332103864,0.280563902,0.297751449,0.287057116,0.275430912,0.292831277,0.270554188,0.232173088,0.205745797,0.29443341,0.394386849,0.141091795,0.235223026,0.13774468,0.218425972,0.254284334,0.231962999,0.238703445,0.272634883,0.253568881,0.210050554,0.111226866,0.291737369,0.205972942,0.21983421,0.209688876,0.295271436,0.2065451,0.357335477,0.197929669,0.387454004,0.482784007,0.671412284,0.213036215,0.362051351,0.248059939,0.237158353,0.538567012,0.315325543,0.666642915,0.271955603,0.356697436,0.540168831,0.325421884,0.517425573,0.424916803,0.257059389,0.574605516,0.632441491,0.299534723,0.701174083,0.300782905,0.474515818,0.217611738,0.445334015,0.339822823,0.593640341,0.211471061,0.515456665,0.375372496,0.48448027,0.478706179,0.286933745,0.556235094,0.328035303,0.513704392,0.392963975,0.507332114,0.449245067,0.346291497
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.925165662,1.692994863,1.503152445,1.773514857,1.321658095,1.373676647,1.937708085,0.758922571,1.213721463,0.883064909,1.157608912,1.639948783,0.408140661,1.226112425,0.90912732,1.182516238,1.101900889,1.046426744,1.393190968,2.124701941,1.483415884,0.783126432,1.438291198,1.481863263,1.886596968,1.296430534,1.662838735,1.522592121,1.557305185,1.830221982,1.851054877,1.063102666,2.253757779,2.48668798,1.691965635,1.508655287,1.251317634,1.59575675,3.098357402,2.767749099,3.224171958,1.674488787,1.88622097,2.525824095,1.844372302,2.220941136,1.639602504,1.290006019,2.093093534,1.534565006,1.325134669,3.433513359,2.145920595,2.592997499,1.222692841,2.10266994,1.556384272,2.779547719,1.831212853,2.823693642,2.086105028,2.389377542,2.231345115,1.918213295,2.128085048,1.459225223,2.220032508,1.857024751,1.69915859,1.496657678,1.496922851
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.428598328,0.747621948,0.383461365,0.446275199,0.391671918,0.393329245,0.624765018,0.627458708,0.37706316,0.560176473,0.476974619,0.967502643,0.234874464,0.41069747,0.283436403,0.475819202,0.534316764,0.424113229,0.292887756,0.366754028,0.355012703,0.650568634,0.330809388,0.565575383,0.4652386,0.601100181,0.450182444,0.683088187,0.458277038,0.535542999,0.364441569,0.594246653,0.685552777,0.866358914,0.692699638,0.604382276,0.430685217,0.406882771,0.932186208,0.935192198,1.110551534,0.576921152,0.562904056,0.808080418,0.503512283,0.733658539,0.631710128,0.497351935,1.01661263,0.743493305,0.486736868,0.795079579,0.788275766,1.006768598,0.522819866,0.720029491,0.400361089,0.974725622,0.829880497,1.000778233,0.77788708,0.635683923,0.813435893,0.75017238,0.794890656,0.669416993,0.645804817,0.559696614,0.948613494,0.52675451,0.608322696
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.643726493,1.095489526,0.615172898,0.578371458,0.567441155,0.58802256,0.832879081,0.618322604,0.609010067,0.558503408,0.64797295,1.128067531,0.338989032,0.611150693,0.328339418,0.446708,0.719312229,0.464019206,0.516845153,0.663003242,0.486265639,0.707042252,0.383004145,0.561159825,0.574516243,0.591628955,0.483515288,0.905475158,0.649667925,1.001861069,0.822862309,0.898448496,0.778648057,1.080933765,0.796370493,0.685288956,0.660791288,0.507731395,1.094652033,0.976472064,1.228170683,0.703832602,0.687144919,0.857422846,0.68448249,0.909567911,0.712932987,0.509455608,0.901105457,1.14191849,0.632086892,1.117967655,0.960548104,1.28205062,0.585819677,0.90959693,0.608104676,1.224965198,0.953045754,0.873376996,1.079070662,0.944061445,0.920412872,0.766831169,1.035737597,0.838756741,0.847099839,0.740295803,1.087375677,0.593734009,0.697892825
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.222521182,0.767754854,1.214521256,0.905160312,0.962906737,0.648715095,0.957176713,0.988264128,0.738761618,0.519460639,0.837199736,0.753258343,0.458161878,0.749226191,0.584945116,0.496419281,0.631846003,0.606077616,1.017151901,1.082900653,0.787830131,1.141345387,0.684763296,0.697594061,0.927025259,0.763042469,0.901718291,1.195623474,1.061925533,0.809865864,1.294558089,1.371580545,0.662848913,0.779731068,0.681696852,0.781338534,0.783289742,0.784211935,0.940599628,1.240117982,1.353535703,0.832352004,0.821396477,0.814707973,0.761530098,0.918706306,0.932368496,0.571618905,1.359424383,1.02464596,0.715358998,0.797995724,0.993700725,1.04171468,0.718040167,0.759570898,0.73344964,0.965993359,0.714346687,1.183238238,1.082503096,0.991838708,1.116378764,1.013520499,0.99451071,1.04904926,0.992438129,0.776056484,1.49045011,0.684712013,0.735914411
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.077739233,0.07250181,0.067733671,0.057548472,0.056427339,0.032551581,0.082583886,0.104280873,0.049137156,0.085829666,0.063448924,0.096933363,0.027287573,0.050993319,0.052686344,0.064683137,0.072870161,0.089348288,0.08523752,0.067096022,0.100413523,0.195034565,0.08766059,0.100600448,0.081927878,0.077892047,0.070814105,0.1463447,0.113363002,0.07696444,0.087448449,0.102039836,0.075255286,0.058553501,0.043432729,0.057295828,0.055130768,0.031096227,0.098781579,0.072340219,0.098110701,0.050966034,0.060192414,0.054928188,0.049361031,0.053093756,0.075258958,0.066646305,0.10379686,0.091523898,0.07055321,0.076879373,0.136889528,0.085671215,0.058930933,0.101578572,0.05757411,0.096153406,0.114189784,0.075711764,0.060196162,0.076728775,0.088633411,0.10702406,0.072373734,0.059797595,0.069469017,0.042828907,0.177525334,0.068404138,0.05206119
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.05803143,0.200595319,0.073150229,0.170611,0.064994515,0.158261985,0.201804463,0.13351919,0.073743596,0.074860944,0.157217801,0.154800386,0.018609507,0.111239271,0.021478105,0.090367427,0.079490041,0.116087234,0.119072495,0.262458077,0.119721975,0.098836571,0.127931576,0.196318105,0.052343786,0.122102305,0.086306622,0.142027658,0.033770763,0.160208056,0.056985851,0.159653125,0.334350751,0.475425314,0.249024415,0.237954673,0.297458548,0.129022841,0.504110823,0.449971551,0.518658319,0.164536442,0.28964067,0.356992901,0.337197325,0.233613718,0.148681632,0.113270762,0.43819533,0.538392595,0.14518319,0.49133333,0.183325423,0.364780794,0.093396125,0.211035134,0.189462676,0.299607331,0.315243002,0.19520158,0.27700667,0.276079334,0.310039189,0.146995686,0.298692152,0.179085449,0.181028978,0.144170434,0.282115665,0.179187729,0.136596542
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.352680069,0.584219613,0.811795086,0.746524047,0.741273247,0.867223663,0.793091184,1.204668231,0.639352937,0.786043888,0.684066662,1.035709811,0.326146384,0.499540958,0.375047165,0.562929589,0.510750313,0.590329861,0.705809079,1.253796962,0.744058784,0.61268171,0.539600801,0.636479205,0.792463942,0.90069966,0.892638292,0.705109077,0.673821991,0.633433397,0.39238743,0.672446049,0.733435508,0.658859471,0.650837679,0.606926091,0.555814015,0.644541896,0.689927897,0.598149203,0.743896719,0.517499568,0.542587051,0.511582957,0.551367876,0.728835572,0.463727599,0.766512926,0.792419891,0.881713142,0.596918792,0.498457961,0.610411374,0.48745466,0.814348085,0.86310539,0.631140637,0.696646518,0.542153975,0.646370175,0.57950019,0.743552874,0.625504731,0.524878893,0.639588125,0.635764682,0.738896114,0.715444107,0.711892758,0.62588131,0.492622401
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.05926079,0.091066597,0.095018254,0.138852015,0.128397632,0.137559575,0.146192069,0.17155645,0.079598808,0.068439083,0.144242798,0.127641909,0.059698871,0.149776529,0.084114902,0.130101214,0.101562933,0.113296884,0.123175906,0.14079693,0.119194126,0.093592263,0.096360091,0.140610799,0.061236715,0.123985865,0.138901176,0.10412999,0.13711078,0.145960605,0.11051424,0.127234288,0.214462034,0.225007151,0.196011834,0.18173191,0.175393543,0.205877737,0.199294036,0.188332958,0.255741557,0.178927068,0.178581841,0.159311181,0.194268857,0.213006202,0.189432863,0.122338594,0.227692249,0.226031985,0.152151331,0.182699805,0.134839016,0.170075349,0.161899928,0.200856242,0.122958666,0.234289488,0.132494766,0.22838272,0.204135776,0.200414762,0.196509075,0.141936018,0.162456253,0.166242889,0.233432872,0.14879284,0.21455729,0.153577571,0.170362178
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.218946891,0.276482976,0.459189834,0.459804039,0.395847545,0.441682172,0.4336765,0.637165075,0.471681213,0.421744653,0.385716314,0.5750376,0.194066887,0.320067037,0.206845664,0.296192724,0.353661108,0.358428387,0.347628236,0.836557317,0.266577746,0.375230204,0.409485833,0.422255197,0.317111873,0.690457737,0.518763347,0.455958042,0.476554027,0.380209743,0.292570957,0.409777531,0.511072892,0.376775758,0.488684266,0.476031051,0.301862227,0.354270479,0.503621358,0.33853596,0.498114297,0.331642113,0.365787594,0.310481033,0.372604362,0.493881585,0.519452193,0.484535895,0.548423409,0.579055959,0.326448304,0.364784293,0.444141857,0.27820313,0.453383172,0.630941423,0.426165857,0.454975007,0.382909808,0.379928504,0.361678025,0.424734618,0.423415868,0.364800565,0.385043204,0.454052612,0.459567274,0.589234851,0.413954358,0.370108485,0.33143856
