glycan,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,HC9,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20,HC21,HC22,HC23,HC24,HC25,HC26,HC27,HC28,HC29,HC30,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,PD11,PD12,PD13,PD14,PD15,PD16,PD17,PD18,PD19,PD20,PD21,PD22,PD23,PD24,PD25,PD26,PD27,PD28
{Neu5Ac(a2-3/8)}Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.990516,1.439628,1.206254,0.882086,0.395303,3.099583,3.542219,3.065994,0.654463,2.46984,2.612716,1.582471,2.64839,2.067788,5.986858,1.484807,2.096238,2.511568,12.494954,7.761581,4.610894,0.741136,1.089756,8.222355,4.101991,1.329301,2.553599,2.513729,1.263065,1.930583,2.716838,2.504889,2.267993,1.271172,3.79654,3.392215,2.334266,1.349126,1.575091,1.355223,1.993058,2.942255,2.448952,6.395736,2.366636,4.03825,3.271621,3.476135,1.09676,2.817097,0.779522,1.721014,4.423336,3.234351,4.564834,4.81956,1.163384,2.454419
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.027284,0.062869,0.0613,0.028928,0.013227,0.0905,0.068579,0.123059,0.018566,0.058603,0.115777,0.069206,0.166377,0.067673,0.164549,0.058082,0.07028,0.083821,0.18986,0.223917,0.122129,0.017872,0.046731,0.405748,0.108801,0.137408,0.056694,0.120931,0.016881,0.056949,0.194842,0.101087,0.060465,0.119094,0.107785,0.096171,0.102532,0.034678,0.060319,0.040977,0.045762,0.070064,0.07559,0.157742,0.036685,0.083542,0.100907,0.12355,0.039268,0.116105,0.02101,0.040453,0.094305,0.101898,0.244779,0.120083,0.02306,0.1457
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,0.255638,0.391933,0.447381,0.297389,0.156054,0.781142,0.886497,1.166593,0.185787,0.430768,0.710771,0.438972,0.867688,0.445929,1.813884,0.373806,0.709697,0.833887,1.934173,2.269233,1.283463,0.291383,0.394734,1.950326,0.870506,0.445306,0.800992,0.939307,0.35385,0.738986,0.685849,0.408292,0.293511,0.369529,0.910628,0.62515,0.393007,0.271524,0.324513,0.275028,0.541221,0.770907,0.602949,2.803794,0.414216,1.03422,1.137467,0.776578,0.285377,0.905764,0.217513,0.51337,1.361726,0.957738,1.188999,1.634929,0.275478,0.473569
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.019976,0.041178,0.055074,0.019872,0.010182,0.028882,0.075229,0.100201,0.01644,0.059263,0.044241,0.060553,0.093027,0.029716,0.069691,0.070803,0.045936,0.029221,0.148848,0.110882,0.066786,0.023272,0.04918,0.098576,0.124801,0.129816,0.065052,0.080284,0.02258,0.030712,0.063351,0.053148,0.042323,0.038753,0.037208,0.077699,0.034585,0.048869,0.044766,0.030921,0.037349,0.044564,0.047209,0.204546,0.06527,0.058536,0.042668,0.099126,0.060733,0.065585,0.030637,0.086923,0.11047,0.03905,0.060748,0.105935,0.026432,0.06924
Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,0.549726,0.900861,0.675845,0.54202,0.422807,0.744214,1.899119,2.193714,0.677223,0.74003,1.629257,0.85982,1.840941,1.281726,2.467511,1.164567,1.230583,1.411006,2.769716,3.728709,1.532159,0.598679,1.24518,2.459084,2.4445,0.789622,1.683698,1.179142,0.834394,0.810343,1.155709,0.989587,0.684316,0.57971,0.961991,1.200062,0.835662,0.908725,0.670047,0.85813,0.841299,1.534852,1.327354,4.79282,0.91515,2.331906,1.790275,2.492167,0.881681,2.392575,0.483785,1.469543,2.881273,2.50761,0.56283,2.375322,0.991036,1.343854
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.1416,0.24057,0.255114,0.114048,0.09307,0.313358,0.413013,0.389722,0.118775,0.291329,0.411044,0.303709,0.651006,0.540316,0.473281,0.454503,0.230768,0.253164,1.875366,0.837495,0.532583,0.128454,0.299403,2.91139,0.623464,0.446632,0.599184,0.610722,0.162932,0.304591,0.829259,0.484233,0.360699,0.408529,1.066925,0.913543,0.45948,0.326814,0.481659,0.235692,0.359146,0.487495,0.311114,0.447404,0.191217,0.355192,0.349859,0.445778,0.232688,0.387579,0.071112,0.385759,0.362602,0.192197,0.857025,0.522127,0.262047,0.562929
Gal(b1-4)Glc1Cer,40.783665,48.722135,51.201804,45.053152,39.742034,38.960895,46.794815,43.243902,44.20804,41.622797,44.598726,44.742566,50.707061,38.552649,36.813844,35.518626,33.792028,44.885173,39.661398,42.962327,43.432212,42.721586,38.598117,30.416685,35.290489,41.812965,47.44458,43.94577,39.802313,44.459714,46.066546,51.917184,47.240076,49.8352,52.500661,40.55741,47.970809,49.015992,46.941987,49.181165,47.852743,47.18664,51.144366,29.689571,36.554924,37.980016,40.131819,45.816616,47.998632,45.330992,32.132706,44.076135,43.24568,35.520619,43.76117,54.878703,44.731901,53.283933
Gal(a1-4)Gal(b1-4)Glc1Cer,6.761146,4.430188,4.036495,6.631077,7.282746,5.399043,6.243634,5.557221,7.257809,5.673376,6.621574,8.317029,6.508033,4.927711,7.842484,7.265312,6.370568,6.191181,5.890065,5.534421,6.971949,5.388223,5.068033,4.690831,4.847459,6.570277,7.8294,5.449835,6.212235,5.888822,6.776711,5.982329,6.234619,5.89073,5.107086,7.051861,5.896826,7.699665,6.385178,5.394678,7.739924,6.176735,6.773237,4.941465,5.008815,8.124811,6.525769,7.266416,8.186457,7.084704,6.320819,7.279216,6.587517,6.25547,5.132683,2.875176,4.363958,6.105377
Glc1Cer,35.108943,30.412663,36.68636,35.102275,41.899752,37.389301,25.907532,30.994116,32.495212,35.21651,27.811413,34.797585,25.475848,42.177632,31.330334,37.602506,42.713594,32.268675,20.714779,26.623825,25.818148,38.369853,34.589767,37.266089,27.755663,34.54797,26.691806,28.08711,40.359549,31.681855,29.925902,28.279354,34.140905,32.692352,28.306496,35.885656,31.046608,28.668297,35.300937,33.499506,26.12572,30.343273,28.319769,39.029175,50.856344,34.308978,37.44823,21.147619,31.862726,35.418785,53.81047,27.657602,26.107214,34.378516,36.39776,20.820525,36.730485,24.53133
GalNAc(b1-4)Gal(a1-4)Gal(b1-4)Glc1Cer,0.620404,0.549125,0.507318,0.59144,0.391755,0.478957,0.559332,0.498253,0.689081,0.476625,0.814933,0.94964,0.793866,0.713942,0.928354,0.716134,0.67528,0.759301,0.703677,0.780668,0.823238,0.558603,0.675256,0.445179,0.6164,0.672306,0.686074,0.633206,0.550152,0.648327,0.699975,0.727028,0.559286,0.821977,0.731854,0.627619,0.545735,0.848787,0.482856,0.481807,0.754195,0.973855,0.807598,0.665358,0.453341,0.856354,0.73573,0.67196,0.893369,0.808577,0.507672,0.799966,0.561036,0.60229,0.578634,0.807856,0.632648,0.828128
{Fuc(a1-2/3)}Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.001395,0.002594,0.00013,0.001804,0.000558,0.002129,0.003433,0.002432,0.001008,0.000659,0.00611,0.001338,0.001933,0.001184,0.006106,0.004268,0.001489,0.003303,0.005003,0.009958,0.003187,0.001759,0.003875,0.002718,0.003367,0.001617,0.00491,0.000843,0.00247,0.000933,0.001914,0.00134,0.000799,0.002435,0.000894,0.000925,0.001364,0.00329,0.001081,0.000567,0.003605,0.004347,0.00349,0.017463,0.002231,0.006026,0.00544,0.008984,0.002129,0.004172,0.000846,0.005651,0.008207,0.006532,0.001068,0.008379,0.002664,0.000263
