glycan,control_1,tumor_1,control_2,tumor_2,control_3,tumor_3,control_4,tumor_4,control_5,tumor_5,control_6,tumor_6,control_7,tumor_7,control_8,tumor_8,control_9,tumor_9,control_10,tumor_10
GalOS(b1-3)[Neu5Ac(a2-6)]GalNAc,1.27,0.46,1.71,0.56,1.90,1.12,2.25,1.06,2.61,2.44,2.03,0.87,1.84,1.57,1.98,0.93,1.74,1.35,1.79,1.40
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,2.25,3.12,2.88,5.79,3.53,2.46,3.46,2.16,5.05,4.88,4.87,4.07,4.99,16.78,4.34,3.89,3.78,3.25,4.30,5.98
Neu5Ac(a2-3)Gal(b1-3)GalNAc,30.51,23.32,29.84,24.40,22.89,25.14,22.49,23.87,31.23,26.67,29.67,34.61,27.96,29.49,28.24,27.21,30.62,24.98,17.83,20.45
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,6.60,4.73,2.82,1.81,2.46,2.59,3.22,2.57,4.03,4.70,2.33,2.56,2.51,4.90,4.28,4.57,2.83,3.65,13.92,5.17
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,35.07,28.86,38.18,32.95,42.45,36.99,38.86,40.64,33.40,35.42,35.37,25.55,40.42,20.95,32.98,30.90,39.21,28.13,32.01,35.31
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-8)Neu5Ac(a2-6)]GalNAc,0.36,0.15,0.61,0.17,0.42,0.28,0.44,0.30,0.31,0.33,0.52,0.30,0.46,0.08,0.33,0.38,0.34,0.39,0.32,0.43
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,2.14,2.18,3.41,13.86,2.71,1.79,6.39,3.54,1.90,2.54,2.45,2.15,3.42,1.91,3.76,2.57,0.72,2.63,1.75,2.40
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc6S(b1-6)]GalNAc,0.41,0.57,0.88,0.41,0.59,0.41,1.02,0.39,0.20,0.24,0.37,0.27,0.53,0.41,0.40,0.34,0.19,0.42,0.30,0.40
Neu5Ac(a2-3)Gal(b1-4)GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0.53,1.58,0.76,0.60,1.98,1.28,2.31,1.27,1.81,1.15,1.06,1.12,0.55,0.51,0.87,1.10,1.05,1.55,0.88,1.04
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,8.15,7.15,6.32,7.84,5.61,7.63,6.36,6.76,6.43,8.96,6.93,8.11,5.06,7.59,7.21,8.25,3.47,6.32,12.66,11.21
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,4.95,19.05,4.89,4.95,7.12,10.15,5.58,9.20,5.84,4.94,5.39,11.42,5.80,9.67,6.01,8.64,8.84,12.30,7.70,8.22
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,6.21,7.68,4.23,3.93,5.97,8.72,4.19,6.83,5.42,6.66,6.25,7.99,4.46,5.18,5.66,9.51,6.55,13.22,5.28,7.02
Neu5Ac(a2-3)Gal(b1-4)GlcNAc6S(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,1.55,1.16,3.48,2.73,2.37,1.44,3.44,1.42,1.77,1.08,2.77,0.99,2.00,0.96,3.93,1.70,0.67,1.79,1.25,0.96
