glycan,WT1,WT2,WT3,WT4,KO1,KO2,KO3,KO4
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.6163,1.5195,1.5916,1.7495,2.0476,2.2694,2.1579,2.1294
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0409,0.0443,0.0318,0.0459,0.0500,0.0683,0.0622,0.0636
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0668,0.0943,0.0813,0.0848,0.0500,0.0671,0.0524,0.0417
Man(a1-2/3/6)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0650,0.0600,0.0505,0.0482,0.0734,0.0768,0.0665,0.0680
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1618,0.1514,0.2344,0.1892,0.1326,0.0993,0.1393,0.1074
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.2387,0.2446,0.3106,0.2479,0.2299,0.1946,0.1954,0.1885
Man6P(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.5199,0.5015,0.5245,0.5988,0.7980,0.6765,0.6350,0.6040
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0143,0.0250,0.0262,0.0136,0.0354,0.0362,0.0242,0.0316
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1619,0.1934,0.1852,0.2062,0.1680,0.1562,0.1457,0.1642
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1698,0.1461,0.1398,0.1615,0.2047,0.1620,0.1750,0.1945
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.3590,0.3350,0.3168,0.3310,0.3003,0.3005,0.3199,0.2528
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1170,0.1536,0.1732,0.1516,0.1318,0.0851,0.0984,0.1227
{Man(a1-2/3/6)}Man(a1-2/3/6)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,26.2727,25.9450,28.2088,27.0335,24.5051,27.0183,26.9159,28.2981
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.4896,0.7359,0.4747,0.6476,0.5359,0.5445,0.5128,0.7724
{Man(a1-2/3/6)}{Man(a1-2/3/6)}Man(a1-2/3/6)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,11.3166,10.5765,11.0967,9.0531,9.6383,8.4010,10.1007,9.9775
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.5178,0.5297,0.5673,0.4466,0.5474,0.4557,0.4343,0.6334
Man(a1-3)[GlcNAc(b1-4)][Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.4162,0.5029,0.4562,0.5427,0.5550,0.4399,0.6173,0.6029
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0858,0.1271,0.0976,0.1091,0.1496,0.1260,0.1028,0.1014
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,6.6826,6.7610,5.7477,6.8000,6.9493,8.0652,7.1276,7.1807
GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0953,0.2058,0.1907,0.1237,0.1899,0.1453,0.1783,0.0891
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.8639,0.3927,0.5549,0.7153,0.4580,0.4722,0.6841,0.8852
{Man(a1-2)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.7298,4.9506,4.9811,5.1842,5.5232,5.3030,4.9519,4.5572
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.4034,0.4257,0.3195,0.3941,0.3535,0.3668,0.3042,0.3383
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0696,0.0698,0.0583,0.0733,0.0837,0.0620,0.0853,0.0579
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.0057,0.8466,0.9113,0.8638,0.9066,0.8409,0.6831,0.8307
Man(a1-3)[GlcNAc(b1-4)][Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.0057,0.8466,0.9113,0.8638,0.9066,0.8409,0.6831,0.8307
{Fuc(a1-3/6)}Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.0057,0.8466,0.9113,0.8638,0.9066,0.8409,0.6831,0.8307
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0696,0.0584,0.0501,0.0293,0.0575,0.0666,0.0858,0.0673
GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.3776,0.5118,0.3835,0.5018,0.5115,0.4131,0.7361,0.6341
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2861,0.2009,0.2025,0.2569,0.2899,0.3390,0.2238,0.2649
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.1458,0.1421,0.1633,0.2630,0.2010,0.2881,0.2794,0.1567
{Man(a1-2)}Man6P(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.1774,0.1888,0.2760,0.3146,0.3096,0.3046,0.2788,0.2834
GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.4775,1.1050,0.9152,0.6636,0.9751,0.6038,0.5256,0.4515
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.1262,0.1787,0.2129,0.1213,0.1380,0.1358,0.1906,0.1123
GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1356,0.1689,0.1231,0.1407,0.1542,0.2070,0.1702,0.1556
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0058,0.0398,0.0591,0.0491,0.0436,0.0370,0.0205,0.0084
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1685,0.1298,0.1444,0.1463,0.1235,0.1665,0.2306,0.1070
{Man(a1-2)}Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.2539,6.0883,5.5095,4.2336,4.3616,4.8839,5.2223,4.4725
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0881,0.1063,0.1112,0.0962,0.1463,0.1186,0.0892,0.1305
Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0437,0.0325,0.0533,0.0426,0.0373,0.0190,0.0127,0.0611
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.3082,0.2569,0.2919,0.2594,0.2228,0.2323,0.2775,0.1655
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0212,0.0068,0.0180,0.0390,0.0342,0.0257,0.0566,0.0052
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.4524,0.5162,0.4391,0.6042,0.5896,0.4682,0.4832,0.4670
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.2161,2.4509,1.9966,1.9465,1.7795,2.1173,1.9082,2.1238
