glycan,NG-124 Li,NG125 Li,Adult NG Hexa (or HA) Li,Adult NG HexaNeu3 (or HAN3) Li,Adult NG Hexa (or HA) Stv,Adult NG HexaNeu3 (or HAN3) Stv,Fibroblast Hexa (or HA) Non,Fibroblast HexaNeu3 (or HAN3) Non,Fibroblast Hexa (or HA) Li,Fibroblast HexaNeu3 (or HAN3) Li,Fibroblast Hexa (or HA) MLSA-1,Fibroblast HexaNeu3 (or HAN3) MLSA-1,Fibroblast Hexa (or HA) Stv,Fibroblast HexaNeu3 (or HAN3) St
Man(a1-6)Man(b1-4)GlcNAc,0,0,0,0.016049118,0.004472734,0,0,0.012969274,0,0,0,0.003243401,0,0
Man(a1-3)Man(b1-4)GlcNAc,0,0,0,0,0.014547767,0,0,0.026368953,0,0,0,0.009753034,0,0
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc,0.012937897,0.021201452,0,0.016273452,0.040709676,0.015698666,0.04461394,0.068513224,0.022047038,0,0.010860887,0,0,0.02701602
Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc,0.251224756,0.506521106,0.424415291,1.11138753,0.323649107,0.578719519,0.465966279,0.918920547,0.659955277,0.573746867,0.365463649,0.26585874,0.572502388,0.612208798
Man(a1-3)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc,0,0.37297665,0.004977842,0,0,0,0.007185615,0.014984993,0,0.006583549,0.002455619,0.004863556,0.007399767,0.011780796
Man(a1-3)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.08439483,1.950017089,1.518195245,3.0865834,1.795373982,2.450084595,1.619210563,3.626087139,1.820809492,2.828859244,1.100706008,0.729544266,1.963410293,3.214877538
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.041297326,0,0.082935946,0.034225771,0,0,0,0.077920895,0,0.035462672,0,0.087878371,0
Man(a1-3)Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.834306116,0,0.893042712,,0.722557032,0,0,0,0.768442375,0.385290396,0.387015254,0,0.764700926
{Man(a1-2/3/6)}{Man(a1-2/3/6)}Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc,0.209453997,0,0,0,,0,0,0,0,0,0,0,0,0
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.584848998,1.103395519,0.986053414,1.629634049,1.066985388,0.97690099,1.234279191,1.840184798,1.179139878,1.504127434,0.833611631,0.845528856,1.113547415,1.881689534
{Man(a1-2/3/6)}{Man(a1-2/3/6)}{Man(a1-2/3/6)}Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc,0.076524306,0,0,0,,0,0,0,0,0,0,0,0,0
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,0,0.115275092,0,0,0.186907643,0,0.128796091,0.333045046,0.085047452,0,0,0,0,0
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.683657998,3.106912573,1.430382746,2.772026105,1.615246115,2.05625791,1.736091893,3.260544657,1.852641437,2.583980082,1.308238464,1.628298751,1.769415766,2.904301749
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.267794035,0,0.465210693,,0,0,0,0,0.436594833,0.226457288,0,0.262955474,0
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc,0,0,0.051628564,0.136741286,0,0.145647245,0,0.204044215,0.064393709,0.046102873,0.045793432,0.046471047,0,0
