ID,Fuc(a1-2)Gal(b1-3)GalNAc,Neu5Ac(a2-3)Gal(b1-3)GalNAc,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,Neu5Ac(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,{Neu5Ac(a2-3)}Gal(b1-3)[GlcNAc(b1-6)]GalNAc,Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,{Neu5Ac(a2-8)}Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,Neu5Ac(a2-3)Gal(b1-4)GlcNAc6S(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,{Neu5Ac(a2-8)}Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,{Neu5Ac(a2-8)}Neu5Ac(a2-3)Gal(b1-4)GlcNAc6S(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc
D1_d0_1,0.63,52.70,0.94,0.31,0.64,28.95,3.94,1.39,0.20,0.19,8.99,0.55,0.44,0.08,0.06
D1_d0_2,0.40,50.26,1.26,0.43,0.36,29.14,5.21,1.57,0.26,0.20,9.82,0.56,0.41,0.04,0.07
D1_d0_3,0.39,48.53,1.27,0.46,0.34,29.75,5.71,1.61,0.29,0.19,10.47,0.57,0.33,0.05,0.06
D1_d1_1,0.90,51.77,1.08,0.40,0.20,29.18,4.63,1.30,0.22,0.14,9.21,0.54,0.29,0.07,0.08
D1_d1_2,0.35,49.91,1.23,0.36,0.18,29.73,5.40,1.48,0.25,0.19,9.83,0.55,0.39,0.07,0.08
D1_d1_3,0.56,46.45,1.43,0.47,0.12,30.04,6.51,1.76,0.31,0.20,11.01,0.65,0.35,0.05,0.08
D1_d3_1,0.56,52.46,1.05,0.34,0.15,29.48,4.26,1.35,0.24,0.21,8.90,0.57,0.30,0.06,0.07
D1_d3_2,0.27,49.58,1.18,0.40,0.14,30.43,4.91,1.51,0.25,0.21,9.97,0.59,0.39,0.07,0.10
D1_d3_3,0.41,46.40,1.33,0.49,0.13,31.45,5.39,1.74,0.28,0.25,10.90,0.73,0.36,0.04,0.09
D1_d5_1,1.32,53.60,0.65,0.28,0.07,29.16,4.16,0.75,0.32,0.19,8.50,0.56,0.26,0.08,0.08
D1_d5_2,2.63,52.74,0.54,0.25,0.13,30.00,3.46,0.69,0.26,0.16,8.19,0.55,0.24,0.08,0.08
