motif_name,motif,termini_spec
Terminal_LewisX,Gal(b1-4)[Fuc(a1-3)]GlcNAc,"['terminal', 'terminal', 'flexible']"
Internal_LewisX,!Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc,"['flexible', 'internal', 'terminal', 'flexible']"
LewisY,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc,"['terminal', 'flexible', 'terminal', 'flexible']"
SialylLewisX,Sia(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc,"['terminal', 'flexible', 'terminal', 'flexible']"
SulfoSialylLewisX,Sia(a2-3)GalOS(b1-4)[Fuc(a1-3)]GlcNAc,"['terminal', 'flexible', 'terminal', 'flexible']"
Terminal_LewisA,Gal(b1-3)[Fuc(a1-4)]GlcNAc,"['terminal', 'terminal', 'flexible']"
Internal_LewisA,!Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc,"['flexible', 'internal', 'terminal', 'flexible']"
LewisB,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc,"['terminal', 'flexible', 'terminal', 'flexible']"
SialylLewisA,Sia(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc,"['terminal', 'flexible', 'terminal', 'flexible']"
SulfoLewisA,GalOS(b1-3)[Fuc(a1-4)]GlcNAc,"['terminal', 'terminal', 'flexible']"
H_antigen_type2,Fuc(a1-2)Gal(b1-4)GlcNAc,"['terminal', 'flexible', 'flexible']"
H_antigen_type1,Fuc(a1-2)Gal(b1-3)GlcNAc,"['terminal', 'flexible', 'flexible']"
H_antigen_type3,Fuc(a1-2)Gal(b1-3)GalNAc(a1-3)[Fuc(a1-2)]Gal,"['terminal', 'flexible', 'flexible', 'terminal', 'flexible']"
A_antigen,Fuc(a1-2)[GalNAc(a1-3)]Gal,"['terminal', 'terminal', 'flexible']"
A_antigen_type1,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GlcNAc,"['terminal', 'terminal', 'flexible', 'flexible']"
A_antigen_type2,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc,"['terminal', 'terminal', 'flexible', 'flexible']"
A_antigen_type3,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GalNAc(a1-3)[Fuc(a1-2)]Gal,"['terminal', 'terminal', 'flexible', 'flexible', 'terminal', 'flexible']"
B_antigen,Fuc(a1-2)[Gal(a1-3)]Gal,"['terminal', 'terminal', 'flexible']"
B_antigen_type1,Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GlcNAc,"['terminal', 'terminal', 'flexible', 'flexible']"
B_antigen_type2,Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc,"['terminal', 'terminal', 'flexible', 'flexible']"
ExtB,GalNAc(b1-3)Gal(a1-3)[Fuc(a1-2)]Gal,"['terminal', 'flexible', 'terminal', 'flexible']"
Galili_antigen,Gal(a1-3)Gal(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible']"
GloboH,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['terminal', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
Gb5,Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
Gb4,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
Gb3,Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal']"
3SGb3,Sia(a2-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
8DSGb3,Sia(a2-8)Sia(a2-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
3SGb4,Sia(a2-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
8DSGb4,Sia(a2-8)Sia(a2-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
6DSGb4,Sia(a2-3)[Sia(a2-6)]GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'terminal', 'flexible', 'flexible', 'flexible', 'flexible']"
3SGb5,Sia(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
8DSGb5,Sia(a2-8)Sia(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
6DSGb5,Sia(a2-3)[Sia(a2-6)]Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'terminal', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible']"
6DSGb5_2,Sia(a2-3)Gal(b1-3)[Sia(a2-6)]GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'flexible', 'flexible']"
6SGb3,Sia(a2-6)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
8DSGb3_2,Sia(a2-8)Sia(a2-6)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
6SGb4,Sia(a2-6)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
8DSGb4_2,Sia(a2-8)Sia(a2-6)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
6SGb5,Sia(a2-6)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
8DSGb5_2,Sia(a2-8)Sia(a2-6)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
66DSGb5,Sia(a2-6)Gal(b1-3)[Sia(a2-6)]GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'flexible', 'flexible']"
Forssman_antigen,GalNAc(a1-3)GalNAc(b1-3)Gal,"['flexible', 'flexible', 'flexible']"
iGb3,Gal(a1-3)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'terminal']"
I_antigen,Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible']"
i_antigen,Gal(b1-4)GlcNAc(b1-3)[!GlcNAc(b1-6)]Gal,"['flexible', 'flexible', 'flexible', 'flexible']"
PI_antigen,Gal(a1-4)Gal(a1-4)GlcNAc,"['flexible', 'flexible', 'flexible']"
Chitobiose,GlcNAc(b1-4)GlcNAc,"['flexible', 'flexible']"
Trimannosylcore,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible']"
Internal_LacNAc_type1,Gal(b1-3)GlcNAc,"['internal', 'flexible']"
Terminal_LacNAc_type1,Gal(b1-3)GlcNAc,"['terminal', 'flexible']"
Internal_LacNAc_type2,Gal(b1-4)GlcNAc,"['internal', 'flexible']"
Terminal_LacNAc_type2,Gal(b1-4)GlcNAc,"['terminal', 'flexible']"
Internal_LacdiNAc_type1,GalNAc(b1-3)GlcNAc,"['internal', 'flexible']"
Terminal_LacdiNAc_type1,GalNAc(b1-3)GlcNAc,"['terminal', 'flexible']"
Internal_LacdiNAc_type2,GalNAc(b1-4)GlcNAc,"['internal', 'flexible']"
Terminal_LacdiNAc_type2,GalNAc(b1-4)GlcNAc,"['terminal', 'flexible']"
bisectingGlcNAc,GlcNAc(b1-4)Man(b1-4)GlcNAc,"['terminal', 'flexible', 'flexible']"
VIM,Sia(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal,"['flexible', 'flexible', 'flexible', 'flexible']"
PolyLacNAc,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible']"
Ganglio_Series,Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
Lacto_Series(LewisC),Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
NeoLacto_Series,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
betaGlucan,Glc(b1-3)Glc(b1-3)Glc,"['flexible', 'flexible', 'flexible']"
KeratanSulfate,Gal(b1-4)GlcNAc6S(b1-3)Gal(b1-4)GlcNAc6S,"['flexible', 'flexible', 'flexible', 'flexible']"
Hyaluronan,GlcA(b1-3)GlcNAc(b1-4)GlcA(b1-3)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible']"
Mollu_series,GlcNAc(b1-2)Man(a1-3)Man(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
Arthro_series,GalNAc(b1-4)GlcNAc(b1-3)Man(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
Cellulose_like,Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc,"['flexible', 'flexible', 'flexible', 'flexible']"
Chondroitin_4S,GlcA(b1-3)GalNAc4S(b1-4)GlcA(b1-3)GalNAc4S,"['flexible', 'flexible', 'flexible', 'flexible']"
GPI_anchor,Man(a1-2)Man(a1-6)Man(a1-4)GlcN,"['flexible', 'flexible', 'flexible', 'terminal']"
Isoglobo_series,GalNAc(b1-3)Gal(a1-3)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
LewisD,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc,"['terminal', 'flexible', 'flexible', 'flexible', 'flexible']"
Globo_series,GalNAc(b1-3)Gal(b1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
Sda,Sia(a2-3)[GalNAc(b1-4)]Gal,"['terminal', 'terminal', 'flexible']"
SDA,Sia(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-3)Gal,"['terminal', 'terminal', 'flexible', 'flexible', 'flexible']"
Muco_series,Gal(b1-3)Gal(b1-4)Gal(b1-4)Glc1Cer,"['flexible', 'flexible', 'flexible', 'terminal']"
Heparin,IdoA(a1-4)GlcN2S6S(b1-4)IdoA2S(a1-4)GlcN2S6S,"['flexible', 'flexible', 'flexible', 'flexible']"
Peptidoglycan,MurNAc(b1-4)GlcNAc(b1-4)MurNAc(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible']"
