glycan,nontransfected_1,nontransfected_2,nontransfected_3,nontransfected_4,mocktransfected_1,mocktransfected_2,mocktransfected_3,mocktransfected_4,gagtransfected_1,gagtransfected_2,gagtransfected_3,gagtransfected_4
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.105981378,4.120088762,4.638523097,4.622006266,5.036172363,4.463706138,4.258219984,5.878919209,6.208897801,6.714803365,5.40810768,7.93166951
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.262924575,1.240105112,1.279133591,0.974232042,1.559483845,1.7907102,1.048139099,2.034064306,1.575259267,1.944143942,1.704609909,2.119401738
Man(a1-2)Man(a1-?)[Man(a1-?)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.731857302,0.691671172,0.77007435,0.667740522,1.028403,0.69505403,0.84236413,0.166629016,1.373114496,1.485895148,1.529793466,0.587657355
Man(a1-2)Man(a1-?)[Man(a1-?)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.189665714,0.314882366,0.25759936,0.301671951,0.228857108,0.398403724,0.421759419,0.322702848,0.310802332,0.739312054,0.443850956,0.127923757
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.707296401,0.587937878,0.668179463,0.772353691,0.728258647,0.691398817,0.63543421,0.444165823,0.835032811,0.742260747,1.035256935,0.166267257
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0,0,0,0,0,0,0,0,0
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.409349966,0.422274842,0.393443898,0.462703136,0.520277683,0.360567857,0.450376907,0.299015075,1.297870005,0.722247989,0.743614296,0.428408879
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.200387238,0.229111535,0.153247379,0.161669315,0.434493715,0.197345714,0.261182937,0.425817594,0.456293358,0.570928667,0.315837292,0.381554352
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0,0,0,0,0,0,0,0,0
Man(a1-2)Man(a1-?)[Man(a1-?)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.491736947,0.448733294,0.343290819,0.400955363,0.393270236,0.593155469,0.440735965,0.450475048,0.501132066,0.406386983,0.561357199,0.530485414
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-?)[Man(a1-?)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.564212943,2.046963507,2.009339384,1.875930488,2.530890821,2.922319835,2.413907759,1.58715153,4.552199479,3.736580284,3.578633564,2.27489791
Fuc(a1-3)[GalNAc(b1-4)]GlcNAc(b1-2)Man(a1-3)[Man(a1-?)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.78092781,0.816423189,0.879585495,0.771549863,1.269472259,1.140325734,1.40400408,1.047879292,0.80773463,1.047296334,1.022648367,0.372314148
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.993829562,2.052448534,2.080074307,1.761065539,2.171608447,2.357706545,2.12139905,1.989321416,2.00899504,1.448177292,2.039278386,1.79396754
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,3.292960553,4.269018599,3.835187672,3.58301495,4.107756612,4.117406306,4.301976946,2.945927554,3.508042106,4.120304327,3.821058261,2.472392861
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.27911735,0.352784761,0.32642821,0.337506047,0.338850261,0.275238488,0.178343124,0.316783791,0.520039927,0.194574463,0.371268931,0.688678364
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-?)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.196053627,0.874032058,0.964065325,0.962315051,0.800508589,0.977544474,0.942762781,1.062878887,1.052980242,1.145108963,1.469962317,0.956090071
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-?)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.846043405,0.672008568,0.684183621,0.625972593,0.532572553,0.533723943,0.387163497,0.636526184,0.660700843,0.704253189,0.788343643,0.691210611
