glycan,GSL_Control_1,GSL_Control_2,GSL_Control_3,GSL_Control_4,GSL_SSSMuG_1,GSL_SSSMuG_2,GSL_SSSMuG_3,GSL_SSSMuG_4,GSL_SSSMuG_5,GSL_SSSMuG_6
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc,5.44694543,3.330007878,3.120656606,3.952725877,2.140160398,2.434517314,1.065943736,1.654955711,2.57775535,0.829124016
{Neu5Ac(a2-?)}Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc,2.339227488,1.988111635,1.813768436,5.767354927,0.888624444,1.238025834,0.571294746,0.498405531,0.785031851,0.448215313
{Neu5Ac(a2-?)}Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc,16.90068518,11.47731834,7.436878751,13.7036431,7.561738564,8.385861706,4.117048003,4.818569478,8.512055103,4.423339469
{Neu5Ac(a2-8)}Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc,3.35981154,0.15289323,0.257557094,0.413145126,3.867309086,4.066968483,1.642561104,3.519812521,2.416743184,2.021321545
Neu5Ac(a2-3)Gal(b1-4)Glc,12.10300645,7.015434222,11.13325121,10.16941153,2.63215018,1.68063102,6.431146564,8.439192967,7.266877014,5.579229647
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc,7.869845009,12.54640509,5.227223324,5.633625545,9.469810026,6.654105671,7.378040991,5.197949885,9.401653821,4.853931916
Neu5Ac(a2-8)Neu5Ac(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc,3.106999727,4.967864108,4.175586749,3.979157096,2.192683239,4.812245838,2.763505266,2.682253568,2.405818288,3.819915538
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc,30.36470977,34.29904783,37.18044147,28.85124888,42.27390952,37.2764791,40.99341414,24.15684044,33.03142468,37.90933354
"{Neu1,7lactone5Ac(a2-8)}Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc",0,0,0,0,6.763720865,6.662865644,7.926980725,8.729158428,8.263643765,6.41451105
{Neu5Ac(a2-8)}Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc,16.61447635,20.72036361,24.94746757,24.27738935,15.44481613,17.73260183,17.9257033,33.43904686,17.8882175,23.53374567
{Neu5Ac(a2-8)}Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc,1.894293061,3.50255405,4.707168782,3.252298572,2.673916498,2.986395611,4.25756522,2.270827936,3.836719618,5.156493177
"{Neu5Ac(a2-8)Neu1,7lactone5Ac(a2-8)}Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc",0,0,0,0,1.368501025,1.824717472,1.696497005,1.394892634,1.322952948,1.027009697
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc,0,0,0,0,2.72266002,4.244584487,3.230299202,3.19809404,2.291106874,3.983829428
