glycan,NG_Control_1,NG_Control_2,NG_Control_3,NG_Control_4,NG_SSSMuG_1,NG_SSSMuG_2,NG_SSSMuG_3,NG_SSSMuG_4,NG_SSSMuG_5,NG_SSSMuG_6
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.097493848,0.090425192,0.10115154,0.05570403,0.127251888,0.080078699,0.144585322,0.113894813,0.109258011,0.100255211
GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.309443232,0.745612132,0.539254324,2.893897384,0.529947557,0.211534199,0.384495194,0.367962014,0.373562495,0.399292007
{GlcNAc(b1-2/4)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.028687845,0.151542615,0.09387326,0.170345845,0.196604952,0.187961944,0.161673497,0.156627519,0.116948887,0.224368361
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.572972464,0.22348451,0.451914973,0.382939128,0.52906317,0.183729653,0.515234367,0.158273032,0.424009091,0.363090177
{GlcNAc(b1-4/6)}GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.024765679,0.035485889,0.052767524,0.047254542,0.056643566,0.056881458,0.029560967,0.056276543,0.030386889,0.025707794
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.099286838,0.068776247,0.07212113,0.11610222,0.038242609,0.040796073,0.051039384,0.074782235,0.031853705,0.057794994
GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.771994388,0.936265812,0.426523704,0.749605169,0.857769875,0.392370893,0.75127182,0.587979756,0.613882546,0.575010918
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.189048415,0.249830868,0.289394307,0.417154338,0.376920065,0.475891677,0.378191256,0.417479297,0.393503271,0.387138289
GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.006203746,1.301081171,1.152283932,0.814593204,0.536765896,0.615905513,0.643992302,0.757113173,0.403889918,0.414332882
GalOS(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0,0.089194716,0.074078489,0.078011234,0.112072091,0.048999601,0.086234349
