glycan,Avg_RA_T1,Avg_RA_N1,Avg_RA_T2,Avg_RA_N2,Avg_RA_T3,Avg_RA_N3,Avg_RA_T4,Avg_RA_N4,Avg_RA_T5,Avg_RA_N5
GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0,0.2,0,0,0,0,0
Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0,0,0,0,0,0.1,0
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,7.1,6.7,10.4,5.7,7.1,4.2,9.3,3.9,6,5.3
GlcNAc(b1-2)Man(a1-6)[Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2,0,0.5,0,0.2,0.1,0.3,0,0.1,0.4
Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0,0,0,0,0,1.5,0
Man(a1-?)Man(b1-4)GlcNAc(b1-4)GlcNAc,0.3,0.4,0.4,0.2,0.3,0.2,0.1,0.2,0.7,1.1
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.3,0.2,0,0.1,0,0.2,0.1,0.1,0,0.2
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,6.5,5.7,2.4,3.2,2.6,2.1,3.4,3,5.2,3
Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.4,1.1,0.9,0.8,1.6,0.7,2,0.5,2,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0.1,0,0.2,0,0.3,0,0.3,0
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0.3,0.3,0.6,0.4,0.3,0,0.5,0.2
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.3,0.6,0.3,0.4,0,0.2,0,0,0
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.2,1,0.9,0.4,0.4,0.2,0,0,1.3
