glycan,C1,T1,C2,T2,C3,T3,C4,T4,C5,T5,C6,T6,C7,T7,C8,T8,C9,T9,C10,T10,C11,T11,C12,T12,ST4,ST7,ST6,ST11,ST12
Gal(b1-3)GalNAc,0.73,0.82,0,0.8,0.82,1.54,0,1.09,0,0,0.82,2.57,1.03,1.65,0,0,0,0,0.72,1.85,0,0,0.63,1.26,1.9,1.05,0.7,1.43,1.76
Neu5Ac(a2-6)GalNAc,7.49,0,0,6.22,1.26,5.89,0,0,2.08,6.71,0,0.44,0.59,1.02,0,1.34,0.74,1.57,0,0,0,35.46,0,6,0,0.53,0,0.7,0.27
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,1.9,0,3.62,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-3/4)GlcNAc(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GlcNAc(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,2.77,0,2.43,2.67,1.37,3.74,3.14,0.71,2.45,2.17,2.64,1.11,1.43,0,2.48,0,2.2,0,2.27,1.4,1.44,6.77,1.78,1.9,1.31,0.77,0.74,0.48,0.31
Neu5Ac(a2-3)Gal(b1-3)GalNAc,11.32,19.66,8.21,2.13,5.33,1.57,10.12,20.15,12.66,5.68,7.62,23.03,5.24,25.92,11.35,16.75,7.92,20.33,6.99,17.51,5.68,6.37,9.13,12.9,20.48,20.91,22.15,12.64,15.37
GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,14.95,0,3.37,1.11,3.22,0.56,3.19,0,3.34,0,3.18,0,2.38,0.7,3.27,0,1.97,0,2.97,0,5.26,0,7.5,1.31,0,0.38,0,0,0
GalNAc(a1-3)[Neu5Ac(a2-6)]GalNAc,2.91,0,3.97,5.47,4.61,0.46,2.33,0,4.12,0,3.4,0,3.53,0,2.68,0,4.29,2.91,5.01,0,6.11,0,3.2,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)GalNAc,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,2.97,0,0.35,1.85,0.7,0,0,1.15,0,1.77,0,1.52,0,0,0,0,9.16,0.7,1.17,0.68,0.77,1,0.93,0.41,1.67,2.7
Neu5Ac(a2-3)Gal6S(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.81,0.44,0
