glycan,AGS,MKN-74,MKN-45,KATO-III,OCUM-1,N87
Gal(b1-3)GalNAc,34,28,18,38,42,17
Neu5Ac(a2-6)GalNAc,1,1.5,0.1,0,0.5,3
Fuc(a1-2)Gal(b1-3)GalNAc,25,2,3.5,10,9,7
Neu5Ac(a2-3)Gal(b1-3)GalNAc,3.5,67,13,5,23,36
{Fuc(a1-?)}Gal(b1-3)[GlcNAc(b1-6)]GalNAc,5,0,10,7,4,7
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,13,0,27,17,18,4
{Neu5Ac(a2-3)}Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,3,0,0,1.5
{Gal(?1-?)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,17,0,5,23,2.5,2
{Fuc(a1-?)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.5,0,0.5,3,0,0
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0,4.5,5,0,5,15
Fuc(a1-2)Gal(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]GalNAc,5,0,0,1,0,0
{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,10,0,1,13
{Fuc(a1-?)}GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.2,0,2.5,0.2,0.3,0
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.5,0,3,0.4,0.3,0
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.1,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,1.8,0.2,0.1,1.2
{Neu5Ac(a2-3)}{Gal(?1-?)}{Gal(?1-?)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0.1,0,0,0
{Fuc(a1-?)}Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.6,1.7,1.1,0,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0.5,0,0,1.1
{Neu5Ac(a2-3)}{Fuc(a1-?)}GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0.3,0,0,0.1
{Fuc(a1-?)}{Fuc(a1-?)}Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.3,0,1.2,0,0,0
{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0.4,0,0,0,0.2
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0.3
