glycan,AML193,EOL1,HEL ,HEL 92.1.7,HL60,Kasumi1 ,KG1,KG1a,M07e,ME1,ML1 ,Molm13,MV4-11,NB-4 ,OCI-AML3 ,PLB985,THP1,U937,TF-1 
Gal(a1-4)Gal(b1-4)Glc1Cer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.26,0.12,0.00,0.00,0.64,0.00,0.00,0.00,5.27,0.00,13.75
GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,0.37,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.15,0.11,0.19,0.00,0.00,0.00,0.00,0.00,0.00
Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,3.37,39.90,9.65,16.66,3.18,22.82,81.97,96.78,27.16,28.15,12.72,23.06,29.18,59.62,45.46,1.83,7.69,74.61,42.41
Neu5Gc(a2-3)Gal(b1-4)Glc1Cer,0.00,0.41,1.37,0.96,0.26,0.00,1.31,0.94,0.00,0.25,0.27,0.27,0.34,0.60,0.55,0.00,0.66,1.00,0.89
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.90,2.18,0.00,0.00,0.00,26.28,0.00,0.00
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,11.20,2.60,3.57,1.71,7.11,2.46,1.55,0.00,0.00,4.19,5.28,4.63,6.11,0.75,1.12,10.69,2.55,3.22,0.00
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,5.93,0.90,0.00,1.81,0.36,11.05,0.00,0.00,4.91,0.36,1.54,0.00,0.00,5.61,0.00,8.44,2.51,0.68,6.11
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.70,0.00,0.00,0.00,0.45,0.00,0.00,0.00,1.80,1.70,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.00,0.00,1.58,1.25,0.00,0.00,0.00,0.00,0.00,1.66,9.63,0.00,0.00,1.93,0.00,0.00,0.00,0.00,0.00
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,0.00,0.00,1.52,0.84,0.48,0.00,0.00,1.35,0.00,0.74,0.69,0.00,0.00,1.04,0.00,1.77,0.00,0.00,3.39
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.80,0.00,2.32,1.27,0.52,0.00,0.00,0.00,0.00,0.57,0.78,0.00,0.00,0.48,0.00,2.09,0.00,0.00,1.74
