glycan,BM0,BM37,BM41,R7B1,R7B3,R7B6,R7B11
GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.146299529,0.120281077,0.617683393,0.157323798,0.12759281,0.13437234,0.268028613
{Man(a1-?)}{Man(a1-?)}Man(a1-?)Man(a1-?)[Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.115809087,0.086895182,0,2.040760045,0.177239228,0.209071725,0.107517804
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.642391744,2.274948866,1.462247067,1.891517709,3.250422188,2.712680254,3.629346127
{Man(a1-?)}{Man(a1-?)}Man(a1-?)Man(a1-?)[Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.197483608,0,0,0.330314782,0.370889511,0.244630063,0.172172146
GlcNAc(b1-2)Man(a1-6)[Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.332927032,5.02245833,2.733453352,3.553093845,3.429468826,1.762096257,2.238924361
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.212774284,0,0.332973165,0.242089292,0.206984462,0
Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc,1.052039093,0.452813994,1.406737018,1.928647476,2.013034545,1.729560427,1.084451756
{Man(a1-2)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.151905887,0.152071043,0.105144422,0.236808494,0.300925906,0.272728516,0.239348286
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.360861664,4.84000967,2.511815875,8.052791066,7.450671556,5.791812531,7.320803708
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.858894847,0.679773099,0.759277249,0.406762139,0.497831066,0.48289524,0.562233374
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.280613856,0,0,0.166689446,0.118998053,0
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.518042712,0.455602702,0.502213707,0.356799653,0.321133893,0.293255512,0.190380684
{HexNAc(b1-?)}GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.133141323,0.960145325,1.236477526,0.41874695,0.332582855,0.215198185,0.389970755
{HexNAc(b1-?)}GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0.314957294,0.192546937,0.153795829,0.100070524
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,3.605455339,4.602992256,7.56225365,2.023923775,2.299425643,2.791547348,3.495421272
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.218887904,0.326413111,1.157441439,0.219105656,0.267016675,0.528675759,0.31240144
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.176617577,0.214474505,0.25463047,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.162334011,0.272221549,0,0.059886658,0,0,0
{Man(a1-2)}Man(a1-2)Man(a1-?)[Man(a1-?)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.262700752,0.159151402,0.075254773,0.384659857,0.350401564,0.382253205,0.302127794
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,10.63220265,6.527091693,3.700192425,11.74652407,10.83093602,7.496630393,10.97800006
