glycan,AML193,EOL1,HEL ,HEL 92.1.7,HL60,Kasumi1 ,KG1,KG1a,M07e,ME1,ML1 ,Molm13,MV4-11,NB-4 ,OCI-AML3 ,PLB985,THP1,U937,TF-1 
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,4.51,3.27,1.73,1.71,1.51,3.98,5.47,0.77,2.65,4.48,4.50,11.18,0.82,1.78,2.97,1.41,3.10,4.58,2.24
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.57,0.93,0.54,0.64,0.00,0.48,0.86,0.54,0.63,0.44,0.71,1.08,0.00,0.00,0.80,0.42,0.80,0.71,0.33
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,4.21,2.93,5.00,4.55,1.34,3.36,3.31,2.50,5.94,3.07,6.98,4.56,2.14,2.16,3.99,2.22,4.60,5.20,3.74
Man(a1-3/6)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.69,0.98,0.77,0.95,0.00,0.70,0.77,0.42,0.47,0.88,0.86,0.92,0.43,0.26,0.63,0.61,0.61,0.57,0.67
Man(a1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.39,0.34,0.37,0.31,0.26,1.90,0.00,0.36,0.28,0.94,0.73,0.37,0.38,0.31,0.36,0.36,0.43,0.00,0.33
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,7.73,11.68,11.07,14.25,6.65,6.11,9.00,3.25,4.94,4.66,7.18,7.15,8.94,5.35,5.66,7.24,6.39,5.39,9.92
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,7.96,6.18,7.29,6.63,11.63,9.12,4.12,5.16,9.12,10.89,14.22,7.77,9.56,10.31,12.08,14.41,8.99,10.90,7.12
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,6.76,5.55,6.38,6.71,11.02,7.76,3.28,5.15,7.72,8.93,8.85,7.39,11.09,6.95,8.29,9.77,7.51,6.97,7.05
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,11.86,9.06,7.69,9.08,13.49,9.89,4.74,8.41,10.39,13.84,13.13,9.11,13.86,13.82,9.51,12.72,10.72,10.17,10.51
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,13.53,16.42,11.54,13.12,16.33,12.67,5.01,10.21,11.64,15.93,10.73,10.65,8.98,13.34,12.09,15.00,9.55,11.81,12.97
{6P}Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.06,0.33,0.74,0.84,0.49,1.56,0.95,0.49,0.70,1.64,1.27,0.56,0.43,0.62,0.24,0.38,1.01,0.61,0.20
{6P}Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.27,0.00,0.00,0.00,0.40,0.48,0.70,0.00,0.00,0.21,0.45,0.43,0.26,0.30,0.00,0.00,0.00,0.54,0.00
{6P}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.94,1.35,2.15,1.99,2.66,0.63,1.86,0.69,0.89,1.90,2.38,2.55,1.32,1.68,1.68,1.19,3.27,2.59,0.74
{6P}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.13,0.50,1.24,1.28,0.67,0.77,2.84,1.25,1.03,0.81,2.16,0.96,0.58,1.44,0.00,0.41,1.28,1.91,0.00
{6P}Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.73,0.00,2.40,1.94,1.56,1.14,1.52,1.75,1.42,1.72,2.96,1.29,0.42,2.12,1.49,1.04,2.67,2.48,0.73
{6P}{6P}Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.76,0.51,1.23,1.11,2.13,1.10,2.09,3.02,1.35,1.06,3.33,0.57,0.66,2.67,0.00,0.56,1.10,2.79,0.55
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.59,0.00,1.99,1.85,0.68,0.34,0.89,0.18,0.94,1.05,1.82,0.22,1.58,0.80,0.52,2.48,0.00,0.24,1.54
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.00,0.00,0.26,0.31,0.36,0.00,0.77,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.18
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.00,0.00,0.00,0.00,0.00,0.32,0.63,0.37,0.00,0.00,0.00,0.53,0.21,0.00,1.95,0.00,0.52,0.66,0.00
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.96,2.06,1.53,1.09,0.80,1.40,1.78,1.43,0.93,1.17,0.00,1.70,0.85,1.39,1.38,1.00,1.62,1.95,0.90
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.45,0.52,0.62,0.47,0.00,0.28,0.00,0.84,0.62,0.23,0.00,0.49,0.00,0.32,1.15,0.00,0.75,0.00,0.34
{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.54,0.00,0.00,0.00,0.00,0.40,0.48,0.38,0.00,0.24,0.00,0.62,0.00,0.00,0.00,0.00,0.44,0.42,0.00
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.23,4.32,1.32,0.60,1.12,4.10,1.58,2.57,3.52,1.38,0.83,3.82,0.00,0.83,2.48,0.76,2.39,4.80,1.41
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.38,0.84,0.57,0.78,0.46,0.54,0.56,1.38,1.47,0.23,0.00,0.96,0.00,0.46,2.89,0.00,1.06,0.27,0.73
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.47,0.00,0.00,0.00,0.57,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.47,0.00,1.11,0.82,0.57,0.94,0.00
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.93,2.37,4.60,1.90,1.20,2.02,5.94,2.08,1.48,1.54,1.08,1.71,3.86,2.50,2.34,2.28,2.29,1.96,3.02
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,3.32,3.94,4.62,3.94,2.49,3.34,8.76,4.28,2.51,2.29,1.96,2.92,5.90,4.48,4.17,3.86,3.92,2.15,2.62
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.00,0.59,1.03,0.82,0.00,0.30,0.00,1.45,1.06,0.30,0.00,0.46,0.62,0.53,0.94,0.56,0.82,0.00,0.58
{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.09,1.17,0.00,0.00,0.96,1.60,0.00,1.06,0.00,0.35,0.00,2.84,0.44,0.52,1.22,0.97,1.88,1.61,0.00
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.00,1.56,0.66,0.00,0.00,2.36,0.00,0.00,0.78,0.91,0.00,1.10,0.00,0.64,0.00,0.00,0.58,1.70,1.25
