glycan,AML193,EOL1,HEL ,HEL 92.1.7,HL60,Kasumi1 ,KG1,KG1a,M07e,ME1,ML1 ,Molm13,MV4-11,NB-4 ,OCI-AML3 ,PLB985,THP1,U937,TF-1 
Gal(b1-3)GalNAc,0.71,0.63,0.43,0.56,1.23,0.60,0.78,0.59,0.76,0.77,0.47,0.59,1.71,0.56,0.76,0.20,0.97,1.43,0.45
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.50,0.00
Gal(b1-3)[GlcNAc6S(b1-6)]GalNAc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.93,0.40,1.52,1.80,0.00,0.99,0.00,0.54,0.00,0.75,0.55,0.73,0.00,0.52,0.36,0.00,0.62,6.35,2.22
Neu5Ac(a2-3)Gal(b1-3)GalNAc,10.85,16.96,19.79,16.88,14.17,24.20,19.43,42.61,20.72,26.88,16.15,20.33,24.67,24.73,29.11,35.31,17.22,11.33,12.03
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.53,1.33,0.93,0.53,9.20,1.16,4.62,2.37,0.89,0.27,0.88,1.10,17.35,0.72,0.28,0.00,1.42,12.26,0.65
{OS}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.00,0.00,0.00,0.00,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.49,0.00,0.00,0.00,0.00,2.64,0.00
Neu5Ac(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.53,1.20,0.00,0.45,0.80,0.84,0.54,0.00,1.12,1.13,0.64,0.87,0.00,0.46,0.46,0.00,1.12,2.43,0.72
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.00,0.00,0.00,0.00,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.65,0.00,0.00,0.00,0.00,1.45,0.00
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,31.47,15.86,44.79,36.32,12.61,35.03,25.26,34.51,14.75,25.50,23.73,20.66,26.32,24.04,31.32,46.97,25.02,22.39,39.38
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,6.92,7.94,1.85,2.08,5.43,7.55,7.88,2.15,4.38,3.63,4.68,7.85,2.23,4.07,5.90,0.00,8.00,32.41,3.16
