glycan,M-High-IB,M-B,M-Low-IA,M-Low-IIIC,M-LMP-IA,M-High-IA,M-B2,M-Low-IA2,M-LMP-IA2,M-LMP-IA3,M-High-IIB,S-B,S-Low-IA,S-High-IA,S-LMP-IA,S-Low-IIIC,S-High-IIIC,S-High-IV,S-B2
Gal(b1-3)GalNAc,2.3,2.45,1.78,0.15,3.33,2.23,2.94,1.84,0.76,4.95,2.42,2.77,6.94,2.63,2.79,1.59,2.17,1.58,1.71
GlcNAc(b1-3)GalNAc,0.18,0,0.95,0,0.7,0,0,0.69,0.13,0.57,0.26,0,0.57,0.19,0,0.07,0.72,0.22,0
GalOS(b1-3)GalNAc,8.98,3.89,0.06,0,1.56,2.92,0.85,1.59,0.06,3.65,1.11,0.3,2.25,0.55,0.9,0,0.9,0.34,1.28
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,10.46,15.46,6.15,5.35,6.29,1.58,0.91,2.09,0.71,8.07,19.83,1.54,22.98,16.55,8.68,9.48,12.7,13.93,2.93
Neu5Ac(a2-6)GalNAc,1.74,0.91,1.51,3.14,0.35,0.83,0.7,4.29,0.47,1.53,3.11,0.31,2.21,2.28,1.46,1.03,2.04,0.42,0.52
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,1.08,0.8,1.96,0.51,2.31,2.03,2.83,2.2,1.24,3.27,1.83,0,0,0,0,0,0,0,0
Gal(b1-?)GlcNAc(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0,0,0.14,1.76,0.41,0.29,0.19,0.08,0,0.89
Gal(b1-3)[GlcNAc6S(b1-6)]GalNAc,0.92,0.48,0.02,0,0.34,0.24,0,0.83,0,0.06,0,0.17,2,0,0.91,0.08,0.09,0,0.2
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,8.13,12.84,1.96,5.45,6.47,7.94,9.42,4.04,2.24,8.15,17.99,7.52,20.8,13.85,7.75,10.5,9.33,7.94,5.58
Neu5Ac(a2-3)Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0.46,0.14,0.25,0.18,0.59,0.44,0,0.19,0,0,1.28,0.05,1.12,0.27,0,0.21,1.06,0,0.08
