glycan,stage1_A21,stage1_A22,stage1_A23,stage1_A24,stage1_A25,stage1_A26,stage1_A27,stage2_B21,stage2_B22,stage2_B23,stage2_B24,stage2_B25,stage2_B26,stage2_B27,stage3_C21,stage3_C22,stage3_C23,stage3_C24,stage3_C25,stage3_C26,stage3_C27,stage4_D21,stage4_D22,stage4_D23,stage4_D24,stage4_D25,stage4_D28,healthy_E21,healthy_E22,healthy_E23,healthy_E24,healthy_E25,healthy_E26,healthy_E27,healthy_E28
GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.39656,0.675964,0.438303,0.588574,0.472304,0.374543,0.776725,0.446925,0.375422,0.832003,0.517158,0.375336,0.907269,0.450593,3.32767,0.45558,0.37672,0.538009,0.519367,0.556916,2.1523,0.392905,0.602744,1.19271,1.30661,0.467619,0.24601,1.15158,0.659437,0.393732,0.55982,0.519841,0.491846,0.627033,0.569743
Man(b1-4)GlcNAc(b1-4)GlcNAc,0.878053,0.469519,0.233586,0.761126,0.228314,1.48674,0.417156,0.182952,0.410915,0.426816,0.63131,0.61077,0.77224,0.276858,0.573713,0.683982,0.883898,0.802926,5.27135,0.395936,1.40034,0.672678,0.531803,0.77829,1.37596,0.487493,0.313835,0.806423,0.329372,0.492664,0.372923,0.521017,0.718215,0.789649,0.523993
Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,3.95803,2.03686,1.7743,3.82626,0.50495,1.38776,1.47803,1.09299,1.32755,2.02914,1.96617,0.962549,4.10943,0.801683,0.792642,2.32737,2.17592,3.51499,2.00085,1.37072,7.60056,1.80642,2.16869,3.51386,5.41812,0.771236,0.587016,1.99286,2.76483,0.895327,1.08381,1.05068,0.659627,2.14426,0.647528
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)GlcNAc,3.87622,2.76722,1.38847,4.10049,1.56323,0.651119,1.0441,1.43239,2.39671,2.98054,2.31376,1.17221,4.37734,1.56674,1.55999,3.26078,2.62627,2.81034,1.82424,2.23737,5.09648,2.60315,2.77607,4.86359,2.98093,1.82326,1.20069,2.47019,3.1892,1.22663,1.82021,1.72504,1.13862,2.80555,1.61291
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,27.758,14.9438,8.99267,19.6936,4.00596,2.80049,2.85187,6.34175,10.9587,18.4189,14.6828,4.78239,28.9441,5.1972,4.18206,14.6741,11.4535,18.2959,8.27398,10.1343,37.3973,10.5934,16.7347,37.2456,29.4144,4.71417,6.24018,5.61958,15.86,5.02708,6.42897,5.80206,3.59355,14.4684,4.24206
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.25785,1.09117,1.03914,0.878349,0.939927,0.709406,0.426769,0.894485,1.06859,1.31447,1.28084,0.840985,1.42602,1.21405,1.23752,1.12139,1.29877,1.20739,1.37133,1.52657,1.92332,1.18241,1.19612,1.32708,1.00338,0.887939,1.06779,1.47087,1.12596,0.888385,1.10519,1.36294,0.915278,1.28104,0.960765
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,3.24096,2.57944,2.28267,2.95798,1.87591,0.742822,0.78797,1.66023,2.90656,3.35749,3.92803,1.66525,3.38924,2.19003,1.84595,2.89024,2.94734,2.74701,2.32915,3.37953,4.33084,3.05127,2.54503,3.35861,3.06128,2.10767,2.21882,2.61887,2.62965,1.94302,1.92397,2.08225,1.78872,2.65147,1.70144
{Man(a1-2/3/6)}Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.620822,0.903948,1.07786,0.504129,1.43305,0.41245,0.414175,0.572696,0.880956,0.653967,0.956779,0.640398,0.638175,1.38096,1.65766,0.926436,0.814296,0.968557,1.29166,1.29255,0.766687,1.29563,1.10425,0.809613,0.443672,0.922783,1.0034,1.17265,0.961523,1.24785,1.00421,0.804549,1.17233,1.15883,1.32332
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,7.6457,13.6871,17.6911,6.82655,21.6008,6.2465,8.80518,13.5581,16.4634,9.47004,12.8336,12.3477,6.4554,17.1837,18.2517,12.6869,16.1233,11.3604,14.8661,15.6207,4.40788,15.1116,12.8123,7.09021,3.1232,16.6623,20.6311,14.9809,14.3423,20.8022,15.708,15.3857,18.4429,11.9518,17.9903
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,9.49989,10.3836,8.56593,8.71798,8.05172,3.40678,4.80051,6.34307,9.48464,11.9741,10.2139,7.39509,9.07041,9.59813,5.92974,9.86119,9.57483,6.08843,8.91414,10.5083,7.72183,11.0664,8.68557,8.21749,8.0794,10.2804,8.87264,9.64511,8.73558,9.99295,9.55486,10.887,8.35106,8.92353,8.67691
{Man(a1-2)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.26841,6.23664,5.82268,4.68533,6.11735,2.35438,2.97923,4.65752,5.3815,5.60573,5.18993,3.96954,4.07379,5.10579,4.56337,5.49559,5.62098,3.86484,5.49347,5.5473,3.74113,6.14944,4.50912,4.01635,4.21427,5.8695,5.95706,5.82784,4.60138,6.53271,5.38636,5.99309,4.52479,4.1136,5.56748
