glycan,DonorA_day0,DonorA_day7,DonorB_day0,DonorB_day7,DonorC_day0,DonorC_day7
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,11.31435358,17.48914467,14.06491022,17.26873288,4.338505512,6.062912917
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.407490272,4.798745606,3.52937233,3.823131237,0.954471213,1.33492836
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.884731407,0.964918327,1.110733564,1.209734763,0.658432013,0.788450559
{Man(a1-2)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.194814453,4.979667792,3.463648451,3.490685042,1.025928951,1.150050298
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.105914259,2.257219657,1.583945497,2.133196415,0.413434055,0.88088959
{Gal(b1-4)}GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.04636503,0.75728858,0.828120882,0.932696268,0.656730638,0.944781273
{Man(a1-2)}{Man(a1-2)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.313912912,4.755668895,3.259904424,3.509154275,1.190962298,1.359397515
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.301576013,1.981528706,1.478787289,2.456407993,0.461072547,0.231097578
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,3.93875617,7.831346061,4.955580516,5.346842962,1.990608412,2.324569751
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.036163396,5.419050245,4.75183649,5.042100617,1.184156799,0.995078981
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-?)[Gal(b1-4)GlcNAc(b1-2)Man(a1-?)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,6.516387097,7.771038666,8.346932699,8.699008756,5.716619028,4.866643104
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,7.4776818,4.859053002,5.84285289,5.226792947,4.712807949,4.146162421
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,13.95153373,8.701495623,11.76457443,10.25042433,21.7775963,21.75036024
