glycan,control_1,control_2,control_3,control_4,control_5,stage1_1,stage1_2,stage1_3,stage1_4,stage1_5,stage1_6,stage1_7,stage1_8,stage1_9,stage1_10,stage2_1,stage2_2,stage2_3,stage2_4,stage2_5,stage2_6,stage2_7,stage2_8,stage2_9,stage2_10,stage3_1,stage3_2,stage3_3,stage3_4,stage3_5,stage3_6,stage3_7,stage3_8,stage3_9,stage3_10,stage4_1,stage4_2,stage4_3,stage4_4,stage4_5,stage4_6,stage4_7,stage4_8,stage4_9,stage4_10,stage5_1,stage5_2,stage5_3,stage5_4,stage5_5,stage5_6,stage5_7,stage5_8,stage5_9,stage5_10
GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.149738909,0.168215216,0.124676109,0.122069517,0.206356186,0.155370504,0.104696295,0.181470124,0.139082889,0.176824713,0.189860584,0.23543445,0.173124621,0.202984883,0.242964779,0.244574294,0.154001483,0.141395504,0.117575512,0.174023104,0.214450682,0.163681829,0.273296982,0.204221153,0.27813247,0.226675739,0.145482125,0.179735968,0.099601768,0.225642896,0.189535326,0.25677176,0.422595289,0.154070118,0.25651981,0.20831823,0.151513111,0.259977922,0.15457978,0.215969569,0.232616351,0.295282686,0.299814436,0.155871206,0.261084385,0.127997208,0.220452413,0.115257345,0.188958438,0.125252278,0.191631423,0.114709011,0.132206887,0.092919447,0.125699122
Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.03771068,0.057134386,0.02491734,0.007462491,0.01516287,0.038002977,0.032701751,0.019959658,0.019482216,0.017817322,0.040475898,0.039278367,0.022857338,0.045968327,0.067604307,0.089000193,0.018776904,0.031693405,0.036863648,0.032622067,0.050004348,0.071570125,0.063761505,0.034420337,0.092639615,0.089160021,0.048211322,0.029383851,0.030548709,0.059040084,0.031295898,0.069204796,0.129395181,0.017642232,0.064199765,0.013029063,0.066114144,0.03347411,0.040559452,0.047137351,0.022892359,0.044088428,0.13696505,0.01533896,0.045416531,0.013777667,0.015513307,0.086231386,0.036754008,0.017294684,0.0318581,0.028981579,0.03368832,0.028260123,0.013627796
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)GlcNAc,0.031737196,0.198555597,0.072039285,0.010769814,0.019121994,0.109570006,0.225502143,0.057888213,0.207978502,0.278243706,0.050719919,0.04365211,0.078643853,0.20440971,0.162719653,0.043301524,0.081524852,0.053330995,0.037960624,0.025707111,0.082308715,0.037884063,0.114935818,0.042944389,0.333271116,0.100037689,0.155518862,0.062692324,0.100057689,0.077044644,0.069281739,0.928233137,0.224931793,0.132203902,0.190961307,0.162721889,0.100498828,0.067136242,0.17509147,0.092797577,0.222174845,0.180604272,0.352138209,0.033075759,0.110652104,0.060234184,0.097792274,0.035278373,0.054743113,0.011060563,0.04970733,0.057516123,0.024322345,0.165311018,0.537661719
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)GlcNAc,0.565634891,0.573439791,0.317565834,0.225483822,0.960649839,1.020089094,0.276122702,1.065998888,0.805572652,1.383116337,1.313374432,0.7945725,1.280576808,1.251286006,1.111157822,0.784940751,1.180931561,1.270092839,0.400458399,0.538265122,0.638463725,0.969032409,1.401126413,0.772490952,0.905763772,0.837561824,1.762620714,0.848488613,0.817127511,0.916630035,2.651163855,0.805816312,1.630606807,1.000865859,0.421585765,0.761084393,1.174750051,0.538458363,1.361205993,3.351133454,0.697334047,1.021077208,0.977416172,0.4746158,0.734329371,0.780794585,0.980349419,0.355422524,0.710399377,1.295909031,0.885433292,0.539782777,0.630024129,0.945652196,0.800495718
Man(a1-3/6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.686116683,0.897370573,0.424851987,0.360924987,0.85984285,1.519082964,0.374707949,1.177070395,1.319526135,1.544145573,1.41706001,2.532418655,1.682057954,1.623925816,1.627829418,1.949685724,1.851100664,1.243749739,0.957035925,0.831634294,1.188086271,3.925516228,2.328815542,0.922347752,1.92781397,1.460934371,2.650499428,1.229659648,1.216254729,1.670236358,3.543783894,2.008960789,3.606048065,1.185637521,0.958919448,1.387723062,1.25710179,1.072628414,2.313436497,8.751302808,1.21458747,2.039192902,2.435440935,1.07926574,1.488186429,0.950871196,1.168562082,1.219301547,1.532808837,0.966304898,1.518467246,1.06593654,1.239180923,1.184458897,1.320148937
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.12572858,0.172390878,0.131557517,0.033672664,0.086749177,0.11220392,0.043594689,0.142154112,0.080427074,0.10622146,0.136124264,0.064148898,0.179204751,0.39721044,0.194678468,0.135648418,0.16168736,0.249196236,0.062435795,0.07406592,0.106072589,0.129725521,0.152031392,0.128746975,0.278829977,0.125642984,0.144876371,0.080411664,0.20789845,0.140287355,0.280761637,0.111098144,0.296915116,0.105092729,0.047644475,0.105888257,0.086706877,0.062647373,0.176739667,0.189960554,0.114118628,0.168737781,0.117799683,0.067729922,0.082530206,0.123341874,0.080669378,0.036038464,0.042863451,0.133782011,0.066010776,0.052876053,0.08272807,0.102528297,0.119204186
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.037463927,0.032675978,0.019527836,0.010542593,0.072798182,0.055904366,0.010618379,0.058163335,0.042346013,0.07617799,0.050219835,0.045549613,0.083179225,0.076583594,0.065102152,0.051811963,0.076612746,0.10574397,0.030905931,0.030922033,0.051627103,0.065198653,0.076696332,0.052689183,0.067437749,0.041590024,0.100472115,0.048289077,0.054839945,0.061837682,0.121289377,0.051656388,0.087588324,0.065583772,0.020458866,0.065258858,0.049706476,0.022461361,0.070978989,0.113556911,0.040340726,0.084030023,0.056679238,0.037317078,0.049956861,0.046890865,0.036065598,0.023432889,0.019201269,0.13455294,0.047630217,0.029844925,0.04691779,0.04302326,0.068398206
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.313255696,0.370722707,0.305510925,0.191652174,0.647884638,0.703673715,0.23994273,0.53651416,0.591581405,0.802338571,0.691850018,0.64468344,0.616221221,0.790798853,0.70521411,0.849102415,1.075464985,0.535874593,0.298552663,0.496132159,0.580836378,0.821591605,0.934623527,0.466110664,0.696241188,0.693594631,0.888536065,0.584260189,0.437619088,0.802520381,1.464986699,0.768678141,0.972840879,0.542781784,0.449467863,0.685574773,1.180313668,0.503641302,1.369756398,2.088904326,0.466829322,0.999859162,0.563624809,0.334540777,0.643355655,0.410545775,0.4528025,0.294775974,1.073913772,0.520766325,0.491590554,0.453993598,0.540944815,0.495705791,0.433838983
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.617031954,0.768268276,0.404856992,0.476996122,0.931589839,1.245766242,0.434069936,0.641761222,1.085756336,1.095414826,1.156786178,2.631376922,0.883187588,1.036688078,1.237276119,1.625543671,1.523363279,1.04863511,0.674384087,0.707394309,1.246435047,3.391435954,1.484300574,0.884178694,1.281776006,1.133918663,1.456967701,1.000268586,0.759536496,1.38812785,1.882692125,2.005029198,1.905230842,0.893247441,0.926644572,1.127819232,1.108435821,0.956161191,2.038183576,2.974324972,0.933968266,1.594863738,0.934334078,0.779599127,0.954027118,0.721462525,0.812828852,0.737176034,1.116586254,0.968098345,0.94936726,1.04725013,0.973975817,0.867360548,0.924103232
