glycan,control_1,tumor_1,control_2,tumor_2,control_3,tumor_3,control_4,tumor_4,control_5,tumor_5,control_6,tumor_6,control_7,tumor_7,control_8,tumor_8,control_9,tumor_9
GalOS(b1-3)[Neu5Ac(a2-6)]GalNAc,2.755913339,0.620301048,3.019805518,4.148614635,2.413021384,0.424605101,1.764977441,0.744528442,4.518547245,0.849239737,3.17445517,1.543922112,3.752813292,1.287601047,1.574443683,0.627538938,4.415229889,0.425039335
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.775233779,0.178489505,0.778082995,0.83290723,0.824017761,0.410873266,0.617572919,2.133772887,0.603573105,0.544598841,1.317443896,1.256996686,0.860331551,0.340373283,0.927955573,0.494143884,1.045949512,0.590404302
Neu5Ac(a2-3)Gal(b1-3)GalNAc,9.219493623,8.436141236,16.19072062,11.03231329,16.06136279,8.13352872,12.29118834,10.14378103,10.8651722,14.35389365,12.31302384,11.60193797,13.24638016,8.352031969,12.35258703,9.731834213,16.17026262,12.6933315
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,2.770824681,0.944913481,1.531698214,2.427562074,1.570204193,2.066165431,2.83247478,2.508954283,2.228298582,1.75784046,4.811796469,3.641077162,1.437486904,1.470696547,2.324955556,2.192552563,0.805130154,1.100489546
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,35.91267568,30.05841848,48.42083347,43.73843615,46.6928465,26.72871284,39.97112799,32.290024,51.47229203,40.66915347,41.92735061,37.75564078,43.70152825,32.56549803,47.14575661,38.56576268,44.68356215,33.53294182
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-8)Neu5Ac(a2-6)]GalNAc,0.664609968,0.495280437,1.451469618,1.289237301,1.331163942,0.441113621,0.657772087,0.330535664,0.654085622,0.219398901,1.433102329,0.791532653,0.722263718,0.589714858,1.33769068,0.779090151,1.734299174,0.605035633
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,1.06993364,1.735744491,1.46810492,1.509498897,1.128653007,1.812380502,0.816788502,6.345353056,2.179459521,1.261104706,1.438459384,4.410718029,0.669909747,1.310331537,1.838577163,0.989791305,1.329698381,1.392818186
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc6S(b1-6)]GalNAc,0.599954364,1.213936069,0.450137929,0.469515142,0.528332345,2.891748898,0.770085266,0.85395498,0.853148168,4.776427363,0.66936141,1.323619004,0.914650532,1.027152227,1.633414819,4.33379321,0.365927854,3.162330392
Neu5Ac(a2-3)Gal(b1-4)GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,6.005920507,6.365952241,5.623332639,5.965819242,5.299404918,7.027605879,10.52315438,12.57039142,4.753028689,6.895145171,12.3250221,10.33846506,5.40139045,5.785954676,7.054084015,5.775716387,11.54981962,4.633692463
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,3.557548238,2.179078106,2.341707843,2.594836219,2.408925195,1.838782755,3.403740915,1.561446034,1.909720363,0.838742148,1.389057385,1.590799554,2.557033896,3.846190975,0.765387204,0.660687528,1.428603008,0.845143752
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,8.44857555,14.89068365,4.765328865,7.229354774,5.669281562,18.75216265,7.503251189,7.395700152,6.107555786,8.367088113,7.748875494,8.248335651,9.086158178,13.80277098,6.255982692,9.265804829,4.196431647,11.07591485
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,25.22260416,26.31408888,12.02658981,16.03717418,13.64983063,21.49373571,16.47360608,19.28989924,10.42717774,12.01437028,9.66630179,14.46138865,15.27694081,25.48153406,12.89758653,16.97862452,10.42888854,18.75104208
Neu5Ac(a2-3)Gal(b1-4)GlcNAc6S(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,2.996712472,6.566972375,1.932187557,2.724730862,2.422955775,7.978584619,2.374260112,3.831658814,3.427940958,7.45299716,1.785750123,3.035566689,2.373112508,4.140149812,3.891578444,9.60465979,1.846197458,11.19181615
