glycan,control_1,tumor_1,control_2,tumor_2,control_3,tumor_3,control_4,tumor_4,control_5,tumor_5,control_6,tumor_6,control_7,tumor_7,control_8,tumor_8,control_9,tumor_9,control_10,tumor_10,control_11,tumor_11,control_12,tumor_12,control_13,tumor_13,control_14,tumor_14,control_15,tumor_15,control_16,tumor_16,control_17,tumor_17,control_18,tumor_18,control_19,tumor_19,control_20,tumor_20
GalOS(b1-3)[Neu5Ac(a2-6)]GalNAc,0.843709529,1.185047239,2.152083569,0.687092782,1.564449587,0.38191377,2.389590149,0.533141876,2.497482162,0.338888858,1.98386456,0.263255405,0.56540014,0.702718492,0.859897628,0.167949983,0.443670557,0.120434002,0.9494442,0.529956401,1.216788925,0.515379903,2.614326307,1.873947531,1.411532604,2.137022496,2.098266641,1.637066745,2.466165143,0.915782762,2.066977889,1.088630066,1.462826053,2.259635633,1.687785315,1.137671689,0.024032977,0.117448649,1.972512035,1.304717294
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,1.41593671,1.223880495,1.689500982,1.174879449,1.035306455,0.697252412,1.535418513,0.994567934,2.792506633,0.726124344,1.343116744,0.725576176,1.460141508,1.211323464,1.7741858,1.059715733,0.485741247,0.537443251,2.028667826,1.127828421,1.385156105,1.119957562,3.332827833,2.182772574,3.915658988,3.268189458,3.844045373,5.268932896,3.34837914,1.954321788,2.270991601,1.416996348,2.278507912,3.784132184,1.202981976,1.012982734,0.489965838,0.206167632,0.522628732,0.844160688
Neu5Ac(a2-3)Gal(b1-3)GalNAc,12.40132754,33.01044772,19.30797173,29.34724523,46.80806019,35.66637554,33.17750617,34.81243981,19.00135686,15.403807,24.18617152,13.17823349,18.95881473,26.38230298,22.97268473,35.17144842,11.85917178,15.19550766,22.75834929,18.21556614,30.17326371,31.87662615,13.64388372,11.61726304,10.23506942,8.402546856,10.12171075,17.02955188,10.864069,13.93229481,13.41939926,16.7105008,13.17799841,11.65112542,20.78120214,18.95249649,45.84697532,39.51918986,27.93994083,29.86579405
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,43.26092801,8.229890415,17.23863124,7.552705087,5.544790327,3.889307214,6.871085199,6.690768608,16.23714652,6.826976338,18.19303902,7.836439501,18.81540527,3.78133286,16.30779177,9.317731743,3.816817291,2.316089576,19.62815466,11.18691252,7.176626861,6.222805059,2.211868223,5.542070006,17.37313652,13.18437604,9.92786765,10.14517177,7.26419504,2.925410133,5.80397409,3.415015481,5.450804929,8.237603255,13.22768592,6.980492304,17.42472749,27.55385214,5.870837237,2.55863356
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,20.71909124,36.77542135,32.41507742,20.34575503,33.69167004,30.06846446,37.33385174,24.70585598,31.71883124,15.90430081,12.37872013,10.71004953,25.72154981,36.06482745,22.47596177,19.17284159,25.65084246,23.22599262,15.87349506,19.68904691,24.70617312,21.72226292,48.41042372,36.51262366,24.47095229,27.24716937,39.51940877,33.04669777,30.16588363,40.91587604,45.85178981,38.84772824,38.55253679,39.71119741,35.54678206,22.84020803,10.99617556,2.591074591,44.45721391,45.79341304
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-8)Neu5Ac(a2-6)]GalNAc,0.08474487,0.120049628,0.388219403,0.055401669,0.279695539,0.082135031,0.36978408,0.022555422,0.080158321,0.084912805,0.216150151,0.046506167,0.193598698,0.216024086,0.231578413,0.112093474,0.269521464,0.168828785,0.120355444,0.124238693,0.16162883,0.038397498,0.611761249,0.768488707,0.681632118,0.470401278,0.778379153,0.455968355,1.574697003,0.794132051,0.485839447,0.629201872,0.53517147,0.637019113,0.245014591,0.127951592,0.029853368,0.022643292,0.219165526,0.331946899
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,1.347736559,0.892650525,2.46840525,1.810794524,1.589161649,0.449338745,2.640131609,0.572827566,2.763889585,0.737075531,5.693513873,1.089741134,3.047895495,1.390840126,2.867624061,2.532366322,2.306098112,1.385761098,3.227311188,1.509109254,2.261036702,1.451923666,0.984707728,0.876961799,1.40753266,2.074268518,1.446613852,1.586173674,3.677416594,0.429995373,1.070249061,0.647785765,1.440911756,1.810303628,1.722288965,1.475260341,4.847787929,4.552495694,0.480034691,0.494122632
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc6S(b1-6)]GalNAc,0.260363666,0.361326543,1.602542223,0.556719478,0.18535872,0.224335584,0.154124177,0.190597831,0.610642049,5.53790084,0.802283248,5.033126166,0.568953795,1.949061496,0.865075395,1.312482637,0.787145408,1.077995167,1.121148562,3.686536706,0.665091999,0.659294229,0.49529268,4.395547971,1.364945591,1.754450207,1.538038257,1.404321586,2.253027058,1.418812391,1.019956203,3.8376798,2.061974149,0.505236872,0.288032007,8.391020192,0.12741057,0.094724812,0.11821095,0.801647313
Neu5Ac(a2-3)Gal(b1-4)GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0.569411678,0.619569515,1.17960079,1.499795112,0.403384241,3.241721695,0.218522654,0.971615501,1.522893474,1.101556998,7.128190195,2.331784306,0.667220461,0.82396057,0.873995,1.092202016,2.974638731,1.606805737,0.975717839,0.739159457,1.415607382,1.98322822,2.824167926,1.731613435,5.05426168,8.470797798,4.069269707,1.066932925,1.790486279,0.878764017,1.227925655,0.747772415,1.644855369,1.958769947,0.163594002,2.566274832,0.160973638,0.094659007,0.511489072,0.617422159
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,9.721264328,4.954060404,7.174891838,5.318077117,4.011094072,5.932959086,5.757824718,7.225893659,10.33259012,3.90689048,7.807076832,2.627087472,14.52880517,3.942209156,11.76001671,8.816198515,11.72649253,8.009796594,10.99417257,7.515788844,6.662471877,5.229774373,7.533999046,9.058905566,17.65425937,17.01535885,8.364826906,6.2456823,13.63423499,11.86064957,12.9759982,8.742912671,9.377702539,12.6416834,14.46193308,3.754263683,10.904238,10.31699499,8.964181279,6.352170491
