glycan,H7-01 Control,H7-02 Non inf control,H7-03 Non inf control,H7-04 Non inf control,H7-06 Infected vehicle,H7-08 Infected vehicle,H7-09 Infected vehicle,H7-10 Infected vehicle,H7-35 RaMH,H7-36 RaMH,H7-37 RaMH,H7-38 RaMH,H10-01 Non inf control,H10-02 Non inf control,H10-03 Non inf control,H10-04 Non inf control,H10-07 Infected control,H10-08 Infected control,H10-09 Infected control,H10-10 Infected control,H10-15 IL4,H10-17 IL4,H10-18 IL4,H10-19 IL4
Gal(b1-3)GalNAc,0.242959294,0.208266687,0.223528815,0.245892652,0.297072181,0.180747719,0.248926984,0.306004401,0.267578162,0.327380216,0.292163363,0.149837974,0.270821693,0.240446069,0.189056365,0.236582966,0.246200265,0.249818196,0.214795705,0.203260053,0.208261027,0.180965607,0.339735652,0.203124892
GalOS(b1-3)GalNAc,0.007172373,0.012266876,0.017346294,0.004030473,0.006302307,0.01203948,0.005053645,0.005923085,0.008235204,0.004713381,0.005852354,0.0071914,0.004755934,0.033161488,0.029959703,0.019614552,0.301310242,0.014480426,0.014660255,0.016894881,0.008815143,0.009553359,0.035158292,0.007540381
Gal(b1-3)[Fuc(a1-4)]GalNAc,0.140819934,0.183320134,0.182716262,0.202930949,0.160700227,0.142861102,0.14059539,0.169862898,0.16188088,0.181321495,0.188556914,0.112125127,0.181095593,0.134314668,0.156786041,0.131542907,0.14191089,0.148975132,0.124809649,0.166304167,0.140899808,0.155752588,0.133646561,0.17373591
Fuc(a1-2)Gal(b1-3)GalNAc,1.811925308,1.782674626,1.24988204,1.18912839,1.395655211,1.65473078,1.410925866,1.459425323,1.397927249,1.392152972,1.805503778,1.33754892,1.015629022,1.678675606,1.255518761,1.49007478,2.425317142,1.707860263,1.611116655,1.28856384,1.368993498,1.26286753,1.736895031,1.264229086
Fuc(a1-3/4)[HexNAc(?1-3/6)]GalNAc,0.098391749,0.079559775,0.063288093,0.047380063,0.050811314,0.087160853,0.076106583,0.078545347,0.043213785,0.076887231,0.032139198,0.103359011,0.074230964,0.066081315,0.065791379,0.07961671,0.068992171,0.060206905,0.059021135,0.087314763,0.066033699,0.030632206,0.031183764,0.07420367
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,2.490588808,2.299771252,2.606396841,2.795675318,2.854120991,1.920940398,2.061599387,2.437610965,2.534288257,2.399150144,2.578256009,1.809421538,2.518410295,2.044985623,2.389276294,2.16435379,1.980592708,2.016401276,2.026073647,2.115110061,2.201637409,2.230394424,2.288673237,2.300620072
Gal(b1-3)[GlcNAc6S(b1-6)]GalNAc,0.157485078,0.184542176,0.079616159,0.083747722,0.135679028,0.122597835,0.104297265,0.05689238,0.24571781,0.095042504,0.063977885,0.108112355,0.139737423,0.402710804,0.089740197,0.25091771,0.299367299,0.700385277,0.187516414,0.146703983,0.09049603,0.049544094,0.08335437,0.095668904
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,0.175039068,0.296879045,0.280618925,0.160356891,0.215641458,0.202509084,0.145442296,0.163017893,0.250086505,0.180657307,0.391316233,0.156624276,0.244190236,0.798874135,0.166334862,0.36386547,0.313416095,0.651120335,0.534827375,0.171045965,0.245408881,0.303948275,0.938188592,0.227422195
Neu5Ac(a2-3)Gal(b1-3)GalNAc,0.266685506,0.731698306,0.598758282,0.317575074,0.31624937,0.450428194,0.254355856,0.270601706,0.478035379,0.220025535,0.431533824,0.331850428,0.181295194,1.58167726,0.294095184,0.785105366,0.630191058,1.627002695,1.265623236,0.310249835,0.433800979,0.563303179,1.930232575,0.458130723
Gal(b1-3)[Neu5Gc(a2-6)]GalNAc,0.024384803,0.042008869,0.033625427,0.020051046,0.017637598,0.024818355,0.020726767,0.027991285,0.028609736,0.014587353,0.030656854,0.016144287,0.016660049,0.079950686,0.015872955,0.034319574,0.038538124,0.071098362,0.064267168,0.016113356,0.030974723,0.038410787,0.127530024,0.026518886
