Group,AAA,AAL,Ab-LeB-1,ACA,AIA,AMA,AOL,APA,APP,ASA,BDA,Blackbean,Blood Group B [CLCP-19B],Blood Group H2,BPA,CA,CA19-9 [121SLE],CAA,Calsepa,CCA,CD15 [ICRF29-2],CD15 [MY-1],CD15 [SP-159],Cholera Toxin,Con A,CSA,CVN,DBA,DSA_1,DSA_2,DSA_3,ECA,EEA,EEL,Forssman,GHA,GNA,GNL,GS-I_1,GS-I_2,GS-I_3,GS-I_4,HAA,HHL,HPA,IAA,IRA,LcH,Le X [P12],LEA_1,LEA_2,Lewis A [7LE],Lewis B [218],Lewis Y [F3],LFA,Lotus,LPA,MAA_1,MAA_2,MAL-I,MAL-II,MNA-G,MNA-M ,MOA,MPA,MUC5Ac Ab,NPA,SVN_1,PA-IL,PHA-E_1,PHA-E_2,PHA-L,PMA,PNA_1,PNA_2,PSA,PSL,PTA_1,PTA_2,PTL-II,RCA120,GRFT,Ricin B Chain,RPA,SVN_2,SBA,SJA,SNA,SNA-II,SNA-S,SNA-V,STA,TJA-I,TJA-II,TL,UDA,UEA-I,UEA-II,VFA,VVA_1,VVA_2,WFA,WGA_1,WGA_2
Vech._1,0.074342913,-0.006492916,0.247093076,0.404802312,0.03491793,-0.093996441,0.078122709,-0.177826907,0.024463603,-1.536693483,0.510471207,-0.313930432,0.175746247,0.257538744,0.235360621,0.054002383,0.035427822,-0.29858256,0.07921274,0.256857868,-0.118088893,1.317510448,-0.376112275,-0.21826284,0.195662689,0.237406586,-0.418650757,0.130359065,-0.12703539,0.108502363,0.11313081,-0.016893178,-0.421757215,-0.264700463,-0.190717725,-0.03055886,-1.102027555,-0.989740854,0.246488308,0.150409505,0.199832052,0.258843097,0.282509649,-0.496985263,-0.042932107,0.179317408,0.291078277,0.078122947,0.801211394,0.177085638,-0.435134549,-0.241954911,1.867250898,1.140730917,0.300864681,0.040835069,0.408008917,0.069689188,0.166241719,0.328620015,0.392756662,-0.091280654,0.092742181,0.091105132,-0.025986498,-0.33387122,-0.652158438,0.006294105,0.246179612,0.217736235,-0.164400191,-0.089040962,0.276039342,0.107781397,-0.084255982,-0.07044327,0.203517153,-0.0409898,0.085878568,0.214874635,-0.257506228,-0.136416261,-0.123928334,0.184374611,-0.175582325,0.293898298,0.169014411,1.169163431,0.066262403,1.255080473,0.850303747,-0.408545798,1.004492017,-0.279039247,0.052031667,0.036027336,-0.013610465,0.079990126,-0.156960982,0.235895517,-0.004983323,-0.204485268,0.133505142,0.048937434
Vech._2,0.325024805,-0.676966518,0.096886673,0.784598562,-0.04812885,-0.670949591,-0.455036591,-0.472033305,-0.143349393,-1.675088523,0.375219861,-0.138135898,0.549516678,0.401878744,0.045081168,-0.652956499,0.007814907,-0.980746715,-0.474168885,0.799194443,0.054337572,2.610522481,0.039199428,-0.513041989,0.610545949,-0.511694384,-0.416892704,0.567186116,-0.582395359,0.011892724,-0.059473435,-0.820182651,0.128659873,-0.34583404,0.175640721,-0.009511083,-1.366855098,-1.191344229,0.232578006,-0.082124593,0.385880428,-0.144538835,0.362328999,-1.190845555,-0.289814773,-0.644395586,1.02491063,-0.430511464,1.370305574,0.152191094,-0.823479351,0.112179111,2.557770512,1.573647716,0.517995761,0.392509881,0.216761522,0.39409599,0.262509735,0.348863583,0.425438445,-0.640231867,-0.536865419,0.370273487,-0.502179028,-0.069709331,-0.807881822,-0.699381085,-0.417226854,-0.516618723,-0.804513643,-0.237951133,0.905962917,-0.044889976,-0.434715131,-0.39176174,1.036106816,0.018548204,-1.016084882,0.316645627,-0.86372455,-1.292119649,-0.594074028,0.368494447,-1.012222205,-0.662492823,0.145351591,1.077467093,-0.473712105,1.109380517,0.761015524,-0.878605439,0.976161733,-0.642277763,-0.341206096,-0.5510253,0.276030876,0.676624216,0.219957631,-0.427883606,-0.652648536,-0.93497996,-0.201545743,-0.381437886
PR8_1,0.159026608,-0.132810422,0.050736217,-0.271556813,0.211174774,0.622286222,0.040796506,0.2314785,0.199507367,1.768588717,0.127450237,0.502740242,1.046534183,-0.004810429,0.134347775,0.499213359,-0.082226912,0.286348838,0.181557425,-0.28403217,0.598485894,1.565264895,0.717798509,0.139509127,-0.190036225,0.270315313,0.661052637,0.148944855,0.25192203,0.22029834,0.286756698,-0.017307942,0.222041676,0.755637967,0.127889863,-0.028120664,1.2075098,1.070394834,0.254894077,-0.10595114,-0.099173248,0.125019238,0.310264571,0.86293145,0.112999782,-0.139481619,-0.353638009,0.243529227,1.285198638,0.326428835,0.383935653,0.037970212,2.424569516,1.880990617,0.399928498,-0.147743172,-0.029422688,-0.299278203,-0.253754112,-0.288650868,-0.42553796,0.281584567,-0.163073329,0.079619418,0.196801753,-0.288072367,0.987842511,-0.118395458,0.135090252,0.022641145,-0.053627683,-0.041592394,0.345414572,0.138155071,0.143478081,0.198653083,-0.291003232,0.436114243,-0.001734561,-0.194534192,0.250835866,0.327993384,0.236880441,0.369041314,0.321169616,0.32878859,0.064273285,-2.293820447,0.203226775,-3.03407985,-0.84549757,0.094303358,-0.707136885,0.268238122,0.249811628,0.540020317,0.017322569,-0.127403309,-0.223116547,0.063664562,0.456482791,0.245036118,0.195800094,0.215771877
PR8_2,0.254216715,0.662397193,0.360425345,0.462620694,-0.175135009,0.540899775,0.550522296,0.168911751,-0.01567175,1.064001954,0.182079526,-0.138293583,1.018398628,0.317477472,0.021143886,0.32235942,0.131692099,0.662466455,0.534451831,0.245677964,0.443584404,1.79508411,0.405835163,0.008271042,0.382786765,-0.04822891,0.176964832,0.215487495,0.178678612,0.131209967,0.213835667,0.181086288,-0.326555704,0.367990193,-0.13548155,0.4743042,0.842927057,0.570290186,0.103744389,-0.255183408,0.127627919,0.273992586,0.192645436,0.516790432,0.277984935,-0.638484632,0.435190912,0.186002349,1.547487052,0.059749903,0.142657242,-0.070264337,1.510116597,1.432513164,0.405551609,0.231966362,0.440745846,0.028408236,0.104929219,0.047373601,-0.241748701,-0.205008051,0.401131996,0.249189221,-0.074012446,-0.580932088,0.608716707,0.468036673,0.000195701,0.261538952,0.446929243,0.386559964,0.382205958,-0.124862779,0.108894624,0.53897027,0.361831278,-0.055352547,-0.124929251,-0.221058619,0.060039101,0.41995039,0.013319257,0.272870676,0.515696421,0.138359826,-0.022027468,-2.304907685,-0.113593691,-2.492958004,-1.32675073,0.030102923,-0.985909042,-0.050704261,0.269192852,0.668316808,0.086922165,0.317986757,0.028802453,-0.021765255,0.707966289,0.2464302,-0.030048061,0.006149852
PR8_3,0.845123435,0.40358045,0.884105832,1.027714356,0.428831308,0.221508428,0.850090619,0.366697926,0.022903602,-0.076445604,0.650096878,0.414703614,1.229879511,0.76913664,0.221179477,0.024976061,0.895060801,0.08941957,0.27615241,0.70411905,0.726478545,2.634080879,0.635122226,0.064824374,0.778826995,-0.220477313,0.398605925,0.791135281,0.039727405,0.175656159,0.490289095,0.209833273,0.107824306,0.366618445,0.670712644,0.733982325,0.037623228,-0.074621363,0.601203534,0.400667093,0.613987457,0.51509798,0.784882126,0.137359553,0.582235373,0.408709834,0.984211488,0.158547514,1.584351981,0.415218659,-0.223424276,0.717479798,6.498872217,2.455945844,1.062929377,0.691569723,0.415675762,0.521756517,0.646332569,0.444010638,0.409390715,0.321961482,0.253664274,0.65870153,0.32120722,0.152114666,0.071003696,0.747282947,0.314523575,-0.1803242,0.151057776,-0.138831762,0.153661776,0.793570678,0.548947858,0.382070993,0.888573056,0.41370425,-0.145261077,0.643025632,0.106878867,0.669069037,0.09986653,0.858802404,0.433202857,-0.081200372,0.596091681,-1.831053434,0.169831158,-1.70655728,-0.991200797,0.015003466,-0.163735519,0.018181303,0.034387652,0.709739304,0.622643566,0.852153267,0.474985702,-0.261747668,0.516103306,-0.18896311,-0.134276221,-0.211602768
IRE1-inhb64_1,0.719241271,0.341613873,0.79890021,0.898938266,-0.791267037,-0.752658309,0.625935468,-0.258474437,-0.42746598,-1.816531396,0.932839341,0.42594643,0.890971633,0.835193609,-0.53406579,-0.505736972,0.774414681,-0.96135149,-0.625024345,0.679039851,0.329315809,2.401657308,0.05126946,-0.293123949,0.732210219,-0.708581194,0.173991887,0.763168062,-0.62296976,-0.341376681,0.164134872,-0.772753373,0.125674597,-0.585253744,0.353457878,0.110097148,-0.177025651,-1.245702345,0.74077641,-0.298931717,0.76702714,-0.067579964,0.532966714,-1.028367128,-0.512127037,0.549498163,0.998726932,-0.38217163,1.201695199,-0.52952866,-0.78751149,0.600833306,1.607695932,2.331596159,0.980631291,0.684027769,0.55274408,0.549129641,0.65201674,0.572432077,0.341647678,-1.062628451,-0.290539561,0.711337658,-0.92864382,0.103654261,-1.236319047,-0.076772189,-0.602733782,-0.714950128,-0.845571047,-0.862249202,-0.491233387,0.369560498,-0.304846708,-0.836664828,1.028256298,0.171047504,-0.77596664,0.5707669,-0.779286975,0.184028054,-0.593773712,0.797879285,-0.638724218,-0.90244303,-0.394260363,0.873993771,-0.795307148,0.746623122,0.771174802,-0.565337858,0.499196755,-0.87177368,-0.767602348,-0.748227564,0.598318666,0.872199529,0.664682528,-0.844987122,-0.698639636,-0.919442218,-0.473694298,-0.515828464
IRE1-inhb64_2,0.757071589,0.798075995,1.247808364,0.835517901,-0.31590678,-0.222207457,0.638705434,-0.058402739,-0.130619683,-1.219754758,0.760390427,0.430645646,0.794241083,0.798369774,-0.06747586,-0.367728296,0.80287408,-0.416063336,-0.168047486,0.649306839,0.268814604,1.648189422,-0.222709171,-0.106193433,0.612168034,-0.092644239,0.136208342,0.750220521,-0.087611623,0.201578503,0.362784017,0.043019273,-0.022837199,-0.109742116,0.428977092,0.465364953,-0.886124046,-0.808780871,0.661309624,-0.159253084,0.709585478,0.142891322,0.607061648,-0.499646732,-0.2280093,0.605226854,0.701293878,-0.235173496,1.055191176,0.004069846,0.132516265,0.416587328,1.749184427,1.464861741,1.008938517,0.757544071,0.422392858,0.675671975,0.60132559,0.579770564,0.570002764,-0.349713494,0.193152194,0.501205994,-0.47780784,-0.291104338,-0.705527464,0.577414818,-0.173065612,0.030426072,-0.309341864,-0.139424696,-0.384395802,0.046345453,-0.223094702,-0.322343829,0.690493497,0.439988791,-0.199328375,0.084061484,-0.079876482,0.511559048,-0.150324059,0.840126923,0.122974919,-0.068312389,-0.01578594,1.442377311,-0.18911496,1.254306663,1.087281829,-0.039358011,0.768060549,-0.339438376,-0.18218347,-0.189859555,0.659336853,0.670791807,0.515546345,-0.258993099,0.122063029,-0.303340263,0.085761037,0.017204369
IRE1-inhb64_3,0.613139128,0.360350428,0.606005352,0.669145067,-0.761833235,-0.798340997,0.553603883,0.322063205,-0.487790185,-1.880069403,0.513628712,0.336594854,0.92940663,0.594254659,-0.414300604,-0.637682728,0.569920051,-0.897665218,-0.588828766,0.450682267,0.184105681,2.386896913,0.001720987,-0.299477014,0.427927006,-0.56074235,0.257166092,0.596912736,-0.424400086,-0.131324108,0.00493601,-0.599377551,0.208715289,-0.025574372,0.290210964,0.105123516,-1.205445856,-1.214408119,0.423719439,-0.312477585,0.479699732,-0.188243138,0.342531318,-1.014551958,-0.219433398,0.55623294,0.695769099,-0.77522841,1.657488639,-0.180820773,-0.591885824,0.440493821,2.385320048,1.983459167,0.749982324,0.410310008,0.23376864,0.361521463,0.401611205,0.279062714,0.345294729,-0.82484068,-0.453363556,0.518357346,-0.883016818,-0.101143337,-1.180376908,0.047760889,-0.295535676,-0.534021607,-0.634505166,-0.637237491,-0.654845179,-0.134891953,-0.291813527,-0.712254449,0.69498275,0.228397902,-0.586998733,-0.043121045,-0.511758324,0.028635966,-0.536500886,0.654637943,-0.350461799,-0.632971598,0.115997482,0.765735194,-0.397652088,0.755175148,0.773315375,-0.459991813,0.503768815,-0.684236706,-0.606743427,-0.596443477,0.435237825,0.56341775,0.313114799,-0.712906705,-0.396205295,-0.720003898,-0.316488489,-0.371247779
PR8+inhib64_1,0.766501442,0.535430237,0.694409395,0.956413587,0.341306384,-0.206204163,0.591041188,0.089593027,-0.155377092,-0.461536682,0.652727313,0.261200119,1.100296523,0.746406107,-0.014054944,-0.275038616,0.754529937,-0.194028337,-0.049959452,0.644209804,0.485259231,1.992027061,0.505974716,-0.129788809,0.695134404,-0.222125556,0.132014092,0.631432561,-0.280327952,-0.014010759,0.196195961,0.202900795,-0.075060253,-0.340134194,0.355279823,0.481297094,-0.237443202,-0.369539211,0.731663885,-0.240393526,0.805971515,0.138412269,0.548353196,-0.344255582,0.458308463,0.396184429,0.794907542,0.399658291,1.697779064,-0.542349739,-0.530886002,0.470507058,2.030147772,2.696445722,1.082504709,0.515794077,0.327782669,0.55037585,0.390451513,-0.278937214,-0.020920319,0.165270033,-0.117108912,0.661420196,0.259892427,-0.097387558,-0.541954277,0.49941779,-0.298818431,-0.130662765,-0.34023168,-0.220533481,0.130652174,0.33041627,0.327083655,-0.072377677,0.829367152,0.361031232,-0.381195201,-0.17240449,-0.117004167,0.504313846,-0.078195855,0.836307279,-0.168620872,-0.541514138,-0.283689712,-1.754315901,-0.198522255,-1.685830393,-1.010504609,-0.258685558,-0.76050719,-0.283804147,-0.324579052,-0.297859611,0.503925412,0.670653755,0.356663524,-0.455372367,-0.102141982,-0.534030661,-0.432088196,-0.511855931
PR8+inhib64_2,0.789998023,0.204424495,0.405185748,0.948120921,0.007283886,-0.190817922,0.398201429,0.012244379,-0.208949345,0.077595434,0.750059237,0.2499851,1.111245277,0.721093454,-0.246534074,-0.275091177,0.629040132,0.586361499,0.009057191,0.843151543,0.624271107,1.953841022,0.795968076,0.160142811,0.622395934,-0.625671258,0.404702188,0.686847454,0.166827253,0.425485983,0.47024031,0.021416643,0.180215796,-0.098463289,0.320489781,0.427790548,-0.074698121,-0.188958345,0.714263161,-0.461493863,0.6809445,0.598238461,0.537415569,-0.06333343,0.2421332,0.27331753,0.97373861,-0.015196909,1.351858287,-0.308019944,-0.010031227,0.43180623,2.657094301,1.667557445,0.84824503,0.67883224,0.237538721,0.698139061,0.491815431,0.429434436,0.157555813,0.14385719,-0.093678774,0.898135331,-0.233504759,0.01930113,0.127973969,0.379384951,-0.467687502,-0.197761848,-0.187753615,-0.386855161,0.063087983,-0.354509564,0.172217298,0.021472292,1.096110729,0.275593582,-0.146376693,-0.309016171,-0.27878039,0.096222547,0.110737075,0.795944534,0.118523061,0.272878069,-0.284315519,-1.692698915,-0.181373355,-2.612657109,-1.144164612,-0.245067385,-1.159149797,-0.302641764,-0.183423455,0.581636979,0.707693098,0.878379927,0.579286917,-0.433800978,0.19010576,-0.345692152,-0.294165752,-0.364552508
