glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref,taxon_id
Gal(a1-2)[Rha3Me(a1-3)][Xyl(b1-4)]Fuc(a1-3)[Xyl(b1-4)]Glc,ATCV-1,Chlorovirus,Phycodnaviridae,Algavirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Virus,https://pubmed.ncbi.nlm.nih.gov/26582281/,
Gal(a1-2)[Rha3Me(a1-3)][Xyl(b1-4)]Fuc(a1-3)[Xyl4Me(b1-4)]Glc,ATCV-1,Chlorovirus,Phycodnaviridae,Algavirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Virus,https://pubmed.ncbi.nlm.nih.gov/26582281/,
Gal(a1-2)[Rha3Me(a1-3)][Xyl4Me(b1-4)]Fuc(a1-3)[Xyl(b1-4)]Glc,ATCV-1,Chlorovirus,Phycodnaviridae,Algavirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Virus,https://pubmed.ncbi.nlm.nih.gov/26582281/,
Gal(a1-2)[Rha3Me(a1-3)][Xyl4Me(b1-4)]Fuc(a1-3)[Xyl4Me(b1-4)]Glc,ATCV-1,Chlorovirus,Phycodnaviridae,Algavirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Virus,https://pubmed.ncbi.nlm.nih.gov/26582281/,
GalA(a1-2)Rha(a1-4)GalA,Abelmoschus_esculentus,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,455045
GlcA(b1-3)GalA(a1-2)Rha,Abelmoschus_esculentus,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,455045
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha,Abelmoschus_esculentus,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,455045
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha,Abelmoschus_esculentus,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,455045
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha,Abelmoschus_esculentus,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,455045
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha-ol,Abelmoschus_esculentus,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,455045
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha-ol,Abelmoschus_esculentus,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,455045
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha-ol,Abelmoschus_esculentus,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,455045
GlcA(b1-3)GalA(a1-2)Rha-ol,Abelmoschus_esculentus,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,455045
[Gal(b1-4)Gal(b1-4)Gal(b1-4)Gal(b1-4)]Rha(a1-2)Rha,Abelmoschus_esculentus,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,455045
[Gal(b1-4)Gal(b1-4)]Rha(a1-2)Rha,Abelmoschus_esculentus,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,455045
[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)GalA,Abelmoschus_esculentus,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,455045
GlcA(b1-3)GalA(a1-2)Rha,Abelmoschus_glutinotextilis ,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha,Abelmoschus_glutinotextilis ,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha,Abelmoschus_glutinotextilis ,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha,Abelmoschus_glutinotextilis ,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha-ol,Abelmoschus_glutinotextilis ,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha-ol,Abelmoschus_glutinotextilis ,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha-ol,Abelmoschus_glutinotextilis ,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,
GlcA(b1-3)GalA(a1-2)Rha-ol,Abelmoschus_glutinotextilis ,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,
GlcA(b1-3)GalA(a1-2)Rha,Abelmoschus_manihot,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,183220
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha,Abelmoschus_manihot,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,183220
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha,Abelmoschus_manihot,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,183220
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha,Abelmoschus_manihot,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,,183220
