motif,pred
[Glc(b1-3)Glc(b1-3)Glc(b1-3)Glc(b1-6)]Glc(a1-3)Glc,-0.078
Gal(b1-3)Gal(b1-4)Gal(b1-3)Gal,-0.116
Glc(b1-6)Gal(a1-4)GlcA(b1-4)GlcA(b1-3)D-4dThrHexA4en,0.234
Ribf(b1-5)GalfNAc(b1-4)GlcA6Etn(a1-2)Ribf,-0.222
Rha(a1-3)[Rha(a1-4)GlcA(b1-2)]Man(a1-3)Rha(a1-3)Rha(a1-3)Glc(b1-3)Rha,0.34
GlcA(b1-4)GlcA(b1-3)[Glc(b1-4)]GalA2S(a1-4)Gal,0.22
[Tyv(a1-3)]Man(b1-4)Rha(a1-3)Gal(a1-2)Man,0.223
HexNAc(bond)[Fuc(bond)]HexNAc(bond)Gal(b1-3)GalNAc,-0.261
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc,-0.051
Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)Glc,-0.135
LDManHep(a1-7)LDManHep(a1-3)LDManHep(a1-5)Kdo,0.227
Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-3)[Man(a1-2)Man(a1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,-0.178
[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]Glc(a1-4)Gal(b1-4)Glc(b1-4)Glc,0.004
Glc(b1-3)Gal4Pyr(a1-4)Glc(b1-3)Gal4Pyr,-0.159
Fuc(a1-2)Gal(a1-4)GlcNAc(b1-3)[Neu5Gc(a2-6)]GalNAc,0.012
D-Fuc(a1-3)[Rha(a1-2)]D-Fuc(a1-3)Rha(a1-3)D-Fuc,-0.17
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)GalNAc,0.019
Gal(a1-6)[Gal(a1-2)]GalPGro(a1-6)Gal,-0.077
Rha(a1-4)Fuc(a1-3)Rha(a1-2)6dTal,-0.126
Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,-0.121
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.11
Xyl(b1-2)[Man(a1-3)][Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAcN,-0.271
GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)][Fuc(a1-6)]GlcNAc,-0.037
Man2S3S4S6P(a1-3)Man2S4S6S(a1-3)Man2S4S6S,-0.141
Glc(b1-4)Glc6Ac(b1-3)[Glc(b1-2)]Glc6Ac1Fer(a1-2)FrufOBz1Fer,-0.65
GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl,0.368
Man(a1-2)Man(a1-2)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,-0.124
GalNAc6PCho(a1-3)GalNAc6PCho(b1-5)Rib1P-ol(1-6)Glc(b1-3)D-FucNAc4N,0.053
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,-0.241
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-3)]Gal(b1-4)Glc,-0.025
Man(a1-2)Man(a1-6)Man(a1-6)Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)Man(a1-2)Man(a1-2)]Man(a1-3)[Xyl(bond)][Man(a1-2)Man(a1-2)[Xyl1P(bond)]Man(a1-6)[Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,-0.18
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)[Man(a1-6)]Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,-0.181
Neu5Ac(a2-2)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc,-0.027
