product,context,kind,glycan_class,enzyme,rationale,reference
GlcNAc(b1-2)Man(a1-3),Man(a1-2)Man,forbids,N,MGAT1,MGAT1 acts on Man5GlcNAc2; alpha1-2-linked mannoses must be trimmed by MAN1 first,Schachter 1986 Biochem Cell Biol
GlcNAc(b1-2)Man(a1-6),GlcNAc(b1-4)Man(b1-4)GlcNAc,forbids,N,MGAT2,bisecting GlcNAc blocks subsequent MGAT2 action,Schachter 1986 Biochem Cell Biol
GlcNAc(b1-6)Man(a1-6),GlcNAc(b1-4)Man(b1-4)GlcNAc,forbids,N,MGAT5,bisecting GlcNAc blocks subsequent MGAT5 branching,Schachter 1986 Biochem Cell Biol
Fuc(a1-6)GlcNAc,GlcNAc(b1-4)Man(b1-4)GlcNAc,forbids,N,FUT8,bisecting GlcNAc blocks subsequent core fucosylation; the reverse order is permitted and common,Taniguchi & Kizuka 2015 Adv Cancer Res
Gal(b1-3)GalNAc,Neu5Ac(a2-6)GalNAc,forbids,O,C1GALT1,sialyl-Tn cannot be elongated to core 1,Brockhausen & Stanley 2022 Essentials of Glycobiology
GlcNAc(b1-6)GalNAc,Neu5Ac(a2-3)Gal(b1-3)GalNAc,forbids,O,GCNT1,alpha2-3-sialylated core 1 cannot be converted to core 2,Brockhausen & Stanley 2022 Essentials of Glycobiology
GalNAc(a1-3)Gal,Fuc(a1-2)Gal,requires,,ABO,blood group A transferase requires the H antigen as acceptor,Yamamoto 2004 Immunohematology
GlcNAc(b1-2)Man(a1-6),GlcNAc(b1-2)Man(a1-3),requires,N,MGAT2,MGAT2 acts only on the MGAT1 product,Schachter 1986 Biochem Cell Biol
GlcNAc(b1-2)Man(a1-6),Man(a1-3)Man(a1-6)|Man(a1-6)Man(a1-6),forbids,N,MGAT2,MGAT2 requires prior alpha-mannosidase II trimming of the alpha1-6 arm; this is why hybrid glycans stay hybrid,Schachter 1986 Biochem Cell Biol
GlcNAc(b1-4)Man(a1-3),GlcNAc(b1-2)Man(a1-3),requires,N,MGAT4,MGAT4 adds the beta1-4 branch to a Man that already carries the MGAT1 beta1-2 GlcNAc,Schachter 1986 Biochem Cell Biol
GlcNAc(b1-4)Man(a1-3),GlcNAc(b1-4)Man(b1-4)GlcNAc,forbids,N,MGAT4,bisecting GlcNAc blocks subsequent MGAT4 branching,Schachter 1986 Biochem Cell Biol
GlcNAc(b1-6)Man(a1-6),GlcNAc(b1-2)Man(a1-6),requires,N,MGAT5,MGAT5 acts on the MGAT2 product,Schachter 1986 Biochem Cell Biol
GlcNAc(b1-4)Man(b1-4)GlcNAc,GlcNAc(b1-2)Man(a1-3),requires,N,MGAT3,MGAT3 cannot bisect an oligomannose core; it requires the MGAT1 product,Schachter 1986 Biochem Cell Biol
GlcNAc(b1-6)GalNAc,Gal(b1-3)GalNAc|GlcNAc(b1-3)GalNAc,requires,O,GCNT1/GCNT3,the beta1-6 branch of core 2 and core 4 is added to core 1 and core 3 respectively,Brockhausen & Stanley 2022 Essentials of Glycobiology
GlcNAc(b1-3)GalNAc,Neu5Ac(a2-6)GalNAc,forbids,O,B3GNT6,sialyl-Tn cannot be elongated to core 3,Brockhausen & Stanley 2022 Essentials of Glycobiology
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc,Fuc(a1-2)Gal(b1-4)GlcNAc,requires,,FUT1/FUT2,Lewis y arises by alpha1-3 fucosylation of H type 2; alpha1-2 fucosyltransferases do not act on Lewis x,Kukowska-Latallo 1990 Genes Dev; Sarnesto 1992 J Biol Chem
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc,Fuc(a1-2)Gal(b1-3)GlcNAc,requires,,FUT1/FUT2,Lewis b arises by alpha1-4 fucosylation of H type 1; alpha1-2 fucosyltransferases do not act on Lewis a,Prieels 1981 J Biol Chem; Kukowska-Latallo 1990 Genes Dev
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc,Neu5Ac(a2-3)Gal(b1-4)GlcNAc,requires,,ST3GAL3/ST3GAL4/ST3GAL6,sialyl Lewis x arises by alpha1-3 fucosylation of sialyl type 2; Lewis x is not an alpha2-3 sialyltransferase acceptor,Holmes 1986 J Biol Chem; Natsuka 1994 J Biol Chem
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc,Neu5Ac(a2-3)Gal(b1-3)GlcNAc,requires,,ST3GAL3,sialyl Lewis a arises by alpha1-4 fucosylation of sialyl type 1; Lewis a is not an alpha2-3 sialyltransferase acceptor,Hansson & Zopf 1985 J Biol Chem
Fuc(a1-6)GlcNAc,GlcNAc(b1-6)Man(a1-6),forbids,N,FUT8,MGAT5 beta1-6 branching blocks subsequent core fucosylation; core fucose does not impair MGAT5,Tseng 2017 J Am Chem Soc; Nagae 2018 Nat Commun
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,forbids,lipid,ST8SIA1,GD3 synthase acts only on GM3; b-series gangliosides branch from GD3 and not from GM2 or GM1,Sasaki 1994 J Biol Chem
