glycoenzyme,glycoclass,monolink,species
A4GALT,A4GALT,Gal(a1-4),Homo_sapiens
A4GNT,A4GNT,GlcNAc(a1-4),Homo_sapiens
ABO,ABO,GalNAc(a1-3),Homo_sapiens
AGA,AGA,,Homo_sapiens
AGL,AGL,,Homo_sapiens
ALG1,ALG1,Man(b1-4),Homo_sapiens
ALG10,ALG10,Glc(a1-2),Homo_sapiens
ALG11,ALG11,Man(a1-2),Homo_sapiens
ALG12,ALG12,Man(a1-6),Homo_sapiens
ALG13,ALG13,GlcNAc(b1-4),Homo_sapiens
ALG14,ALG14,,Homo_sapiens
ALG2,ALG2,Man(a1-3),Homo_sapiens
ALG3,ALG3,Man(a1-3),Homo_sapiens
ALG5,ALG5,,Homo_sapiens
ALG6,ALG6,Glc(a1-3),Homo_sapiens
ALG8,ALG8,Glc(a1-3),Homo_sapiens
ALG9,ALG9,Man(a1-2),Homo_sapiens
AMY1A,AMY1,Glc(a1-4),Homo_sapiens
AMY1B,AMY1,Glc(a1-4),Homo_sapiens
AMY1C,AMY1,Glc(a1-4),Homo_sapiens
ARSG,ARSG,GlcNAc3S,Homo_sapiens
ARSK,ARSK,GlcA2S,Homo_sapiens
ATHL1,ATHL1,,Homo_sapiens
B3GALNT1,B3GALNT,GalNAc(b1-3),Homo_sapiens
B3GALNT2,B3GALNT,GalNAc(b1-3),Homo_sapiens
B3GALT1,B3GALT,Gal(b1-3),Homo_sapiens
B3GALT2,B3GALT,Gal(b1-3),Homo_sapiens
B3GALT4,B3GALT,Gal(b1-3),Homo_sapiens
B3GALT5,B3GALT,Gal(b1-3),Homo_sapiens
B3GALT6,B3GALT,Gal(b1-3),Homo_sapiens
B3GAT1,B3GAT,GlcA(b1-3),Homo_sapiens
B3GAT2,B3GAT,GlcA(b1-3),Homo_sapiens
B3GAT3,B3GAT,GlcA(b1-3),Homo_sapiens
B3GLCT,B3GLCT,Glc(b1-3),Homo_sapiens
B3GNT2,B3GNT,GlcNAc(b1-3),Homo_sapiens
B3GNT3,B3GNT,GlcNAc(b1-3),Homo_sapiens
B3GNT4,B3GNT,GlcNAc(b1-3),Homo_sapiens
B3GNT5,B3GNT,GlcNAc(b1-3),Homo_sapiens
B3GNT6,B3GNT,GlcNAc(b1-3),Homo_sapiens
B3GNT7,B3GNT,GlcNAc(b1-3),Homo_sapiens
B3GNT8,B3GNT,GlcNAc(b1-3),Homo_sapiens
B3GNT9,B3GNT,GlcNAc(b1-3),Homo_sapiens
B3GNTL1,B3GNT,,Homo_sapiens
B4GALNT1,B4GALNT,GalNAc(b1-4),Homo_sapiens
B4GALNT2,B4GALNT,GalNAc(b1-4),Homo_sapiens
B4GALNT3,B4GALNT,GalNAc(b1-4),Homo_sapiens
B4GALNT4,B4GALNT,GalNAc(b1-4),Homo_sapiens
B4GALT1,B4GALT,Gal(b1-4),Homo_sapiens
B4GALT2,B4GALT,Gal(b1-4),Homo_sapiens
B4GALT3,B4GALT,Gal(b1-4),Homo_sapiens
B4GALT4,B4GALT,Gal(b1-4),Homo_sapiens
B4GALT5,B4GALT,Gal(b1-4),Homo_sapiens
B4GALT6,B4GALT,Gal(b1-4),Homo_sapiens
B4GALT7,B4GALT,Gal(b1-4),Homo_sapiens
B4GAT1,B4GAT1,GlcA(b1-4),Homo_sapiens
C1GALT1,C1GALT1,Gal(b1-3),Homo_sapiens
C1GALT1C1,C1GALT1C1,,Homo_sapiens
CERCAM,CERCAM,,Homo_sapiens
CHI3L1,CHI3L1,,Homo_sapiens
CHI3L2,CHI3L2,,Homo_sapiens
CHIA,CHIA,GlcNAc(b1-4),Homo_sapiens
CHIT1,CHIT1,,Homo_sapiens
CHPF,CHPF,GalNAc(b1-4),Homo_sapiens
CHPF2,CHPF2,GalNAc(b1-4),Homo_sapiens
CHST1,CHST,6S,Homo_sapiens
CHST2,CHST,6S,Homo_sapiens
CHST3,CHST,6S,Homo_sapiens
CHST4,CHST,6S,Homo_sapiens
CHST5,CHST,6S,Homo_sapiens
CHST6,CHST,6S,Homo_sapiens
CHST7,CHST,6S,Homo_sapiens
CHST8,CHST,4S,Homo_sapiens
CHST9,CHST,4S,Homo_sapiens
CHST10,CHST,3S,Homo_sapiens
CHST11,CHST,4S,Homo_sapiens
CHST12,CHST,4S,Homo_sapiens
CHST13,CHST,4S,Homo_sapiens
CHST14,CHST,4S,Homo_sapiens
CHST15,CHST,6S,Homo_sapiens
CHSY1,CHSY,GlcA(b1-3),Homo_sapiens
CHSY1,CHSY,GalNAc(b1-4),Homo_sapiens
CHSY3,CHSY,GlcA(b1-3),Homo_sapiens
CHSY3,CHSY,GalNAc(b1-4),Homo_sapiens
COLGALT1,COLGALT,,Homo_sapiens
COLGALT2,COLGALT,,Homo_sapiens
CSGALNACT1,CSGALNACT,GalNAc(b1-4),Homo_sapiens
CSGALNACT2,CSGALNACT,GalNAc(b1-4),Homo_sapiens
CTBS,CTBS,,Homo_sapiens
DPAGT1,DPAGT1,,Homo_sapiens
DPM1,DPM,,Homo_sapiens
DPM2,DPM,,Homo_sapiens
DPM3,DPM,,Homo_sapiens
DPY19L1,DPY19L,,Homo_sapiens
DPY19L2,DPY19L,,Homo_sapiens
DPY19L3,DPY19L,,Homo_sapiens
EDEM1,EDEM,,Homo_sapiens
EDEM2,EDEM,,Homo_sapiens
EDEM3,EDEM,,Homo_sapiens
ENGASE,ENGASE,,Homo_sapiens
EOGT,EOGT,GlcNAc(b1-1),Homo_sapiens
ERLEC1,ERLEC1,,Homo_sapiens
EXT1,EXT,GlcA(b1-4),Homo_sapiens
EXT1,EXT,GlcNAc(a1-4),Homo_sapiens
EXT2,EXT,GlcA(b1-4),Homo_sapiens
EXT2,EXT,GlcNAc(a1-4),Homo_sapiens
EXTL1,EXTL,GlcNAc(a1-4),Homo_sapiens
EXTL2,EXTL,GlcNAc(a1-4),Homo_sapiens
EXTL3,EXTL,GlcNAc(a1-4),Homo_sapiens
FKRP,FKRP,,Homo_sapiens
FKTN,FKTN,,Homo_sapiens
FUCA1,FUCA,,Homo_sapiens
FUCA2,FUCA,,Homo_sapiens
FUT1,FUT,Fuc(a1-2),Homo_sapiens
FUT2,FUT,Fuc(a1-2),Homo_sapiens
FUT3,FUT,Fuc(a1-3),Homo_sapiens
FUT3,FUT,Fuc(a1-4),Homo_sapiens
FUT4,FUT,Fuc(a1-3),Homo_sapiens
FUT5,FUT,Fuc(a1-3),Homo_sapiens
FUT5,FUT,Fuc(a1-4),Homo_sapiens
FUT6,FUT,Fuc(a1-3),Homo_sapiens
FUT7,FUT,Fuc(a1-3),Homo_sapiens
FUT8,FUT,Fuc(a1-6),Homo_sapiens
FUT9,FUT,Fuc(a1-3),Homo_sapiens
FUT10,FUT,,Homo_sapiens
FUT11,FUT,,Homo_sapiens
GAA,GAA,,Homo_sapiens
GAL3ST1,GAL3ST,3S,Homo_sapiens
GAL3ST2,GAL3ST,3S,Homo_sapiens
GAL3ST3,GAL3ST,3S,Homo_sapiens
GAL3ST4,GAL3ST,3S,Homo_sapiens
GALC,GALC,,Homo_sapiens
GALNT1,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT2,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT3,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT4,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT5,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT6,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT7,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT8,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT9,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT10,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT11,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT12,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT13,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT14,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT15,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT16,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT17,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT18,GALNT,GalNAc(a1-1),Homo_sapiens
GALNT20,GALNT,GalNAc(a1-1),Homo_sapiens
GANAB,GANAB,,Homo_sapiens
GANC,GANC,,Homo_sapiens
GBA,GBA,,Homo_sapiens
GBA2,GBA2,,Homo_sapiens
GBA3,GBA3,,Homo_sapiens
GBE1,GBE1,,Homo_sapiens
GBGT1,GBGT1,GalNAc(a1-3),Homo_sapiens
GCNT1,GCNT,GlcNAc(b1-6),Homo_sapiens
GCNT2A,GCNT,GlcNAc(b1-6),Homo_sapiens
GCNT2B,GCNT,GlcNAc(b1-6),Homo_sapiens
GCNT2C,GCNT,GlcNAc(b1-6),Homo_sapiens
GCNT3,GCNT,GlcNAc(b1-6),Homo_sapiens
GCNT4,GCNT,GlcNAc(b1-3),Homo_sapiens
GCNT7,GCNT,,Homo_sapiens
GLA,GLA,,Homo_sapiens
GLB1,GLB1,,Homo_sapiens
GLB1L,GLB1,,Homo_sapiens
GLB1L2,GLB1,,Homo_sapiens
GLB1L3,GLB1,,Homo_sapiens
GLCE,GLCE,,Homo_sapiens
GLT1D1,GLT1D1,,Homo_sapiens
GLT6D1,GLT6D1,,Homo_sapiens
GLT8D1,GLT8D1,,Homo_sapiens
GLT8D2,GLT8D2,,Homo_sapiens
GNPTAB,GNPTAB,,Homo_sapiens
GNPTG,GNPTG,,Homo_sapiens
GTDC1,GTDC1,,Homo_sapiens
GUSB,GUSB,,Homo_sapiens
GXYLT1,GXYLT,Xyl(a1-3),Homo_sapiens
GXYLT2,GXYLT,Xyl(a1-3),Homo_sapiens
GYG1,GYG,,Homo_sapiens
GYG2,GYG,,Homo_sapiens
GYS1,GYS,,Homo_sapiens
GYS2,GYS,,Homo_sapiens
HAS1,HAS,GlcA(b1-3),Homo_sapiens
HAS1,HAS,GlcNAc(b1-4),Homo_sapiens
HAS2,HAS,GlcA(b1-3),Homo_sapiens
HAS2,HAS,GlcNAc(b1-4),Homo_sapiens
HAS3,HAS,GlcA(b1-3),Homo_sapiens
HAS3,HAS,GlcNAc(b1-4),Homo_sapiens
HEXA,HEXA,,Homo_sapiens
HEXB,HEXB,,Homo_sapiens
HEXDC,HEXDC,,Homo_sapiens
HPSE,HPSE,,Homo_sapiens
HPSE2,HPSE,,Homo_sapiens
HS2ST1,HS2ST,OS,Homo_sapiens
HS3ST1,HS3ST,3S,Homo_sapiens
HS3ST2,HS3ST,3S,Homo_sapiens
HS3ST3A1,HS3ST,3S,Homo_sapiens
HS3ST3B1,HS3ST,3S,Homo_sapiens
HS3ST4,HS3ST,3S,Homo_sapiens
HS3ST5,HS3ST,3S,Homo_sapiens
HS3ST6,HS3ST,3S,Homo_sapiens
HS6ST1,HS6ST,6S,Homo_sapiens
HS6ST2,HS6ST,6S,Homo_sapiens
HS6ST3,HS6ST,6S,Homo_sapiens
HSPA5,HSPA5,,Homo_sapiens
HYAL1,HYAL,,Homo_sapiens
HYAL2,HYAL,,Homo_sapiens
HYAL3,HYAL,,Homo_sapiens
HYAL4,HYAL,,Homo_sapiens
IDUA,IDUA,,Homo_sapiens
ISPD,ISPD,,Homo_sapiens
KDELC1,KDELC,Glc(b1-3),Homo_sapiens
KDELC2,KDELC,Glc(b1-3),Homo_sapiens
KIAA1161,KIAA1161,,Homo_sapiens
KL,KL,,Homo_sapiens
KLB,KLB,,Homo_sapiens
LARGE1,LARGE,Xyl(a1-3),Homo_sapiens
LARGE1,LARGE,GlcA(b1-3),Homo_sapiens
LARGE2,LARGE,Xyl(a1-3),Homo_sapiens
LARGE2,LARGE,GlcA(b1-3),Homo_sapiens
LCT,LCT,,Homo_sapiens
LCTL,LCTL,,Homo_sapiens
LFNG,FNG,GlcNAc(b1-3),Homo_sapiens
MFNG,FNG,GlcNAc(b1-3),Homo_sapiens
RFNG,FNG,GlcNAc(b1-3),Homo_sapiens
LYG1,LYG,,Homo_sapiens
LYG2,LYG,,Homo_sapiens
LYZ,LYZ,,Homo_sapiens
LYZL1,LYZL,,Homo_sapiens
LYZL4,LYZL,,Homo_sapiens
LYZL6,LYZL,,Homo_sapiens
MAN1A1,MAN1,,Homo_sapiens
MAN1A2,MAN1,,Homo_sapiens
MAN1B1,MAN1,,Homo_sapiens
MAN1C1,MAN1,,Homo_sapiens
MAN2A1,MAN2,,Homo_sapiens
MAN2A2,MAN2,,Homo_sapiens
MAN2B1,MAN2,,Homo_sapiens
MAN2B2,MAN2,,Homo_sapiens
MAN2C1,MAN2,,Homo_sapiens
MANBA,MANBA,,Homo_sapiens
MANEA,MANEA,,Homo_sapiens
MANEAL,MANEAL,,Homo_sapiens
MGAM,MGAM,,Homo_sapiens
MGAM2,MGAM,,Homo_sapiens
MGAT1,MGAT,GlcNAc(b1-2),Homo_sapiens
MGAT2,MGAT,GlcNAc(b1-2),Homo_sapiens
MGAT3,MGAT,GlcNAc(b1-4),Homo_sapiens
MGAT4A,MGAT,GlcNAc(b1-4),Homo_sapiens
MGAT4B,MGAT,GlcNAc(b1-4),Homo_sapiens
MGAT4C,MGAT,GlcNAc(b1-4),Homo_sapiens
MGAT4D,MGAT,GlcNAc(b1-4),Homo_sapiens
MGAT5,MGAT,GlcNAc(b1-6),Homo_sapiens
MGAT5B,MGAT,GlcNAc(b1-6),Homo_sapiens
